intersectional_id,control_id,exaggeration
Asian_Female_Accountant,Unmarked_Unmarked_Accountant,0.0
Asian_Female_Lawyer,Unmarked_Unmarked_Lawyer,0.03043306991547355
Asian_Female_Nurse,Unmarked_Unmarked_Nurse,0.08859502702356989
Asian_Male_CEO,Unmarked_Unmarked_CEO,0.07832735006432391
Asian_Male_Doctor,Unmarked_Unmarked_Doctor,0.07151220549711826
Asian_Male_Lawyer,Unmarked_Unmarked_Lawyer,0.0453101216524258
Asian_Male_Teacher,Unmarked_Unmarked_Teacher,0.05999466754049537
Black_Female_Accountant,Unmarked_Unmarked_Accountant,0.05782395387240939
Black_Female_CEO,Unmarked_Unmarked_CEO,0.04009002403465512
Black_Female_Doctor,Unmarked_Unmarked_Doctor,0.05711823086585701
Black_Male_Accountant,Unmarked_Unmarked_Accountant,0.03592680548370348
Black_Male_CEO,Unmarked_Unmarked_CEO,0.09168540414218757
Black_Male_Cleaner,Unmarked_Unmarked_Cleaner,0.09216807108107686
Black_Male_Doctor,Unmarked_Unmarked_Doctor,0.08101800353783195
Black_Male_Lawyer,Unmarked_Unmarked_Lawyer,0.057851530615105694
Black_Male_Nurse,Unmarked_Unmarked_Nurse,0.05224273147757217
Black_Male_Teacher,Unmarked_Unmarked_Teacher,0.05988951540327225
Hispanic_Female_Accountant,Unmarked_Unmarked_Accountant,0.17199805200973978
Hispanic_Female_CEO,Unmarked_Unmarked_CEO,0.06171262303842177
Hispanic_Female_Cashier,Unmarked_Unmarked_Cashier,0.20272174651571082
Hispanic_Female_Cleaner,Unmarked_Unmarked_Cleaner,0.20540772736562063
Hispanic_Female_Lawyer,Unmarked_Unmarked_Lawyer,0.07329189544700801
Hispanic_Female_Mechanic,Unmarked_Unmarked_Mechanic,0.12296171599718732
Hispanic_Female_Nurse,Unmarked_Unmarked_Nurse,0.14855835211684545
Hispanic_Female_Teacher,Unmarked_Unmarked_Teacher,0.22358361894013104
Hispanic_Male_Accountant,Unmarked_Unmarked_Accountant,0.17391127446497828
Hispanic_Male_CEO,Unmarked_Unmarked_CEO,0.06593637085368535
Hispanic_Male_Cashier,Unmarked_Unmarked_Cashier,0.14160867540322905
Hispanic_Male_Lawyer,Unmarked_Unmarked_Lawyer,0.04360531793898208
Hispanic_Male_Nurse,Unmarked_Unmarked_Nurse,0.1738458959918656
Hispanic_Male_Teacher,Unmarked_Unmarked_Teacher,0.15256608573810826
Native American_Female_Accountant,Unmarked_Unmarked_Accountant,0.1255422476185576
Native American_Female_CEO,Unmarked_Unmarked_CEO,0.0644471862770686
Native American_Female_Mechanic,Unmarked_Unmarked_Mechanic,0.06479208933971858
Native American_Female_Nurse,Unmarked_Unmarked_Nurse,0.07670641193490732
Native American_Female_Teacher,Unmarked_Unmarked_Teacher,0.053440755736783106
Native American_Male_CEO,Unmarked_Unmarked_CEO,0.1257418551508222
Native American_Male_Doctor,Unmarked_Unmarked_Doctor,0.07395872649669867
White_Female_Accountant,Unmarked_Unmarked_Accountant,0.0813761019413763
White_Female_CEO,Unmarked_Unmarked_CEO,0.05996985341326433
White_Male_CEO,Unmarked_Unmarked_CEO,0.037531560066069294
White_Male_Doctor,Unmarked_Unmarked_Doctor,0.06287588748794905
White_Male_Lawyer,Unmarked_Unmarked_Lawyer,0.0037553901425180732
White_Male_Teacher,Unmarked_Unmarked_Teacher,0.05603433932512951
