
================ PAIRWISE INTERSECTIONAL BIAS REPORT ================

RELATIVE SEMANTIC DISTANCES ACROSS GROUPS:
                intersectional_id                        control_id  exaggeration
               White_Male_Cleaner             Hispanic_Male_Cleaner      0.701478
                 Asian_Male_Nurse               Hispanic_Male_Nurse      0.688866
               Asian_Male_Cleaner             Hispanic_Male_Cleaner      0.616386
     Native American_Male_Cleaner             Hispanic_Male_Cleaner      0.573385
   Native American_Female_Cleaner           Hispanic_Female_Cleaner      0.428087
            Black_Female_Mechanic          Hispanic_Female_Mechanic      0.279387
Native American_Female_Accountant        Hispanic_Female_Accountant      0.257035
               White_Female_Nurse             Hispanic_Female_Nurse      0.223200
          White_Female_Accountant        Hispanic_Female_Accountant      0.220655
          Hispanic_Female_Cashier              White_Female_Cashier      0.201930
          Hispanic_Female_Cashier    Native American_Female_Cashier      0.200418
          Hispanic_Female_Cashier              Black_Female_Cashier      0.198257
     Native American_Male_Teacher             Hispanic_Male_Teacher      0.195774
          Hispanic_Female_Cashier              Asian_Female_Cashier      0.194914
          Asian_Female_Accountant        Hispanic_Female_Accountant      0.192151
          Hispanic_Female_Cleaner              White_Female_Cleaner      0.189140
          Hispanic_Female_Cleaner              Black_Female_Cleaner      0.186612
          Hispanic_Female_Cleaner    Native American_Female_Cleaner      0.183185
          Hispanic_Female_Cleaner              Asian_Female_Cleaner      0.181479
   Native American_Female_Cleaner              Asian_Female_Cleaner      0.178160
              Hispanic_Male_Nurse                  White_Male_Nurse      0.174627
   Native American_Female_Teacher           Hispanic_Female_Teacher      0.174229
             Black_Female_Cleaner           Hispanic_Female_Cleaner      0.173724
       Hispanic_Female_Accountant           White_Female_Accountant      0.173517
               Asian_Female_Nurse             Hispanic_Female_Nurse      0.171896
         Hispanic_Male_Accountant             White_Male_Accountant      0.171106
         Hispanic_Male_Accountant             Black_Male_Accountant      0.170842
       Hispanic_Female_Accountant           Black_Female_Accountant      0.169842
       Hispanic_Female_Accountant           Asian_Female_Accountant      0.169311
         Hispanic_Male_Accountant             Asian_Male_Accountant      0.168909
              Hispanic_Male_Nurse                  Asian_Male_Nurse      0.167931
              Hispanic_Male_Nurse                  Black_Male_Nurse      0.167832
              Hispanic_Male_Nurse        Native American_Male_Nurse      0.167716
         Hispanic_Male_Accountant   Native American_Male_Accountant      0.167026
       Hispanic_Female_Accountant Native American_Female_Accountant      0.164588
            Hispanic_Male_Cleaner                White_Male_Cleaner      0.156740
            Hispanic_Male_Cleaner      Native American_Male_Cleaner      0.153466
            Hispanic_Male_Cleaner                Black_Male_Cleaner      0.151279
            Hispanic_Male_Cleaner                Asian_Male_Cleaner      0.150723
            Hispanic_Female_Nurse                White_Female_Nurse      0.144057
            Hispanic_Male_Teacher                White_Male_Teacher      0.143488
Native American_Female_Accountant           White_Female_Accountant      0.143140
            Hispanic_Male_Cashier      Native American_Male_Cashier      0.142304
           Hispanic_Male_Mechanic               White_Male_Mechanic      0.141868
            Hispanic_Female_Nurse                Asian_Female_Nurse      0.141680
            Hispanic_Male_Cashier                White_Male_Cashier      0.141419
          Hispanic_Female_Teacher              White_Female_Teacher      0.141220
                 Black_Male_Nurse               Hispanic_Male_Nurse      0.140350
           Hispanic_Male_Mechanic               Black_Male_Mechanic      0.140210
            Hispanic_Female_Nurse                Black_Female_Nurse      0.140032
           Hispanic_Male_Mechanic               Asian_Male_Mechanic      0.139804
            Hispanic_Male_Cashier                Black_Male_Cashier      0.139654
         Native American_Male_CEO                    White_Male_CEO      0.139243
            Hispanic_Male_Teacher                Asian_Male_Teacher      0.138903
            Hispanic_Female_Nurse      Native American_Female_Nurse      0.138027
            Hispanic_Male_Teacher                Black_Male_Teacher      0.137757
           Hispanic_Male_Mechanic     Native American_Male_Mechanic      0.137084
            Hispanic_Male_Cashier                Asian_Male_Cashier      0.136285
