intersectional_id,control_id,n_target_imp,n_control_imp,accuracy_imp,f1_score_imp,n_target_exp,n_control_exp,accuracy_exp,f1_score_exp,accuracy_delta,f1_score_delta
Native American_Female_Lawyer,Asian_Female_Lawyer,134,134,0.4370460613307521,0.4133401269430038,134,134,0.6893050784190915,0.6878932070056214,0.2522590170883394,0.2745530800626176
Native American_Female_Lawyer,Hispanic_Female_Lawyer,134,133,0.47395451210564926,0.4608570446926281,134,133,0.7182015375291078,0.7165778412245125,0.2442470254234585,0.2557207965318844
Native American_Female_Lawyer,White_Female_Lawyer,134,133,0.4925898752751284,0.48082902853701714,134,133,0.7191010877539954,0.6997559892998491,0.22651121247886702,0.2189269607628319
Native American_Female_Lawyer,Native American_Male_Lawyer,134,133,0.5047688921496698,0.474123360941367,134,133,0.549838910332068,0.5450461200797335,0.0450700181823982,0.07092275913836654
Native American_Female_Lawyer,Black_Female_Lawyer,134,133,0.45420318955863614,0.4500435354565283,134,133,0.6439677697545404,0.6385293366763956,0.18976458019590425,0.18848580121986724
White_Male_Cashier,Hispanic_Male_Cashier,134,134,0.7400586940572267,0.7306910991368482,134,134,0.7209831254585473,0.7096851580413122,-0.019075568598679427,-0.021005941095535996
White_Male_Cashier,Black_Male_Cashier,134,134,0.555750562473807,0.5499272970666762,134,134,0.5799126657560623,0.5758156251003173,0.02416210328225521,0.02588832803364105
White_Male_Cashier,White_Female_Cashier,134,133,0.5947985855869138,0.5910179853250264,134,133,0.6161262099875826,0.5969050466601868,0.02132762440066882,0.005887061335160482
White_Male_Cashier,Native American_Male_Cashier,134,133,0.6150569176027101,0.6130197854716635,134,133,0.7087737312117729,0.7071781313287622,0.09371681360906281,0.0941583458570987
White_Male_Cashier,Asian_Male_Cashier,134,133,0.5486618392931194,0.5267353510525759,134,133,0.578761682988293,0.5721432429718553,0.0300998436951736,0.04540789191927941
Asian_Female_Accountant,White_Female_Accountant,134,134,0.5886280264123258,0.586867683245503,134,134,0.5746148202494498,0.5666156703306404,-0.014013206162876046,-0.02025201291486256
Asian_Female_Accountant,Hispanic_Female_Accountant,134,133,0.685090433506651,0.6660451105881144,134,133,0.7327091773262305,0.7241310234118272,0.047618743819579534,0.05808591282371278
Asian_Female_Accountant,Native American_Female_Accountant,134,133,0.5392516507703595,0.5335064207180118,134,133,0.7018597084436505,0.6944756501689635,0.162608057673291,0.1609692294509517
Asian_Female_Accountant,Black_Female_Accountant,134,133,0.504054355800823,0.49193173754913105,134,133,0.5695014195030145,0.5631743062672758,0.06544706370219144,0.07124256871814477
Asian_Female_Accountant,Asian_Male_Accountant,134,133,0.539801722119941,0.5380072879744674,134,133,0.5664977445416642,0.556046759054499,0.026696022421723198,0.018039471080031566
Asian_Male_Lawyer,Asian_Female_Lawyer,134,134,0.5052824651504035,0.5025885302608928,134,134,0.5133528980190756,0.5097223881882342,0.00807043286867204,0.007133857927341447
Asian_Male_Lawyer,Hispanic_Male_Lawyer,134,134,0.5355099046221571,0.5237673574181165,134,134,0.5958914159941305,0.5932870739872531,0.06038151137197345,0.06951971656913658
Asian_Male_Lawyer,White_Male_Lawyer,134,134,0.5223037417461482,0.4968238680207606,134,134,0.539325018341893,0.5195608291847442,0.017021276595744705,0.022736961163983604
Asian_Male_Lawyer,Black_Male_Lawyer,134,133,0.49445915340202234,0.4876769547051076,134,133,0.6065329037608855,0.6031062188032267,0.11207375035886319,0.1154292640981191
Asian_Male_Lawyer,Native American_Male_Lawyer,134,133,0.5513828192286836,0.5409453687665009,134,133,0.7017097834061692,0.699892330290934,0.1503269641774856,0.1589469615244331
Asian_Female_Lawyer,Hispanic_Female_Lawyer,134,133,0.5283134468599966,0.5115707936637406,134,133,0.6252538904120168,0.6187656713387424,0.09694044355202025,0.1071948776750018
Asian_Female_Lawyer,White_Female_Lawyer,134,133,0.5322275032696417,0.5077724835008919,134,133,0.5686943762161473,0.5546197058912977,0.036466872946505524,0.04684722239040584
Asian_Female_Lawyer,Black_Female_Lawyer,134,133,0.46951754385964917,0.4368241468427227,134,133,0.6421052631578947,0.6351947819429103,0.17258771929824557,0.19837063510018765
Hispanic_Male_Lawyer,White_Male_Lawyer,134,134,0.4845928099779897,0.4789773966183025,134,134,0.5849596478356567,0.5817204021017719,0.10036683785766698,0.10274300548346937
Hispanic_Male_Lawyer,Hispanic_Female_Lawyer,134,133,0.5219177645219942,0.5106126006858179,134,133,0.5380394908928514,0.5307150045590083,0.01612172637085718,0.0201024038731904
Hispanic_Male_Lawyer,Black_Male_Lawyer,134,133,0.5194615458228332,0.5061141090850316,134,133,0.6675045455995406,0.6558052555610931,0.14804299977670743,0.14969114647606152
Hispanic_Male_Lawyer,Native American_Male_Lawyer,134,133,0.5108530666476747,0.5021486176875849,134,133,0.7039247807168769,0.6992593288102343,0.1930717140692022,0.19711071112264944
Native American_Female_Cashier,White_Female_Cashier,134,133,0.5703084627898817,0.5657226860654594,134,133,0.7285686943762162,0.7268291157042504,0.1582602315863345,0.16110642963879096
Native American_Female_Cashier,Hispanic_Female_Cashier,134,133,0.7332213512504666,0.7233003656484536,134,133,0.8364932875107799,0.8329451973490496,0.10327193626031328,0.10964483170059602
Native American_Female_Cashier,Native American_Male_Cashier,134,133,0.5943187980477846,0.5848806608120981,134,133,0.5979871766244538,0.5964602004144819,0.003668378576669129,0.011579539602383782
Native American_Female_Cashier,Black_Female_Cashier,134,133,0.5090816293980669,0.49569692237337704,134,133,0.6609078439503653,0.6545461412714724,0.1518262145522984,0.15884921889809533
Native American_Female_Cashier,Asian_Female_Cashier,134,133,0.5839815054878577,0.5763555952932042,134,133,0.6811576354679802,0.6713788655579489,0.0971761299801226,0.09502327026474466
White_Male_Accountant,Hispanic_Male_Accountant,134,134,0.6526779163609684,0.6344633415118123,134,134,0.7581071166544386,0.7484104999859476,0.10542920029347025,0.11394715847413528
White_Male_Accountant,White_Female_Accountant,134,134,0.5143800440205428,0.5093574734604636,134,134,0.5326485693323552,0.5177539710543988,0.018268525311812334,0.008396497593935237
White_Male_Accountant,Black_Male_Accountant,134,133,0.505575935436537,0.4829452589804578,134,133,0.5712431018533286,0.5703113184138318,0.0656671664167916,0.08736605943337394
White_Male_Accountant,Native American_Male_Accountant,134,133,0.5795059706988611,0.5677517006575735,134,133,0.6833602935374418,0.6812398184573112,0.10385432283858065,0.11348811779973766
White_Male_Accountant,Asian_Male_Accountant,134,133,0.5522026220932087,0.5464728767275622,134,133,0.5596861143896137,0.5565278975310654,0.007483492296404992,0.010055020803503179
Black_Female_Mechanic,Native American_Female_Mechanic,134,134,0.5352898019075568,0.5327959686713841,134,134,0.6654438738077768,0.6625523474520139,0.13015407190022,0.12975637878062973
Black_Female_Mechanic,Asian_Female_Mechanic,134,133,0.5658681297649049,0.5559460088213353,134,133,0.6710804172381895,0.6686945841044202,0.1052122874732846,0.1127485752830849
Black_Female_Mechanic,Black_Male_Mechanic,134,133,0.5554084659797761,0.5477499063649753,134,133,0.543379374142716,0.5326378785594121,-0.012029091837060135,-0.0151120278055632
Black_Female_Mechanic,White_Female_Mechanic,134,133,0.5375673865195062,0.5351739080692475,134,133,0.6091039586589684,0.6025395801904039,0.07153657213946218,0.0673656721211564
Black_Female_Mechanic,Hispanic_Female_Mechanic,134,133,0.7207502631662892,0.7094857903347384,134,133,0.7571246291747744,0.7537162179592897,0.036374366008485204,0.044230427624551316
White_Male_Nurse,Hispanic_Male_Nurse,134,134,0.701540719002201,0.6894528762144525,134,134,0.7479823917828319,0.7366169022587218,0.04644167278063083,0.04716402604426928
White_Male_Nurse,Native American_Male_Nurse,134,134,0.554052634167131,0.551499943717667,134,134,0.650462550131681,0.6458001941411854,0.09640991596454995,0.09430025042351842
White_Male_Nurse,Asian_Male_Nurse,134,134,0.5233308877476155,0.5192019463087709,134,134,0.5762289068231842,0.5685802421648762,0.05289801907556868,0.049378295856105314
White_Male_Nurse,Black_Male_Nurse,134,133,0.4709926854754441,0.4634730211371917,134,133,0.5742554858934169,0.5677062108443194,0.10326280041797281,0.1042331897071277
White_Male_Nurse,White_Female_Nurse,134,133,0.5303933139813072,0.513695065802762,134,133,0.5522600401926696,0.5406178114758557,0.02186672621136243,0.026922745673093718
Hispanic_Male_Accountant,Hispanic_Female_Accountant,134,133,0.498720114386218,0.48944822179765113,134,133,0.49566180145639976,0.48685633607117645,-0.00305831292981823,-0.002591885726474674
Hispanic_Male_Accountant,Black_Male_Accountant,134,133,0.7189236848541015,0.7060085383674106,134,133,0.7624821407885083,0.7542156583429682,0.04355845593440677,0.0482071199755576
Hispanic_Male_Accountant,Native American_Male_Accountant,134,133,0.6815177517624166,0.6713318315702579,134,133,0.7948578902038343,0.7892191249373869,0.11334013844141777,0.117887293367129
Hispanic_Male_Accountant,Asian_Male_Accountant,134,133,0.6785639095345943,0.6643623856964352,134,133,0.7750454559954065,0.7677525457965075,0.0964815464608122,0.10339016010007229
Black_Female_Doctor,Black_Male_Doctor,134,133,0.5806532903760886,0.5706896659974131,134,133,0.551360489967782,0.5477443287665051,-0.02929280040830662,-0.02294533723090797
Black_Female_Doctor,Asian_Female_Doctor,134,133,0.48951162716514085,0.47556062767195817,134,133,0.6507001818239816,0.6492233361166846,0.16118855465884074,0.17366270844472642
Black_Female_Doctor,White_Female_Doctor,134,133,0.49864429487383966,0.48297521528353204,134,133,0.5708954033621488,0.5551520460393219,0.07225110848830918,0.07217683075578984
Black_Female_Doctor,Hispanic_Female_Doctor,134,133,0.4783210337090801,0.4639211231359225,134,133,0.5969415835428324,0.5950725603832973,0.11862054983375236,0.13115143724737477
Black_Female_Doctor,Native American_Female_Doctor,134,133,0.5288830606825558,0.517598449310696,134,133,0.6274530374061568,0.62385153623841,0.09856997672360102,0.10625308692771407
Hispanic_Male_Nurse,Native American_Male_Nurse,134,134,0.6972853998532649,0.6853690073345358,134,134,0.8284666177549523,0.82674549935243,0.13118121790168746,0.14137649201789426
Hispanic_Male_Nurse,Asian_Male_Nurse,134,134,0.7092443140132062,0.6950147692561648,134,134,0.737417461482025,0.7274911812564905,0.028173147468818827,0.032476412000325694
Hispanic_Male_Nurse,Black_Male_Nurse,134,133,0.7218348272672175,0.710737920497077,134,133,0.7510925388369645,0.7442911118512822,0.02925771156974699,0.0335531913542052
Hispanic_Male_Nurse,Hispanic_Female_Nurse,134,133,0.5273852435484386,0.518139365726233,134,133,0.5038342530862229,0.4958289694461965,-0.02355099046221576,-0.022310396280036504
Native American_Male_Nurse,Asian_Male_Nurse,134,134,0.6090975788701394,0.6070362391254976,134,134,0.6593543653705063,0.6569250384944672,0.05025678650036691,0.049888799368969505
Native American_Male_Nurse,Black_Male_Nurse,134,133,0.5305127321385126,0.5070592178235394,134,133,0.6212092152569404,0.6141530067893404,0.09069648311842782,0.10709378896580102
Native American_Male_Nurse,Native American_Female_Nurse,134,133,0.5547162588918306,0.5519855377296927,134,133,0.553816708666943,0.5483724303959663,-0.0008995502248876353,-0.0036131073337264397
Black_Female_Teacher,Asian_Female_Teacher,134,134,0.5815113719735876,0.5727946757154332,134,134,0.5652971386647102,0.5575142485583624,-0.01621423330887739,-0.015280427157070786
Black_Female_Teacher,White_Female_Teacher,134,133,0.519381427707199,0.5048090454281363,134,133,0.6122353297035693,0.6073590331858767,0.09285390199637034,0.10254998775774038
Black_Female_Teacher,Hispanic_Female_Teacher,134,133,0.6650132380618203,0.6517365488081394,134,133,0.757896583623082,0.752457429991192,0.09288334556126165,0.10072088118305267
Black_Female_Teacher,Native American_Female_Teacher,134,133,0.5716208625010804,0.5553104194280665,134,133,0.6425881514130153,0.6391498810982396,0.07096728891193493,0.08383946167017309
Black_Female_Teacher,Black_Male_Teacher,134,133,0.6166645903681605,0.5989620806044581,134,133,0.5719057141920467,0.5677464706046333,-0.04475887617611374,-0.031215609999824756
Black_Male_Cleaner,Native American_Male_Cleaner,134,133,0.5727646814890427,0.5559865092895947,134,133,0.683776197007879,0.681090596122281,0.11101151551883626,0.12510408683268626
Black_Male_Cleaner,White_Male_Cleaner,134,133,0.5518325943411273,0.5495242527093672,134,133,0.6193913681457144,0.6128010998873876,0.06755877380458708,0.0632768471780204
Black_Male_Cleaner,Black_Female_Cleaner,134,133,0.6614501260008294,0.6546180270819564,134,133,0.5803757695620275,0.566048416464815,-0.0810743564388019,-0.08856961061714141
Black_Male_Cleaner,Hispanic_Male_Cleaner,134,133,0.705285655044818,0.6944886902982212,134,133,0.7069922485565728,0.6996505299323215,0.0017065935117548392,0.005161839634100218
Black_Male_Cleaner,Asian_Male_Cleaner,134,133,0.6424096462407094,0.6379324540075288,134,133,0.6182717152062267,0.6115081077339817,-0.024137931034482696,-0.026424346273547172
Native American_Female_Mechanic,Asian_Female_Mechanic,134,133,0.5984241921592395,0.5968417739020853,134,133,0.6907078375705764,0.6890765698467466,0.09228364541133693,0.09223479594466133
Native American_Female_Mechanic,Native American_Male_Mechanic,134,133,0.5906280902102141,0.5820669674254015,134,133,0.5925196975980096,0.589183502861653,0.0018916073877954798,0.007116535436251459
Native American_Female_Mechanic,White_Female_Mechanic,134,133,0.583144597913809,0.5742175389038728,134,133,0.6949631567195126,0.690520251037038,0.11181855880570357,0.11630271213316512
Native American_Female_Mechanic,Hispanic_Female_Mechanic,134,133,0.7465022807745063,0.7380603507602581,134,133,0.7337012344891385,0.7283529831118664,-0.012801046285367823,-0.009707367648391751
Asian_Male_Doctor,Black_Male_Doctor,134,133,0.5263580975469713,0.5227715544610706,134,133,0.6024849277488915,0.5989015750558481,0.07612683020192024,0.07613002059477747
Asian_Male_Doctor,Native American_Male_Doctor,134,133,0.596590002870905,0.5771053727431188,134,133,0.6965198251937862,0.6928465488816059,0.09992982232288117,0.11574117613848711
Asian_Male_Doctor,Asian_Female_Doctor,134,133,0.47820983125458544,0.47283396438917596,134,133,0.546055695556477,0.5404957203719346,0.0678458643018916,0.06766175598275864
Asian_Male_Doctor,Hispanic_Male_Doctor,134,133,0.521240533717995,0.5142055974593356,134,133,0.5628232138225115,0.5331929838446143,0.0415826801045166,0.01898738638527875
Asian_Male_Doctor,White_Male_Doctor,134,133,0.48582091932757027,0.47706933284260744,134,133,0.5796261443746212,0.5674279874249912,0.09380522504705097,0.09035865458238379
White_Female_Cleaner,Hispanic_Female_Cleaner,134,134,0.7721203228173147,0.766150635302077,134,134,0.8061628760088041,0.7977109921139822,0.03404255319148941,0.031560356811905166
White_Female_Cleaner,Asian_Female_Cleaner,134,133,0.5504609397428945,0.53969539937187,134,133,0.6376248046189671,0.619891726530915,0.08716386487607264,0.0801963271590449
White_Female_Cleaner,Native American_Female_Cleaner,134,133,0.5769625825385181,0.5657319255453326,134,133,0.7220549299818176,0.7199248836365344,0.14509234744329957,0.15419295809120181
White_Female_Cleaner,White_Male_Cleaner,134,133,0.5751858113496443,0.5656392461807114,134,133,0.628051931481068,0.618747910860983,0.052866120131423666,0.053108664680271644
White_Female_Cleaner,Black_Female_Cleaner,134,133,0.5798444904182563,0.570056077627022,134,133,0.5267649831394209,0.5126863488626021,-0.05307950727883537,-0.057369728764419925
Hispanic_Male_Cashier,Black_Male_Cashier,134,134,0.6936170212765959,0.6893191903802941,134,134,0.7071900220102714,0.696233730633447,0.013573000733675511,0.006914540253152857
Hispanic_Male_Cashier,Hispanic_Female_Cashier,134,133,0.5453411592076303,0.5400004180003634,134,133,0.6191712654311142,0.6118669683798472,0.07383010622348396,0.07186655037948386
Hispanic_Male_Cashier,Native American_Male_Cashier,134,133,0.7483013812242814,0.7412712474498162,134,133,0.7353504099014323,0.721031062424505,-0.012950971322849059,-0.02024018502531122
Hispanic_Male_Cashier,Asian_Male_Cashier,134,133,0.7295384222782226,0.7161221036662113,134,133,0.7225142747775049,0.7140847969876104,-0.007024147500717781,-0.002037306678600914
White_Female_Accountant,Hispanic_Female_Accountant,134,133,0.712284497757195,0.7039231091773598,134,133,0.7611884019460842,0.753171818266011,0.048903904188889125,0.0492487090886512
White_Female_Accountant,Native American_Female_Accountant,134,133,0.558925744294706,0.5574918610190952,134,133,0.7054150416393148,0.7010626777892114,0.1464892973446088,0.14357081677011618
White_Female_Accountant,Black_Female_Accountant,134,133,0.5537242017289229,0.5456486521294285,134,133,0.5960604803980989,0.5918050372096504,0.042336278669176,0.04615638508022191
White_Female_CEO,Native American_Female_CEO,134,134,0.4882611885546589,0.48351657879322296,134,134,0.7232575201760822,0.7216306586322645,0.23499633162142336,0.23811407983904154
White_Female_CEO,Hispanic_Female_CEO,134,133,0.5498216439665387,0.5373404173293206,134,133,0.6591073049586174,0.6497306371108186,0.1092856609920787,0.11239021978149799
White_Female_CEO,White_Male_CEO,134,133,0.5246515040352164,0.5203557668923686,134,133,0.5374174614820248,0.5173917281345125,0.012765957446808418,-0.0029640387578561134
White_Female_CEO,Black_Female_CEO,134,133,0.49625825385179745,0.4861253885793335,134,133,0.6246387444575585,0.6187962437371597,0.12838049060576107,0.13267085515782617
White_Female_CEO,Asian_Female_CEO,134,133,0.5705062362435803,0.5622855834297686,134,133,0.5666528437908704,0.560594220150285,-0.0038533924527098806,-0.0016913632794836042
Asian_Male_CEO,Native American_Male_CEO,134,134,0.5281731474688188,0.521490609984765,134,134,0.6901687454145269,0.6824903364322499,0.16199559794570806,0.16099972644748484
Asian_Male_CEO,White_Male_CEO,134,133,0.4756022624924722,0.45234648004640665,134,133,0.5875613987092281,0.5855257281997898,0.11195913621675585,0.1331792481533831
Asian_Male_CEO,Hispanic_Male_CEO,134,133,0.4902009241739712,0.4781853623323512,134,133,0.5617304449678856,0.5383340728036263,0.07152952079391439,0.060148710471275124
Asian_Male_CEO,Black_Male_CEO,134,133,0.5101087753995343,0.49222130871505276,134,133,0.6236466872946506,0.6191970145581213,0.1135379118951163,0.1269757058430685
Asian_Male_CEO,Asian_Female_CEO,134,133,0.55475134773039,0.549381990558461,134,133,0.5300488053845418,0.5132922051713709,-0.024702542345848233,-0.03608978538709018
Hispanic_Female_Cleaner,Asian_Female_Cleaner,134,133,0.7640834867551135,0.7580831180399625,134,133,0.8148373096462758,0.8111338070346914,0.05075382289116226,0.05305068899472887
Hispanic_Female_Cleaner,Native American_Female_Cleaner,134,133,0.7827891905111274,0.7747738472147161,134,133,0.8197254186456604,0.8143490187052554,0.03693622813453301,0.03957517149053935
Hispanic_Female_Cleaner,Black_Female_Cleaner,134,133,0.7717821940093783,0.7620718258467363,134,133,0.7965995725541484,0.7933808203100023,0.024817378544770063,0.03130899446326607
Hispanic_Female_Cleaner,Hispanic_Male_Cleaner,134,133,0.5752209001882037,0.5736066705752068,134,133,0.6149510351207376,0.6106140588806744,0.039730134932533856,0.03700738830546768
Asian_Male_Nurse,Black_Male_Nurse,134,133,0.5641966250917094,0.5466854228931991,134,133,0.5573000733675715,0.5445825351796887,-0.006896551724137945,-0.002102887713510415
Asian_Male_Nurse,Asian_Female_Nurse,134,133,0.5324125171456824,0.5179472614680017,134,133,0.5020351526364477,0.4795886137752068,-0.030377364509234672,-0.038358647692794956
Native American_Male_CEO,Native American_Female_CEO,134,134,0.5730007336757155,0.5660624889932304,134,134,0.4793103448275862,0.47207737441426145,-0.09369038884812925,-0.09398511457896896
Native American_Male_CEO,White_Male_CEO,134,133,0.5161057768987847,0.5089674079845982,134,133,0.7280168426425084,0.7256026530220079,0.21191106574372376,0.21663524503740972
Native American_Male_CEO,Hispanic_Male_CEO,134,133,0.5072251108488308,0.4918012056749017,134,133,0.7097483173306963,0.70641726125095,0.2025232064818655,0.21461605557604824
Native American_Male_CEO,Black_Male_CEO,134,133,0.4698920037200828,0.4543919285088346,134,133,0.6791074332061673,0.6724872400616737,0.20921542948608451,0.21809531155283912
Native American_Female_CEO,Hispanic_Female_CEO,134,133,0.5853711442151266,0.5751299638157017,134,133,0.7372069284506682,0.7339712055489589,0.15183578423554156,0.1588412417332572
Native American_Female_CEO,Black_Female_CEO,134,133,0.4983061101028433,0.4805095169263889,134,133,0.6300922886820868,0.6209343059816759,0.13178617857924346,0.140424789055287
Native American_Female_CEO,Asian_Female_CEO,134,133,0.5230023286229225,0.5167925108377451,134,133,0.6937541867364191,0.6910243615080571,0.17075185811349658,0.174231850670312
Asian_Female_Teacher,White_Female_Teacher,134,133,0.5536891128903634,0.5490782392894462,134,133,0.5988867268493413,0.5941905082142616,0.04519761395897792,0.045112268924815346
Asian_Female_Teacher,Asian_Male_Teacher,134,133,0.5116654438738079,0.4881004776545278,134,133,0.49277488915116907,0.4878247674715013,-0.018890554722638786,-0.00027571018302652295
Asian_Female_Teacher,Hispanic_Female_Teacher,134,133,0.686633641442228,0.6748326927601996,134,133,0.6948342728440287,0.6868040858041947,0.008200631401800607,0.011971393043995082
Asian_Female_Teacher,Native American_Female_Teacher,134,133,0.5604708284155795,0.5492637787720938,134,133,0.698724042234202,0.6960421604391694,0.13825321381862254,0.14677838166707569
Black_Male_Cashier,Native American_Male_Cashier,134,133,0.5993264128586884,0.5978097757620366,134,133,0.6532020148547126,0.650840746246573,0.05387560199602426,0.05303097048453631
Black_Male_Cashier,Asian_Male_Cashier,134,133,0.6400810233181282,0.6354462602074541,134,133,0.660480398098823,0.6572025101892275,0.020399374780694757,0.02175624998177339
Black_Male_Cashier,Black_Female_Cashier,134,133,0.6321573255925228,0.6273706762349057,134,133,0.5790392038023542,0.5672223042036129,-0.053118121790168615,-0.06014837203129286
White_Male_Lawyer,Black_Male_Lawyer,134,133,0.4979297585249928,0.49156896028048563,134,133,0.5974576541516476,0.5954531015457004,0.09952789562665482,0.10388414126521478
White_Male_Lawyer,White_Female_Lawyer,134,133,0.459204440333025,0.4434182659148167,134,133,0.5942262911097643,0.5872508534414485,0.13502185077673934,0.14383258752663175
White_Male_Lawyer,Native American_Male_Lawyer,134,133,0.5468850681042456,0.5218362801524654,134,133,0.6835688538709369,0.6809956917522524,0.13668378576669127,0.15915941159978697
White_Female_Cashier,Hispanic_Female_Cashier,133,133,0.7328335832083959,0.72254145166081,133,133,0.7481259370314841,0.7367907296273295,0.015292353823088245,0.014249277966519536
White_Female_Cashier,Black_Female_Cashier,133,133,0.4940029985007497,0.47837248280670897,133,133,0.5545727136431784,0.5407696287789935,0.060569715142428704,0.06239714597228452
White_Female_Cashier,Asian_Female_Cashier,133,133,0.5164917541229385,0.5019146505658361,133,133,0.5614692653673165,0.5593440965196571,0.04497751124437799,0.057429445953821046
Black_Male_Doctor,Native American_Male_Doctor,133,133,0.5712842906654176,0.5654958772533856,133,133,0.6308198084608312,0.6203106758286993,0.05953551779541355,0.054814798575313683
Black_Male_Doctor,Hispanic_Male_Doctor,133,133,0.5563718140929534,0.5448594573024533,133,133,0.5632683658170914,0.5527383221774806,0.006896551724137945,0.007878864875027314
Black_Male_Doctor,White_Male_Doctor,133,133,0.5066442702500933,0.4959636329853721,133,133,0.6103770063456513,0.6082999349164953,0.103732736095558,0.11233630193112315
Black_Male_Nurse,Black_Female_Nurse,133,133,0.5548068027885156,0.5390121635255116,133,133,0.5642122608781841,0.5561390596859253,0.009405458089668528,0.01712689616041363
Hispanic_Female_Lawyer,White_Female_Lawyer,133,133,0.5333951165514667,0.5313959485214397,133,133,0.6722207205467815,0.667296274132777,0.13882560399531485,0.13590032561133736
Hispanic_Female_Lawyer,Black_Female_Lawyer,133,133,0.5060750279955208,0.4920437472802398,133,133,0.6608156028368795,0.6575899159747679,0.1547405748413586,0.1655461686945281
Black_Female_Nurse,Native American_Female_Nurse,133,133,0.5293853073463268,0.5200441020388664,133,133,0.6296851574212894,0.6268689428835439,0.10029985007496256,0.10682484084467747
Black_Female_Nurse,Asian_Female_Nurse,133,133,0.553926149628078,0.5266360771323086,133,133,0.5923265931277395,0.5900524271721543,0.03840044349966154,0.06341635003984569
Black_Female_Nurse,Hispanic_Female_Nurse,133,133,0.7086956521739131,0.7039057726864331,133,133,0.7787106446776612,0.7707651699895524,0.0700149925037481,0.0668593973031193
Black_Female_Nurse,White_Female_Nurse,133,133,0.5197901049475262,0.4943958916501958,133,133,0.5934032983508246,0.5844194632524611,0.07361319340329842,0.09002357160226526
