intersectional_id,control_id,n_target,n_control,accuracy,f1_score
White_Male_CEO,White_Female_CEO,267,269,0.5797288855572214,0.5730947645074471
White_Male_CEO,Black_Male_CEO,267,267,0.5680308781779322,0.5647479343397438
White_Male_CEO,Asian_Male_CEO,267,269,0.5851408498972913,0.5828101338717125
White_Male_CEO,Hispanic_Male_CEO,267,267,0.6095601135602411,0.6057791159239349
White_Male_CEO,Native American_Male_CEO,267,269,0.6313686906546727,0.6263960303652377
White_Male_Doctor,White_Female_Doctor,267,267,0.5673842530022782,0.5627851007596981
White_Male_Doctor,Black_Male_Doctor,267,267,0.5511224305805986,0.5270831064402012
White_Male_Doctor,Asian_Male_Doctor,267,269,0.5408657373440939,0.5350643600746263
White_Male_Doctor,Hispanic_Male_Doctor,267,267,0.5556796070050083,0.545081361887599
White_Male_Doctor,Native American_Male_Doctor,267,267,0.61424119267354,0.607392424317676
White_Male_Lawyer,White_Female_Lawyer,269,267,0.5189655172413794,0.5132840236902274
White_Male_Lawyer,Black_Male_Lawyer,269,267,0.533859134262656,0.5307905846581287
White_Male_Lawyer,Asian_Male_Lawyer,269,269,0.5522667522621667,0.5498081406866379
White_Male_Lawyer,Hispanic_Male_Lawyer,269,269,0.5786974199070677,0.5741762877895968
White_Male_Lawyer,Native American_Male_Lawyer,269,267,0.6341159207630227,0.6324205532288215
White_Male_Nurse,White_Female_Nurse,269,267,0.5544387380777697,0.5508962792360586
White_Male_Nurse,Black_Male_Nurse,269,267,0.5179856970011234,0.5098619213845805
White_Male_Nurse,Asian_Male_Nurse,269,269,0.616275372951822,0.6132361691115107
White_Male_Nurse,Hispanic_Male_Nurse,269,269,0.7367067131327953,0.7304466499280491
White_Male_Nurse,Native American_Male_Nurse,269,269,0.5981512048272939,0.5973474004057587
White_Male_Teacher,White_Female_Teacher,267,267,0.560274649909088,0.5480466822783293
White_Male_Teacher,Black_Male_Teacher,267,267,0.5606941178060715,0.5588133320968625
White_Male_Teacher,Asian_Male_Teacher,267,267,0.5572205113848451,0.5468160055662491
White_Male_Teacher,Hispanic_Male_Teacher,267,267,0.6989250055823153,0.6880326491964961
White_Male_Teacher,Native American_Male_Teacher,267,267,0.6273133735603469,0.6223000504144881
White_Male_Accountant,White_Female_Accountant,269,269,0.536278735632184,0.5202825384201163
White_Male_Accountant,Black_Male_Accountant,269,267,0.5586769115442279,0.5554283977598349
White_Male_Accountant,Asian_Male_Accountant,269,267,0.5599512743628187,0.5539061640347536
White_Male_Accountant,Hispanic_Male_Accountant,269,269,0.7259858767424798,0.7156924024239067
White_Male_Accountant,Native American_Male_Accountant,269,267,0.6157764609879168,0.607085536206764
White_Male_Cleaner,White_Female_Cleaner,267,269,0.6019809244314013,0.5973589554808785
White_Male_Cleaner,Black_Male_Cleaner,267,269,0.6066397652237712,0.6017967046193771
White_Male_Cleaner,Asian_Male_Cleaner,267,267,0.5776547896264634,0.5713364085933075
White_Male_Cleaner,Hispanic_Male_Cleaner,267,267,0.7542352271255647,0.7488426031513734
White_Male_Cleaner,Native American_Male_Cleaner,267,267,0.670787478601125,0.6689032127034908
White_Male_Mechanic,White_Female_Mechanic,267,267,0.6184060506730329,0.6152622741748468
White_Male_Mechanic,Black_Male_Mechanic,267,267,0.5423094373865699,0.5385459949138007
White_Male_Mechanic,Asian_Male_Mechanic,267,267,0.5296500685827299,0.514494824791704
White_Male_Mechanic,Hispanic_Male_Mechanic,267,267,0.7129780854253723,0.7034573024981501
White_Male_Mechanic,Native American_Male_Mechanic,267,267,0.6816178563972138,0.6795549068372159
White_Male_Cashier,White_Female_Cashier,269,267,0.6076982050687982,0.5988698871282802
White_Male_Cashier,Black_Male_Cashier,269,269,0.5811465193817577,0.571615224933023
White_Male_Cashier,Asian_Male_Cashier,269,267,0.5943873807776963,0.5905016144883785
White_Male_Cashier,Hispanic_Male_Cashier,269,269,0.7343971631205674,0.7298359561004716
White_Male_Cashier,Native American_Male_Cashier,269,267,0.6474399915222604,0.6448135170277801
White_Female_CEO,Black_Female_CEO,269,267,0.5987527512839325,0.5886334964242204
White_Female_CEO,Asian_Female_CEO,269,267,0.6071533382245048,0.6034903587132079
White_Female_CEO,Hispanic_Female_CEO,269,267,0.6075584688059106,0.6029960127446303
White_Female_CEO,Native American_Female_CEO,269,269,0.6428955734898507,0.6386228342714803
White_Female_Doctor,Black_Female_Doctor,267,269,0.5861702127659575,0.5826787895956409
