
================ PAIRWISE INTERSECTIONAL BIAS REPORT ================

RELATIVE SEMANTIC DISTANCES ACROSS GROUPS:
              intersectional_id                        control_id  n_target  n_control  accuracy  f1_score
        Hispanic_Female_Cleaner    Native American_Female_Cleaner       269        267  0.814165  0.809894
           Asian_Female_Cleaner           Hispanic_Female_Cleaner       267        269  0.808801  0.803459
           White_Female_Cleaner           Hispanic_Female_Cleaner       269        269  0.806533  0.800995
           Black_Female_Cleaner           Hispanic_Female_Cleaner       267        269  0.798056  0.790618
          Hispanic_Female_Nurse      Native American_Female_Nurse       267        267  0.776327  0.772757
         Hispanic_Male_Mechanic     Native American_Male_Mechanic       267        267  0.778494  0.772677
        Black_Female_Accountant        Hispanic_Female_Accountant       267        267  0.771304  0.768274
          Hispanic_Male_Cleaner      Native American_Male_Cleaner       267        267  0.772857  0.767854
     Hispanic_Female_Accountant Native American_Female_Accountant       267        267  0.769315  0.764904
             Asian_Male_Cashier             Hispanic_Male_Cashier       267        269  0.769883  0.764140
           Asian_Female_Cashier           Hispanic_Female_Cashier       267        267  0.773099  0.763881
        White_Female_Accountant        Hispanic_Female_Accountant       269        267  0.770657  0.763818
             Asian_Male_Cleaner             Hispanic_Male_Cleaner       267        267  0.769754  0.762504
            Hispanic_Male_Nurse        Native American_Male_Nurse       269        269  0.763392  0.760071
             Asian_Female_Nurse             Hispanic_Female_Nurse       267        267  0.764045  0.759389
          White_Female_Mechanic          Hispanic_Female_Mechanic       267        267  0.763032  0.758888
        Asian_Female_Accountant        Hispanic_Female_Accountant       269        267  0.762362  0.755993
          Asian_Male_Accountant          Hispanic_Male_Accountant       267        269  0.760748  0.753034
           White_Female_Cashier           Hispanic_Female_Cashier       267        267  0.761894  0.751827
           Black_Female_Cashier           Hispanic_Female_Cashier       267        267  0.759003  0.751641
        Hispanic_Female_Teacher    Native American_Female_Teacher       267        267  0.752991  0.749603
             White_Male_Cleaner             Hispanic_Male_Cleaner       267        267  0.754235  0.748843
          Hispanic_Male_Cashier      Native American_Male_Cashier       269        267  0.752531  0.747681
       Hispanic_Male_Accountant   Native American_Male_Accountant       269        267  0.754288  0.747481
          Hispanic_Male_Teacher      Native American_Male_Teacher       267        267  0.750018  0.745993
       Hispanic_Female_Mechanic   Native American_Female_Mechanic       267        269  0.751431  0.745010
        Hispanic_Female_Cashier    Native American_Female_Cashier       267        269  0.751607  0.744444
           Asian_Female_Teacher           Hispanic_Female_Teacher       269        267  0.747779  0.743377
             White_Female_Nurse             Hispanic_Female_Nurse       267        267  0.746871  0.741439
          Black_Male_Accountant          Hispanic_Male_Accountant       267        269  0.747124  0.740088
             Black_Female_Nurse             Hispanic_Female_Nurse       267        267  0.743360  0.739546
            Asian_Male_Mechanic     Native American_Male_Mechanic       267        267  0.739583  0.738388
               Black_Male_Nurse               Hispanic_Male_Nurse       267        269  0.742700  0.736791
               Asian_Male_Nurse               Hispanic_Male_Nurse       269        269  0.737563  0.732018
               White_Male_Nurse               Hispanic_Male_Nurse       269        269  0.736707  0.730447
             White_Male_Cashier             Hispanic_Male_Cashier       269        269  0.734397  0.729836
             Black_Male_Cashier             Hispanic_Male_Cashier       269        269  0.733015  0.727258
          Black_Female_Mechanic          Hispanic_Female_Mechanic       269        267  0.731548  0.725557
             Asian_Male_Teacher             Hispanic_Male_Teacher       267        267  0.730795  0.724930
          Asian_Female_Mechanic          Hispanic_Female_Mechanic       267        267  0.725114  0.721308
          White_Male_Accountant          Hispanic_Male_Accountant       269        269  0.725986  0.715692
             Black_Male_Teacher             Hispanic_Male_Teacher       267        267  0.722596  0.714336
             Asian_Male_Cashier      Native American_Male_Cashier       267        267  0.713820  0.712822
           White_Female_Teacher           Hispanic_Female_Teacher       267        267  0.717926  0.711126
             Black_Male_Cleaner             Hispanic_Male_Cleaner       269        267  0.718672  0.709294
            White_Male_Mechanic            Hispanic_Male_Mechanic       267        267  0.712978  0.703457
           Black_Female_Teacher           Hispanic_Female_Teacher       269        267  0.707850  0.701411
            Asian_Male_Mechanic            Hispanic_Male_Mechanic       267        267  0.703810  0.699047
             Asian_Male_Cleaner      Native American_Male_Cleaner       267        267  0.700711  0.698922
            Black_Male_Mechanic            Hispanic_Male_Mechanic       267        267  0.704115  0.696093
           Asian_Female_Cleaner    Native American_Female_Cleaner       267        267  0.695541  0.694108
             White_Male_Teacher             Hispanic_Male_Teacher       267        267  0.698925  0.688033
           Asian_Female_Cashier    Native American_Female_Cashier       267        269  0.687357  0.680078
            White_Male_Mechanic     Native American_Male_Mechanic       267        267  0.681618  0.679555
           White_Female_Cleaner    Native American_Female_Cleaner       269        267  0.680448  0.675975
             White_Male_Cleaner      Native American_Male_Cleaner       267        267  0.670787  0.668903
          White_Female_Mechanic   Native American_Female_Mechanic       267        269  0.669809  0.668140
             Black_Male_Cashier                Asian_Male_Cashier       269        267  0.657128  0.656376
          Asian_Female_Mechanic   Native American_Female_Mechanic       267        269  0.657337  0.656190
          Asian_Male_Accountant   Native American_Male_Accountant       267        267  0.659616  0.655067
            Hispanic_Female_CEO        Native American_Female_CEO       267        269  0.656420  0.652882
           Asian_Female_Teacher    Native American_Female_Teacher       269        267  0.653705  0.652512
            White_Female_Lawyer     Native American_Female_Lawyer       267        269  0.651247  0.649635
            Black_Male_Mechanic     Native American_Male_Mechanic       267        267  0.646228  0.645188
             White_Male_Cashier      Native American_Male_Cashier       269        267  0.647440  0.644814
             Asian_Male_Teacher      Native American_Male_Teacher       267        267  0.644225  0.642393
           White_Female_Cashier    Native American_Female_Cashier       267        269  0.645359  0.640663
               White_Female_CEO        Native American_Female_CEO       269        269  0.642896  0.638623
        Asian_Female_Accountant Native American_Female_Accountant       269        267  0.639721  0.637304
             Black_Male_Cleaner              Black_Female_Cleaner       269        267  0.641930  0.636788
              Asian_Male_Doctor       Native American_Male_Doctor       269        267  0.639398  0.636506
           Hispanic_Male_Doctor       Native American_Male_Doctor       267        267  0.639146  0.635959
          Black_Female_Mechanic             Asian_Female_Mechanic       269        267  0.635950  0.632579
              White_Male_Lawyer       Native American_Male_Lawyer       269        267  0.634116  0.632421
           Hispanic_Male_Lawyer       Native American_Male_Lawyer       269        267  0.636518  0.632270
               Asian_Male_Nurse        Native American_Male_Nurse       269        269  0.629754  0.628583
             Black_Male_Cleaner                Asian_Male_Cleaner       269        267  0.632208  0.626902
             Asian_Male_Cashier              Asian_Female_Cashier       267        267  0.631294  0.626475
                 White_Male_CEO          Native American_Male_CEO       267        269  0.631369  0.626396
