intersectional_id,control_id,n_target_imp,n_control_imp,accuracy_imp,f1_score_imp,n_target_exp,n_control_exp,accuracy_exp,f1_score_exp,accuracy_delta,f1_score_delta
Native American_Female_Lawyer,Unmarked_Unmarked_Lawyer,134,1335,0.7182917801205989,0.5784451278627103,134,1335,0.8586843481072982,0.7203309789734245,0.1403925679866993,0.14188585111071417
White_Male_Cashier,Unmarked_Unmarked_Cashier,134,1334,0.8047720431686367,0.6569799744846405,134,1334,0.8164549837261091,0.6765874237785392,0.011682940557472432,0.019607449293898682
Asian_Female_Accountant,Unmarked_Unmarked_Accountant,134,1334,0.7910497833036265,0.65352414859952,134,1334,0.7859590949503332,0.6402207605789041,-0.005090688353293293,-0.013303388020615925
Asian_Male_Lawyer,Unmarked_Unmarked_Lawyer,134,1335,0.7246670902294945,0.5776833347627084,134,1335,0.7919398946814258,0.6403779915438049,0.06727280445193129,0.06269465678109654
Asian_Female_Lawyer,Unmarked_Unmarked_Lawyer,134,1335,0.7796977229042998,0.6266929861285295,134,1335,0.7959043613347474,0.6441134886942794,0.016206638430447562,0.017420502565749896
Hispanic_Male_Lawyer,Unmarked_Unmarked_Lawyer,134,1335,0.7875317353675839,0.6332319966630695,134,1335,0.8467132090268731,0.7051243690304152,0.05918147365928916,0.07189237236734569
Native American_Female_Cashier,Unmarked_Unmarked_Cashier,134,1334,0.8411379130215126,0.7049128413108691,134,1334,0.874105298368083,0.7392904745722131,0.0329673853465704,0.03437763326134402
White_Male_Accountant,Unmarked_Unmarked_Accountant,134,1334,0.7636817505183849,0.6319187803259428,134,1334,0.7788261233945846,0.6238276798533371,0.01514437287619963,-0.00809110047260575
Black_Female_Mechanic,Unmarked_Unmarked_Mechanic,134,1332,0.79134488033985,0.6437307257241394,134,1332,0.8188019481510157,0.674153689399121,0.027457067811165747,0.03042296367498165
White_Male_Nurse,Unmarked_Unmarked_Nurse,134,1334,0.7486964830904769,0.6049645960478593,134,1334,0.7642737673883384,0.6185496964199937,0.015577284297861538,0.01358510037213434
Hispanic_Male_Accountant,Unmarked_Unmarked_Accountant,134,1334,0.874969167925577,0.7337163791182555,134,1334,0.9298082120133262,0.8315376568626677,0.0548390440877492,0.09782127774441218
Black_Female_Doctor,Unmarked_Unmarked_Doctor,134,1332,0.7713792767118088,0.6373407532711998,134,1332,0.7604037194321008,0.6080328470772802,-0.010975557279708004,-0.029307906193919542
Hispanic_Male_Nurse,Unmarked_Unmarked_Nurse,134,1334,0.8737394571770121,0.738174929682008,134,1334,0.9002565023917786,0.7784124043131841,0.0265170452147665,0.04023747463117611
Native American_Male_Nurse,Unmarked_Unmarked_Nurse,134,1334,0.7965913319743836,0.6594481111803283,134,1334,0.8582396972541441,0.7309999208342177,0.061648365279760475,0.07155180965388941
Black_Female_Teacher,Unmarked_Unmarked_Teacher,134,1332,0.8147903899865876,0.6722641049483271,134,1332,0.7905558253757027,0.6348748466362479,-0.024234564610884912,-0.03738925831207918
Black_Male_Cleaner,Unmarked_Unmarked_Cleaner,134,1333,0.8280895100200787,0.6890324076451305,134,1333,0.8284117578038938,0.6716590873685676,0.00032224778381506614,-0.01737332027656291
Native American_Female_Mechanic,Unmarked_Unmarked_Mechanic,134,1332,0.8123475580835973,0.6496838363481094,134,1332,0.8810537118852209,0.7424069241731837,0.06870615380162359,0.09272308782507421
Asian_Male_Doctor,Unmarked_Unmarked_Doctor,134,1332,0.7433673502125528,0.5949010187867027,134,1332,0.7417656531876736,0.5863991596874054,-0.0016016970248792228,-0.008501859099297238
White_Female_Cleaner,Unmarked_Unmarked_Cleaner,134,1333,0.8252121389968943,0.6785784786646577,134,1333,0.795630058934292,0.6427872092216417,-0.029582080062602323,-0.03579126944301603
Hispanic_Male_Cashier,Unmarked_Unmarked_Cashier,134,1334,0.8976978934271918,0.7818408946922455,134,1334,0.8938105865250169,0.7616473027558972,-0.0038873069021748696,-0.020193591936348287
White_Female_Accountant,Unmarked_Unmarked_Accountant,134,1334,0.7446201507443526,0.6102004332120385,134,1334,0.8050989466489096,0.6582421765073825,0.06047879590455696,0.04804174329534394
White_Female_CEO,Unmarked_Unmarked_CEO,134,1334,0.7774683853510146,0.6373678946315012,134,1334,0.8129461441257844,0.6610430805929877,0.035477758774769774,0.023675185961486434
Asian_Male_CEO,Unmarked_Unmarked_CEO,134,1334,0.7416213682505003,0.60260246205669,134,1334,0.8294274355889971,0.6798279498900247,0.08780606733849683,0.07722548783333472
Hispanic_Female_Cleaner,Unmarked_Unmarked_Cleaner,134,1333,0.9418054278590224,0.8491692655899354,134,1333,0.9489187479370702,0.8599499709956018,0.007113320078047769,0.010780705405666335
Asian_Male_Nurse,Unmarked_Unmarked_Nurse,134,1334,0.7836909420935059,0.6407614107248417,134,1334,0.7898698367907897,0.6500459396021251,0.006178894697283832,0.009284528877283371
Native American_Male_CEO,Unmarked_Unmarked_CEO,134,1334,0.7681309335443038,0.6221701695516664,134,1334,0.8776186708860759,0.7443556170235905,0.10948773734177208,0.12218544747192417
Native American_Female_CEO,Unmarked_Unmarked_CEO,134,1334,0.7716547385474004,0.6168517912544894,134,1334,0.8837838379406673,0.7475426305335933,0.11212909939326687,0.13069083927910385
Asian_Female_Teacher,Unmarked_Unmarked_Teacher,134,1332,0.7982291113971585,0.6553331768095328,134,1332,0.7780835981686053,0.6194685936634594,-0.02014551322855318,-0.03586458314607344
Black_Male_Cashier,Unmarked_Unmarked_Cashier,134,1334,0.8283718020099581,0.6898050494666146,134,1334,0.8271244420893324,0.6980617463142781,-0.0012473599206256347,0.008256696847663503
White_Male_Lawyer,Unmarked_Unmarked_Lawyer,134,1335,0.7353006908759668,0.5907782622840532,134,1335,0.7851387105386923,0.6331689878436791,0.0498380196627255,0.042390725559625975
White_Female_Cashier,Unmarked_Unmarked_Cashier,133,1334,0.8304294468297584,0.6846282103400391,133,1334,0.8237878728576081,0.6694341849603841,-0.006641573972150261,-0.015194025379654974
Black_Male_Doctor,Unmarked_Unmarked_Doctor,133,1332,0.7785498837010946,0.6294312918045821,133,1332,0.7938425245092994,0.6372048078693352,0.015292640808204805,0.007773516064753072
Black_Male_Nurse,Unmarked_Unmarked_Nurse,133,1334,0.7933916992275922,0.6297886321871585,133,1334,0.7725444883233387,0.6358552054372374,-0.020847210904253566,0.006066573250078866
Hispanic_Female_Lawyer,Unmarked_Unmarked_Lawyer,133,1335,0.751790127988645,0.6062062807618525,133,1335,0.8121356728580867,0.6553558702272829,0.06034554486944177,0.049149589465430465
Black_Female_Nurse,Unmarked_Unmarked_Nurse,133,1334,0.8017000923688424,0.6584559093935942,133,1334,0.7902871136531812,0.6434755520812903,-0.01141297871566127,-0.01498035731230396
