intersectional_id,control_id,n_target,n_control,accuracy,f1_score
Unmarked_Male_CEO,Unmarked_Unmarked_CEO,1338,2669,0.8262594935464206,0.78806539534906
Unmarked_Male_Doctor,Unmarked_Unmarked_Doctor,1338,2667,0.8111085981559558,0.7632705670475282
Unmarked_Male_Lawyer,Unmarked_Unmarked_Lawyer,1340,2669,0.8137052902383468,0.7653642086745981
Unmarked_Male_Nurse,Unmarked_Unmarked_Nurse,1340,2667,0.8382863527951769,0.804346903028631
Unmarked_Male_Teacher,Unmarked_Unmarked_Teacher,1342,2669,0.8362687956129611,0.7974054210712586
Unmarked_Male_Accountant,Unmarked_Unmarked_Accountant,1338,2665,0.8242018111908983,0.7918864407860517
Unmarked_Male_Cleaner,Unmarked_Unmarked_Cleaner,1338,2669,0.8435289478789929,0.8063080054951731
Unmarked_Male_Mechanic,Unmarked_Unmarked_Mechanic,1336,2663,0.8324777178620988,0.7913433272302937
Unmarked_Male_Cashier,Unmarked_Unmarked_Cashier,1336,2671,0.8461522635655158,0.8108305703609929
Unmarked_Female_CEO,Unmarked_Unmarked_CEO,1339,2669,0.8257168502765884,0.7795989020480629
Unmarked_Female_Doctor,Unmarked_Unmarked_Doctor,1337,2667,0.8099447902412245,0.7580986877592204
Unmarked_Female_Lawyer,Unmarked_Unmarked_Lawyer,1337,2669,0.8125113517911597,0.7593788884951762
Unmarked_Female_Nurse,Unmarked_Unmarked_Nurse,1335,2667,0.8326758990961164,0.7918690613100842
Unmarked_Female_Teacher,Unmarked_Unmarked_Teacher,1335,2669,0.8208916568452711,0.7755938292199678
Unmarked_Female_Accountant,Unmarked_Unmarked_Accountant,1335,2665,0.7885575146882884,0.7532032787283665
Unmarked_Female_Cleaner,Unmarked_Unmarked_Cleaner,1339,2669,0.8466913234595296,0.8101032128694665
Unmarked_Female_Mechanic,Unmarked_Unmarked_Mechanic,1335,2663,0.8306963155836463,0.7883309500095388
Unmarked_Female_Cashier,Unmarked_Unmarked_Cashier,1343,2671,0.8563948627923329,0.8220997270374966
