
================ PAIRWISE INTERSECTIONAL BIAS REPORT ================

RELATIVE SEMANTIC DISTANCES ACROSS GROUPS:
                intersectional_id                        control_id  exaggeration
         Hispanic_Male_Accountant             Black_Male_Accountant     18.810673
            Hispanic_Male_Teacher                White_Male_Teacher     18.803757
              Hispanic_Male_Nurse                  White_Male_Nurse     18.109482
          Hispanic_Female_Teacher              White_Female_Teacher     18.030598
         Hispanic_Female_Mechanic             White_Female_Mechanic     17.756948
         Hispanic_Male_Accountant             White_Male_Accountant     17.699383
           Hispanic_Male_Mechanic               White_Male_Mechanic     17.591879
            Hispanic_Male_Cleaner                White_Male_Cleaner     17.478170
            Hispanic_Male_Teacher                Black_Male_Teacher     17.434088
            Hispanic_Male_Cashier                White_Male_Cashier     17.114630
            Hispanic_Female_Nurse                White_Female_Nurse     17.062958
          Hispanic_Female_Cashier              White_Female_Cashier     17.027161
              Hispanic_Male_Nurse                  Black_Male_Nurse     16.870951
           Hispanic_Male_Mechanic               Black_Male_Mechanic     16.487997
         Hispanic_Female_Mechanic             Black_Female_Mechanic     16.341677
            Hispanic_Male_Cashier                Black_Male_Cashier     16.329693
          Hispanic_Female_Cashier              Black_Female_Cashier     16.293751
       Hispanic_Female_Accountant           White_Female_Accountant     16.260023
            Hispanic_Male_Cleaner                Black_Male_Cleaner     16.081518
            Hispanic_Female_Nurse                Black_Female_Nurse     15.951671
          Hispanic_Female_Cleaner              White_Female_Cleaner     15.914065
          Hispanic_Female_Teacher              Black_Female_Teacher     15.873382
       Hispanic_Female_Accountant           Black_Female_Accountant     15.835950
            Hispanic_Male_Teacher      Native American_Male_Teacher     15.801493
          Hispanic_Female_Cleaner              Black_Female_Cleaner     15.641472
         Hispanic_Male_Accountant             Asian_Male_Accountant     15.582457
       Hispanic_Female_Accountant Native American_Female_Accountant     15.512094
            Hispanic_Male_Teacher                Asian_Male_Teacher     15.477769
              Hispanic_Male_Nurse        Native American_Male_Nurse     15.298612
         Hispanic_Male_Accountant   Native American_Male_Accountant     15.287296
          Hispanic_Female_Cashier    Native American_Female_Cashier     14.994777
            Hispanic_Male_Cashier                Asian_Male_Cashier     14.836782
                Hispanic_Male_CEO                    White_Male_CEO     14.795219
            Hispanic_Female_Nurse      Native American_Female_Nurse     14.733358
            Hispanic_Female_Nurse                Asian_Female_Nurse     14.514170
            Hispanic_Male_Cleaner      Native American_Male_Cleaner     14.467823
         Hispanic_Female_Mechanic   Native American_Female_Mechanic     14.442142
          Hispanic_Female_Cleaner    Native American_Female_Cleaner     14.261994
           Hispanic_Male_Mechanic     Native American_Male_Mechanic     14.249365
          Hispanic_Female_Teacher              Asian_Female_Teacher     14.173712
           Hispanic_Male_Mechanic               Asian_Male_Mechanic     14.135577
          Hispanic_Female_Teacher    Native American_Female_Teacher     14.123131
            Hispanic_Male_Cleaner                Asian_Male_Cleaner     14.050611
            Asian_Male_Accountant             Black_Male_Accountant     13.885814
             Hispanic_Male_Doctor       Native American_Male_Doctor     13.831149
            Hispanic_Male_Cashier      Native American_Male_Cashier     13.810421
       Hispanic_Female_Accountant           Asian_Female_Accountant     13.797525
                 Asian_Male_Nurse                  Black_Male_Nurse     13.744300
               Black_Male_Cleaner                Asian_Male_Cleaner     13.528374
         Hispanic_Female_Mechanic             Asian_Female_Mechanic     13.500178
          Hispanic_Female_Cashier              Asian_Female_Cashier     13.475299
             Hispanic_Male_Lawyer                 White_Male_Lawyer     13.473439
                Hispanic_Male_CEO                    Black_Male_CEO     13.462148
                 Asian_Male_Nurse                  White_Male_Nurse     13.461216
          Hispanic_Female_Cleaner              Asian_Female_Cleaner     13.459467
               Asian_Female_Nurse                White_Female_Nurse     13.446532
           Hispanic_Female_Doctor               White_Female_Doctor     13.380011
              Hispanic_Male_Nurse                  Asian_Male_Nurse     13.318294
          Asian_Female_Accountant           Black_Female_Accountant     13.284401
             Asian_Female_Teacher              White_Female_Teacher     13.256879
