
================ PAIRWISE INTERSECTIONAL BIAS REPORT ================

RELATIVE SEMANTIC DISTANCES ACROSS GROUPS:
              intersectional_id                        control_id  n_target  n_control  accuracy  f1_score
          Hispanic_Male_Cashier      Native American_Male_Cashier       269        267  0.662773  0.659218
               White_Male_Nurse        Native American_Male_Nurse       269        269  0.657852  0.656547
        Hispanic_Female_Cleaner    Native American_Female_Cleaner       269        267  0.655326  0.652426
     Hispanic_Female_Accountant Native American_Female_Accountant       267        267  0.651695  0.649841
             White_Male_Cleaner      Native American_Male_Cleaner       267        267  0.654119  0.649636
                 White_Male_CEO          Native American_Male_CEO       267        269  0.653486  0.649584
               Asian_Female_CEO        Native American_Female_CEO       267        269  0.655203  0.649084
             White_Male_Cashier      Native American_Male_Cashier       269        267  0.654431  0.648759
              White_Male_Lawyer       Native American_Male_Lawyer       269        267  0.648412  0.646664
                 Asian_Male_CEO          Native American_Male_CEO       269        269  0.654544  0.646121
             White_Female_Nurse      Native American_Female_Nurse       267        267  0.643526  0.641050
             Asian_Female_Nurse      Native American_Female_Nurse       267        267  0.643810  0.639156
           White_Female_Cleaner    Native American_Female_Cleaner       269        267  0.644210  0.637976
              Hispanic_Male_CEO          Native American_Male_CEO       267        269  0.643640  0.636428
        White_Female_Accountant Native American_Female_Accountant       269        267  0.640527  0.635846
           Black_Female_Cashier    Native American_Female_Cashier       267        269  0.644637  0.634668
           White_Female_Cleaner           Hispanic_Female_Cleaner       269        269  0.640679  0.633908
          Hispanic_Male_Cleaner      Native American_Male_Cleaner       267        267  0.635630  0.632772
           White_Female_Teacher    Native American_Female_Teacher       267        267  0.637207  0.632718
              Asian_Male_Lawyer       Native American_Male_Lawyer       269        267  0.634162  0.629174
           Asian_Female_Cashier    Native American_Female_Cashier       267        269  0.634058  0.628117
          Hispanic_Male_Teacher      Native American_Male_Teacher       267        267  0.629611  0.625495
             Asian_Male_Cleaner      Native American_Male_Cleaner       267        267  0.628227  0.624278
               White_Female_CEO        Native American_Female_CEO       269        269  0.625880  0.623668
             White_Male_Cleaner              White_Female_Cleaner       267        269  0.634096  0.623517
           Black_Female_Cleaner    Native American_Female_Cleaner       267        267  0.624823  0.621798
       Hispanic_Male_Accountant   Native American_Male_Accountant       269        267  0.629610  0.621693
             White_Male_Teacher      Native American_Male_Teacher       267        267  0.622442  0.621462
               Black_Male_Nurse        Native American_Male_Nurse       267        269  0.626775  0.621210
            White_Female_Lawyer     Native American_Female_Lawyer       267        269  0.625434  0.620908
           Asian_Female_Cleaner    Native American_Female_Cleaner       267        267  0.625152  0.620533
             Black_Male_Cashier      Native American_Male_Cashier       269        267  0.623776  0.620263
                 Black_Male_CEO          Native American_Male_CEO       267        269  0.621158  0.619770
            Black_Female_Lawyer     Native American_Female_Lawyer       267        269  0.623847  0.619387
        Hispanic_Female_Teacher    Native American_Female_Teacher       267        267  0.626254  0.618766
             Asian_Male_Cashier      Native American_Male_Cashier       267        267  0.619626  0.618750
            Hispanic_Female_CEO        Native American_Female_CEO       267        269  0.623516  0.618702
             Black_Male_Cleaner      Native American_Male_Cleaner       269        267  0.620852  0.618375
              Asian_Male_Doctor       Native American_Male_Doctor       269        267  0.620282  0.618209
            Asian_Female_Doctor     Native American_Female_Doctor       267        267  0.621871  0.617942
           Hispanic_Male_Lawyer       Native American_Male_Lawyer       269        267  0.622516  0.617415
        Black_Female_Accountant Native American_Female_Accountant       267        267  0.619659  0.616795
          Hispanic_Female_Nurse      Native American_Female_Nurse       267        267  0.618121  0.614025
        Hispanic_Female_Cashier    Native American_Female_Cashier       267        269  0.616890  0.613720
              White_Male_Doctor       Native American_Male_Doctor       267        267  0.613706  0.612596
            Asian_Female_Lawyer     Native American_Female_Lawyer       269        269  0.615646  0.609990
         Hispanic_Female_Doctor     Native American_Female_Doctor       267        267  0.611160  0.608489
            Black_Female_Doctor     Native American_Female_Doctor       269        267  0.611328  0.607623
           Asian_Female_Teacher    Native American_Female_Teacher       269        267  0.608004  0.606766
               Asian_Male_Nurse        Native American_Male_Nurse       269        269  0.613723  0.605388
           White_Female_Cashier    Native American_Female_Cashier       267        269  0.609026  0.605365
             Black_Male_Teacher      Native American_Male_Teacher       267        267  0.609590  0.604961
             Asian_Male_Teacher      Native American_Male_Teacher       267        267  0.608004  0.603993
           Black_Female_Teacher    Native American_Female_Teacher       269        267  0.608382  0.603506
        Asian_Female_Accountant Native American_Female_Accountant       269        267  0.607456  0.602801
