intersectional_id,exaggeration
Unmarked_Male_CEO,0.7432591
Unmarked_Male_Doctor,0.83768815
Unmarked_Male_Lawyer,0.8095721
Unmarked_Male_Nurse,0.79046655
Unmarked_Male_Teacher,0.8215578
Unmarked_Male_Accountant,0.80199045
Unmarked_Male_Cleaner,0.64112157
Unmarked_Male_Mechanic,0.55101395
Unmarked_Male_Cashier,0.7516371
Unmarked_Female_CEO,0.83206666
Unmarked_Female_Doctor,0.79886353
Unmarked_Female_Lawyer,0.7851687
Unmarked_Female_Nurse,0.8023435
Unmarked_Female_Teacher,0.8060685
Unmarked_Female_Accountant,0.7775434
Unmarked_Female_Cleaner,0.7351598
Unmarked_Female_Mechanic,0.65545136
Unmarked_Female_Cashier,0.6924263
