intersectional_id,control_id,n_target_imp,n_control_imp,accuracy_imp,f1_score_imp,n_target_exp,n_control_exp,accuracy_exp,f1_score_exp,accuracy_delta,f1_score_delta
Native American_Female_Lawyer,Asian_Female_Lawyer,134,134,0.48197973381730186,0.4612136793095914,134,134,0.7464004839685421,0.7426546307089911,0.2644207501512402,0.2814409513993997
Native American_Female_Lawyer,Hispanic_Female_Lawyer,134,133,0.454017839904236,0.45160957269427315,134,133,0.7366091310447799,0.7343215612003999,0.2825912911405439,0.2827119885061268
Native American_Female_Lawyer,White_Female_Lawyer,134,133,0.5488434953855659,0.537466086579561,134,133,0.7815190948758544,0.7791035478131036,0.2326755994902885,0.24163746123354268
Native American_Female_Lawyer,Native American_Male_Lawyer,134,133,0.5301090216369978,0.527260754798337,134,133,0.5601549729054845,0.5550309278136869,0.030045951268486748,0.027770173015349897
Native American_Female_Lawyer,Black_Female_Lawyer,134,133,0.5478163493840985,0.5429445281811229,134,133,0.6955709155500637,0.6935802439839265,0.14775456616596516,0.15063571580280355
White_Male_Cashier,Hispanic_Male_Cashier,134,134,0.7114453411592077,0.7093498083206065,134,134,0.6930300807043287,0.6894376788739697,-0.018415260454878957,-0.019912129446636784
White_Male_Cashier,Black_Male_Cashier,134,134,0.542899274047187,0.5414080840652848,134,134,0.5912658802177859,0.5866458313862951,0.04836660617059896,0.04523774732101027
White_Male_Cashier,White_Female_Cashier,134,133,0.5867359153569911,0.5851230573371519,134,133,0.5912370802280831,0.5891595976648633,0.004501164871091978,0.004036540327711391
White_Male_Cashier,Native American_Male_Cashier,134,133,0.5375,0.5317112748095474,134,133,0.7089912280701754,0.7065795478785306,0.17149122807017547,0.17486827306898323
White_Male_Cashier,Asian_Male_Cashier,134,133,0.5350890064486233,0.5339146227404722,134,133,0.5717908123206034,0.5672976393852814,0.03670180587198002,0.03338301664480925
Asian_Female_Accountant,White_Female_Accountant,134,134,0.5557593543653704,0.5481577870076245,134,134,0.5884079236977257,0.5813607542732895,0.03264856933235527,0.03320296726566496
Asian_Female_Accountant,Hispanic_Female_Accountant,134,133,0.6842375564737229,0.6801904871608377,134,133,0.7289660321015304,0.7228797601411536,0.04472847562780757,0.042689272980315884
Asian_Female_Accountant,Native American_Female_Accountant,134,133,0.5684841230000901,0.5665813082030252,134,133,0.7229370197320153,0.7223903396780641,0.1544528967319252,0.15580903147503888
Asian_Female_Accountant,Black_Female_Accountant,134,133,0.44621513431414195,0.43180267441313347,134,133,0.5968606402285979,0.5952395588865723,0.1506455059144559,0.16343688447343885
Asian_Female_Accountant,Asian_Male_Accountant,134,133,0.44887052554349927,0.4416684601943898,134,133,0.5534304166505772,0.5467729839915954,0.10455989110707797,0.10510452379720553
