intersectional_id,control_id,n_target,n_control,accuracy,f1_score
White_Male_Accountant,Unmarked_Unmarked_Accountant,298,2698,0.9103710926175337,0.6400523826721946
Asian_Female_Lawyer,Unmarked_Unmarked_Lawyer,296,2694,0.9068496040333459,0.6196218781908405
White_Male_Cashier,Unmarked_Unmarked_Cashier,296,2697,0.8929695128536601,0.6106859213335787
White_Male_Cleaner,Unmarked_Unmarked_Cleaner,298,2701,0.9059631460689352,0.650387815481725
Asian_Female_CEO,Unmarked_Unmarked_CEO,296,2696,0.9115789558555605,0.6247398454845257
Asian_Male_CEO,Unmarked_Unmarked_CEO,296,2696,0.9047132168941407,0.5775413395824438
Native American_Female_Doctor,Unmarked_Unmarked_Doctor,296,2694,0.9014840937494111,0.5739157308316354
White_Male_Teacher,Unmarked_Unmarked_Teacher,296,2697,0.9154276113085785,0.6758156450924646
Asian_Female_Cleaner,Unmarked_Unmarked_Cleaner,296,2701,0.9463684915619881,0.8345621848178787
Black_Female_Cleaner,Unmarked_Unmarked_Cleaner,296,2701,0.9002969242297765,0.6592553178171474
White_Male_Doctor,Unmarked_Unmarked_Doctor,296,2694,0.9039585424107373,0.6164757806856402
Asian_Female_Doctor,Unmarked_Unmarked_Doctor,295,2694,0.9042166565657002,0.5996662760959763
White_Female_Lawyer,Unmarked_Unmarked_Lawyer,296,2694,0.9083733547436473,0.6025885960629236
White_Male_Mechanic,Unmarked_Unmarked_Mechanic,296,2696,0.8979366264396889,0.5461563059096932
Black_Female_Cashier,Unmarked_Unmarked_Cashier,298,2697,0.8919332064961406,0.6675330777304839
Asian_Female_Accountant,Unmarked_Unmarked_Accountant,296,2698,0.9107198421920588,0.6303722428801168
Black_Female_Mechanic,Unmarked_Unmarked_Mechanic,296,2696,0.9173717100361587,0.7166458068685457
Hispanic_Male_Cleaner,Unmarked_Unmarked_Cleaner,298,2701,0.9045978896400056,0.5902045982328735
Asian_Female_Cashier,Unmarked_Unmarked_Cashier,296,2697,0.9327684437740993,0.7683288383255192
Asian_Male_Lawyer,Unmarked_Unmarked_Lawyer,297,2694,0.9019774757966547,0.6000610142098679
Hispanic_Male_Accountant,Unmarked_Unmarked_Accountant,296,2698,0.9039120775810033,0.5904861429610454
White_Female_CEO,Unmarked_Unmarked_CEO,294,2696,0.9080202381456633,0.6315696136263024
Hispanic_Male_CEO,Unmarked_Unmarked_CEO,296,2696,0.9072193413197857,0.5667591742774487
Native American_Female_Accountant,Unmarked_Unmarked_Accountant,298,2698,0.9027625093682901,0.5943409823233081
