
================ PAIRWISE INTERSECTIONAL BIAS REPORT ================

RELATIVE SEMANTIC DISTANCES ACROSS GROUPS:
                intersectional_id                        control_id  exaggeration
       Hispanic_Female_Accountant           White_Female_Accountant      0.229924
          Hispanic_Female_Teacher              White_Female_Teacher      0.189961
          Black_Female_Accountant           White_Female_Accountant      0.188996
          Asian_Female_Accountant           White_Female_Accountant      0.187274
             Asian_Female_Cashier              White_Female_Cashier      0.180018
   Native American_Female_Cashier      Native American_Male_Cashier      0.173524
             Asian_Female_Cleaner              White_Female_Cleaner      0.172916
Native American_Female_Accountant           White_Female_Accountant      0.172743
             Hispanic_Male_Doctor                 White_Male_Doctor      0.172115
            Hispanic_Female_Nurse                White_Female_Nurse      0.169397
             Black_Female_Teacher              White_Female_Teacher      0.168091
            Asian_Male_Accountant             White_Male_Accountant      0.166513
   Native American_Female_Cashier              White_Female_Cashier      0.165521
                   Asian_Male_CEO                    White_Male_CEO      0.165253
             Black_Female_Cleaner              White_Female_Cleaner      0.164232
               Black_Male_Cashier                White_Male_Cashier      0.163108
          Hispanic_Female_Cleaner              White_Female_Cleaner      0.160136
                Hispanic_Male_CEO                    White_Male_CEO      0.159945
         Hispanic_Female_Mechanic             White_Female_Mechanic      0.158577
         Native American_Male_CEO                    White_Male_CEO      0.157983
          Hispanic_Female_Cashier              White_Female_Cashier      0.157287
             Hispanic_Male_Lawyer                 White_Male_Lawyer      0.156438
              Black_Female_Doctor               White_Female_Doctor      0.155744
   Native American_Female_Cleaner              White_Female_Cleaner      0.154779
            Black_Female_Mechanic             White_Female_Mechanic      0.153907
       Native American_Female_CEO                  White_Female_CEO      0.153437
              Black_Female_Lawyer               White_Female_Lawyer      0.153317
               Asian_Female_Nurse                White_Female_Nurse      0.152829
                Asian_Male_Lawyer                 White_Male_Lawyer      0.149510
            Black_Male_Accountant             White_Male_Accountant      0.149065
                 Asian_Female_CEO                  White_Female_CEO      0.148946
  Native American_Male_Accountant             White_Male_Accountant      0.147849
     Native American_Female_Nurse                White_Female_Nurse      0.145599
                 Black_Female_CEO                  White_Female_CEO      0.145315
               Black_Male_Cleaner                White_Male_Cleaner      0.145293
                Black_Male_Lawyer                 White_Male_Lawyer      0.144926
                Black_Male_Doctor                 White_Male_Doctor      0.143346
              Asian_Female_Lawyer               White_Female_Lawyer      0.140577
               Black_Female_Nurse                White_Female_Nurse      0.140401
             Black_Female_Cashier              White_Female_Cashier      0.140364
    Native American_Female_Lawyer               White_Female_Lawyer      0.139800
              Black_Male_Mechanic               White_Male_Mechanic      0.139016
              Hispanic_Female_CEO                  White_Female_CEO      0.138759
                   Black_Male_CEO                    White_Male_CEO      0.138308
          Hispanic_Female_Cashier             Hispanic_Male_Cashier      0.137721
   Native American_Female_Teacher              White_Female_Teacher      0.137362
     Native American_Male_Cleaner                White_Male_Cleaner      0.137258
      Native American_Male_Lawyer                 White_Male_Lawyer      0.134563
            Asian_Female_Mechanic             White_Female_Mechanic      0.134090
              Asian_Male_Mechanic               White_Male_Mechanic      0.132282
  Native American_Female_Mechanic     Native American_Male_Mechanic      0.130829
             Asian_Female_Teacher              White_Female_Teacher      0.130739
               Asian_Male_Cleaner                White_Male_Cleaner      0.128495
                Asian_Male_Doctor                 White_Male_Doctor      0.126733
           Hispanic_Female_Lawyer               White_Female_Lawyer      0.126191
  Native American_Female_Mechanic             White_Female_Mechanic      0.124890
               Asian_Male_Cashier                White_Male_Cashier      0.123927
               Black_Male_Teacher                White_Male_Teacher      0.123399
            Hispanic_Male_Teacher                White_Male_Teacher      0.122651
      Native American_Male_Doctor                 White_Male_Doctor      0.120897
             Asian_Female_Cashier                Asian_Male_Cashier      0.119657
    Native American_Female_Doctor               White_Female_Doctor      0.116972
             Asian_Female_Cleaner                Asian_Male_Cleaner      0.116719
              Asian_Female_Doctor               White_Female_Doctor      0.113340
             Black_Female_Cleaner                Black_Male_Cleaner      0.113147
             Black_Female_Cashier                Black_Male_Cashier      0.112795
    Native American_Male_Mechanic               White_Male_Mechanic      0.110252
       Native American_Male_Nurse                  White_Male_Nurse      0.107805
              Hispanic_Male_Nurse                  White_Male_Nurse      0.107678
            Black_Female_Mechanic               Black_Male_Mechanic      0.107636
           Hispanic_Female_Doctor               White_Female_Doctor      0.107417
                 White_Female_CEO                    White_Male_CEO      0.106870
     Native American_Male_Teacher                White_Male_Teacher      0.105638
   Native American_Female_Cleaner      Native American_Male_Cleaner      0.105596
                 Asian_Male_Nurse                  White_Male_Nurse      0.104249
         Hispanic_Female_Mechanic            Hispanic_Male_Mechanic      0.103676
               Asian_Male_Teacher                White_Male_Teacher      0.102612
          Black_Female_Accountant             Black_Male_Accountant      0.102481
                 Black_Male_Nurse                  White_Male_Nurse      0.100085
       Hispanic_Female_Accountant          Hispanic_Male_Accountant      0.098511
             Black_Female_Teacher                Black_Male_Teacher      0.095586
          Hispanic_Female_Teacher             Hispanic_Male_Teacher      0.095460
             Asian_Female_Cashier              Black_Female_Cashier      0.093165
       Native American_Female_CEO          Native American_Male_CEO      0.091994
            Hispanic_Female_Nurse               Hispanic_Male_Nurse      0.090478
     Native American_Female_Nurse        Native American_Male_Nurse      0.087882
            Asian_Female_Mechanic               Asian_Male_Mechanic      0.085078
              Hispanic_Female_CEO                 Hispanic_Male_CEO      0.084430
             White_Female_Cleaner                White_Male_Cleaner      0.082965
          Asian_Female_Accountant             Asian_Male_Accountant      0.082679
          Hispanic_Female_Cleaner             Hispanic_Male_Cleaner      0.081408
                 Asian_Female_CEO                    Asian_Male_CEO      0.081226
Native American_Female_Accountant   Native American_Male_Accountant      0.080132
     Native American_Male_Cashier                White_Male_Cashier      0.077915
                White_Male_Doctor                 Asian_Male_Doctor      0.077418
               Black_Male_Cashier      Native American_Male_Cashier      0.075885
               Black_Female_Nurse                  Black_Male_Nurse      0.075772
         Hispanic_Male_Accountant             White_Male_Accountant      0.074901
   Native American_Female_Teacher      Native American_Male_Teacher      0.074790
               Asian_Female_Nurse                  Asian_Male_Nurse      0.072037
              Black_Male_Mechanic            Hispanic_Male_Mechanic      0.070598
             Asian_Female_Cleaner              Black_Female_Cleaner      0.070185
              Black_Female_Doctor                 Black_Male_Doctor      0.069104
              Asian_Male_Mechanic     Native American_Male_Mechanic      0.068318
              Black_Female_Lawyer                 Black_Male_Lawyer      0.068029
              Black_Female_Doctor            Hispanic_Female_Doctor      0.067349
      Native American_Male_Lawyer                 Asian_Male_Lawyer      0.067107
                White_Male_Doctor              Hispanic_Male_Doctor      0.066928
               Black_Male_Cashier                Asian_Male_Cashier      0.066733
                 Black_Female_CEO                    Black_Male_CEO      0.066648
               Black_Male_Cashier              Black_Female_Cashier      0.066427
               Asian_Male_Cashier      Native American_Male_Cashier      0.066033
    Native American_Female_Doctor       Native American_Male_Doctor      0.065718
                 White_Male_Nurse                  Asian_Male_Nurse      0.065335
             Asian_Female_Cleaner    Native American_Female_Cleaner      0.065329
              White_Female_Doctor                 White_Male_Doctor      0.065280
    Native American_Female_Lawyer       Native American_Male_Lawyer      0.064454
          Hispanic_Female_Cleaner    Native American_Female_Cleaner      0.064235
                Black_Male_Lawyer              Hispanic_Male_Lawyer      0.064227
             White_Female_Cashier              Black_Female_Cashier      0.063876
             Asian_Female_Cleaner           Hispanic_Female_Cleaner      0.063802
             Asian_Female_Teacher                Asian_Male_Teacher      0.063214
          White_Female_Accountant             White_Male_Accountant      0.062261
              Asian_Female_Doctor                 Asian_Male_Doctor      0.061262
               White_Male_Cashier              White_Female_Cashier      0.060542
              Black_Female_Lawyer               Asian_Female_Lawyer      0.060486
   Native American_Female_Cashier              Black_Female_Cashier      0.060131
    Native American_Female_Lawyer               Asian_Female_Lawyer      0.059943
              White_Female_Lawyer                 White_Male_Lawyer      0.059897
      Native American_Male_Lawyer              Hispanic_Male_Lawyer      0.059806
          Hispanic_Female_Cashier              Black_Female_Cashier      0.059610
               Black_Male_Cleaner              Black_Female_Cleaner      0.059001
      Native American_Male_Lawyer     Native American_Female_Lawyer      0.058826
                Black_Male_Lawyer                 Asian_Male_Lawyer      0.058642
             Asian_Female_Cashier    Native American_Female_Cashier      0.058545
                Black_Male_Doctor                 Asian_Male_Doctor      0.058374
              Black_Male_Mechanic     Native American_Male_Mechanic      0.058287
             Asian_Female_Cashier           Hispanic_Female_Cashier      0.058111
       Native American_Female_CEO                  Asian_Female_CEO      0.057971
               Asian_Male_Cleaner             Hispanic_Male_Cleaner      0.057415
          White_Female_Accountant        Hispanic_Female_Accountant      0.056454
               White_Male_Cleaner                Black_Male_Cleaner      0.056243
         Native American_Male_CEO                    Asian_Male_CEO      0.055213
     Native American_Male_Cleaner             Hispanic_Male_Cleaner      0.055183
               White_Female_Nurse                  White_Male_Nurse      0.054801
           Hispanic_Female_Lawyer              Hispanic_Male_Lawyer      0.054778
Native American_Female_Accountant        Hispanic_Female_Accountant      0.054773
