intersectional_id,control_id,n_target_imp,n_control_imp,accuracy_imp,f1_score_imp,n_target_exp,n_control_exp,accuracy_exp,f1_score_exp,accuracy_delta,f1_score_delta
Asian_Female_Mechanic,Hispanic_Female_Mechanic,133,134,0.6029921209607962,0.5950688037452744,132,134,0.6401799100449775,0.635964878258996,0.0371877890841813,0.04089607451372157
Asian_Female_Mechanic,Asian_Male_Mechanic,133,132,0.7354980404534576,0.7313880218986284,132,133,0.7854493805728715,0.7836153682965473,0.049951340119413934,0.05222734639791893
Asian_Female_Mechanic,White_Female_Mechanic,133,133,0.8445585717779409,0.8431870464038473,132,133,0.8183097779855993,0.8173225417107508,-0.026248793792341574,-0.025864504693096535
Asian_Female_Mechanic,Black_Female_Mechanic,133,133,0.6266852016321067,0.6131773751556853,132,133,0.6987619452152023,0.6957457335074679,0.07207674358309557,0.08256835835178267
Asian_Female_Mechanic,Native American_Female_Mechanic,133,134,0.6178091805161248,0.6084678111798777,132,134,0.6784107946026987,0.6703218825655249,0.06060161408657394,0.06185407138564725
White_Male_Teacher,Hispanic_Male_Teacher,133,132,0.8443699203030064,0.8419269797725251,133,133,0.8607196401799101,0.8603256482307756,0.0163497198769037,0.018398668458250556
White_Male_Teacher,Asian_Male_Teacher,133,133,0.8856071964017991,0.8831684733106165,133,133,0.8614692653673164,0.8610568235537656,-0.024137931034482696,-0.022111649756850982
White_Male_Teacher,Native American_Male_Teacher,133,134,0.8430125078292559,0.8371825582567313,133,134,0.8345739935847553,0.8308515793700131,-0.008438514244500595,-0.006330978886718186
White_Male_Teacher,White_Female_Teacher,133,134,0.6716673578104564,0.66777779315882,133,134,0.6640913585760311,0.6547411299505967,-0.007575999234425312,-0.013036663208223276
Hispanic_Male_Mechanic,Hispanic_Female_Mechanic,133,134,0.779785594859522,0.7779176569143712,133,134,0.8139487919221061,0.8133366321096449,0.03416319706258408,0.035418975195273705
Hispanic_Male_Mechanic,Black_Male_Mechanic,133,133,0.6541229385307347,0.6435944251510527,133,133,0.6616191904047974,0.6517823681646835,0.007496251874062776,0.008187943013630794
Hispanic_Male_Mechanic,Asian_Male_Mechanic,133,132,0.6766811178549991,0.665264574539657,133,133,0.6303740389582936,0.6249687283132221,-0.04630707889670549,-0.040295846226434895
