
================ PAIRWISE INTERSECTIONAL BIAS REPORT ================

RELATIVE SEMANTIC DISTANCES ACROSS GROUPS:
                intersectional_id                        control_id  n_target  n_control  accuracy  f1_score
                 White_Male_Nurse                  Asian_Male_Nurse       298        295  0.919056  0.918525
               White_Male_Teacher                Asian_Male_Teacher       296        296  0.881627  0.880805
            White_Male_Accountant             Asian_Male_Accountant       298        296  0.878325  0.877914
            Hispanic_Female_Nurse                White_Female_Nurse       296        295  0.877690  0.876491
          White_Female_Accountant        Hispanic_Female_Accountant       296        298  0.867597  0.866313
          Asian_Female_Accountant           White_Female_Accountant       296        296  0.864062  0.863460
                   Asian_Male_CEO                    White_Male_CEO       296        296  0.857759  0.856955
                 Asian_Female_CEO                  White_Female_CEO       296        294  0.856900  0.856230
          White_Female_Accountant           Black_Female_Accountant       296        294  0.855830  0.853652
              White_Female_Doctor            Hispanic_Female_Doctor       296        296  0.854226  0.852975
                White_Male_Doctor              Hispanic_Male_Doctor       296        298  0.853169  0.852516
                Asian_Male_Lawyer                 White_Male_Lawyer       297        296  0.852690  0.851659
                 White_Male_Nurse               Hispanic_Male_Nurse       298        298  0.849711  0.848123
              White_Female_Doctor               Black_Female_Doctor       296        296  0.848624  0.847414
              Asian_Female_Doctor               White_Female_Doctor       295        296  0.847896  0.847204
               White_Female_Nurse                Asian_Female_Nurse       295        296  0.851778  0.846479
             White_Female_Teacher           Hispanic_Female_Teacher       298        297  0.850597  0.846418
                 White_Female_CEO               Hispanic_Female_CEO       294        297  0.845765  0.845241
             Asian_Female_Teacher              White_Female_Teacher       296        298  0.844362  0.841328
                White_Male_Doctor                 Asian_Male_Doctor       296        298  0.841759  0.840859
   Native American_Female_Teacher              White_Female_Teacher       298        298  0.844712  0.840653
             Asian_Female_Cleaner              Black_Female_Cleaner       296        296  0.840571  0.838469
             Hispanic_Male_Lawyer                 White_Male_Lawyer       296        296  0.839817  0.837162
                Hispanic_Male_CEO                    White_Male_CEO       296        296  0.839494  0.837070
               White_Female_Nurse                Black_Female_Nurse       295        296  0.840439  0.834657
            White_Male_Accountant          Hispanic_Male_Accountant       298        296  0.834515  0.832874
             Black_Female_Cashier              White_Female_Cashier       298        296  0.832786  0.832012
            White_Female_Mechanic          Hispanic_Female_Mechanic       296        298  0.834652  0.830703
               White_Male_Teacher             Hispanic_Male_Teacher       296        295  0.835874  0.829899
             Asian_Female_Cleaner              White_Female_Cleaner       296        296  0.835604  0.829824
   Native American_Female_Cashier              White_Female_Cashier       298        296  0.830056  0.828514
             White_Female_Teacher              Black_Female_Teacher       298        296  0.832164  0.828422
             Black_Female_Cleaner              White_Female_Cleaner       296        296  0.829795  0.825496
                 White_Female_CEO        Native American_Female_CEO       294        294  0.828033  0.825223
            White_Male_Accountant             Black_Male_Accountant       298        295  0.826650  0.824926
              Asian_Female_Lawyer               White_Female_Lawyer       296        296  0.824569  0.824126
                 White_Male_Nurse        Native American_Male_Nurse       298        296  0.828656  0.823789
                 White_Female_CEO                  Black_Female_CEO       294        298  0.824831  0.822738
    Native American_Female_Doctor               White_Female_Doctor       296        296  0.830765  0.821549
                White_Male_Doctor       Native American_Male_Doctor       296        296  0.821973  0.820184
            Asian_Female_Mechanic             White_Female_Mechanic       295        296  0.821756  0.819337
            Black_Female_Mechanic             White_Female_Mechanic       296        296  0.825546  0.818337
            White_Male_Accountant   Native American_Male_Accountant       298        298  0.823697  0.816763
             White_Female_Cashier           Hispanic_Female_Cashier       296        296  0.818568  0.815439
               White_Male_Cashier                Black_Male_Cashier       296        298  0.819801  0.815219
               White_Male_Cleaner                Black_Male_Cleaner       298        298  0.820022  0.814051
             White_Female_Cleaner           Hispanic_Female_Cleaner       296        298  0.820470  0.812205
     Native American_Female_Nurse                White_Female_Nurse       296        295  0.820744  0.811880
            Hispanic_Male_Teacher           Hispanic_Female_Teacher       295        297  0.814395  0.811613
                 White_Male_Nurse                  Black_Male_Nurse       298        296  0.813494  0.810736
             Black_Female_Cashier                Black_Male_Cashier       298        298  0.810422  0.810408
Native American_Female_Accountant           White_Female_Accountant       298        296  0.812148  0.808632
             Asian_Female_Cashier              White_Female_Cashier       296        296  0.811853  0.808519
                White_Male_Doctor                 Black_Male_Doctor       296        296  0.812888  0.807618
                   White_Male_CEO          Native American_Male_CEO       296        297  0.811601  0.807412
                   White_Male_CEO                    Black_Male_CEO       296        296  0.810506  0.807038
  Native American_Female_Mechanic             White_Female_Mechanic       298        296  0.808805  0.806219
               Black_Male_Teacher              Black_Female_Teacher       296        296  0.805876  0.805218
              White_Female_Lawyer     Native American_Female_Lawyer       296        296  0.808028  0.802764
            Black_Male_Accountant           Black_Female_Accountant       295        294  0.801752  0.801135
           Hispanic_Male_Mechanic          Hispanic_Female_Mechanic       296        298  0.802707  0.800422
               White_Male_Teacher      Native American_Male_Teacher       296        298  0.806163  0.800309
     Native American_Female_Nurse        Native American_Male_Nurse       296        296  0.801455  0.800219
              White_Female_Lawyer            Hispanic_Female_Lawyer       296        295  0.803472  0.798638
                White_Male_Lawyer       Native American_Male_Lawyer       296        298  0.803689  0.797122
              White_Male_Mechanic               Black_Male_Mechanic       296        296  0.802532  0.796764
                 Black_Male_Nurse                Black_Female_Nurse       296        296  0.798583  0.796342
               White_Male_Cleaner                Asian_Male_Cleaner       298        298  0.799273  0.795514
   Native American_Female_Cleaner              White_Female_Cleaner       296        296  0.800808  0.793338
             Asian_Female_Cashier                Asian_Male_Cashier       296        298  0.800387  0.793197
          Asian_Female_Accountant             Asian_Male_Accountant       296        296  0.790335  0.789914
             Asian_Female_Cleaner                Asian_Male_Cleaner       296        298  0.791802  0.789212
   Native American_Female_Cleaner      Native American_Male_Cleaner       296        298  0.790125  0.787733
            Hispanic_Male_Cleaner           Hispanic_Female_Cleaner       298        298  0.790043  0.787323
              White_Female_Lawyer               Black_Female_Lawyer       296        296  0.789386  0.787067
Native American_Female_Accountant   Native American_Male_Accountant       298        298  0.787435  0.787016
              Hispanic_Male_Nurse             Hispanic_Female_Nurse       298        296  0.787613  0.786957
            Hispanic_Male_Cashier           Hispanic_Female_Cashier       296        296  0.786962  0.784966
   Native American_Female_Teacher      Native American_Male_Teacher       298        298  0.783378  0.782434
               White_Male_Cleaner             Hispanic_Male_Cleaner       298        298  0.783250  0.781933
               Asian_Female_Nurse                  Asian_Male_Nurse       296        295  0.786108  0.780833
             Black_Female_Cleaner                Black_Male_Cleaner       296        298  0.783469  0.780599
               White_Male_Teacher                Black_Male_Teacher       296        296  0.781841  0.776615
             Black_Female_Cashier              Asian_Female_Cashier       298        296  0.776330  0.775068
             Asian_Female_Teacher                Asian_Male_Teacher       296        296  0.777825  0.775028
                White_Male_Lawyer                 Black_Male_Lawyer       296        295  0.784117  0.774517
              White_Male_Mechanic               Asian_Male_Mechanic       296        295  0.777993  0.774374
   Native American_Female_Cashier      Native American_Male_Cashier       298        296  0.777549  0.773501
         Hispanic_Male_Accountant        Hispanic_Female_Accountant       296        298  0.772322  0.769705
               Asian_Male_Cleaner                Black_Male_Cleaner       298        298  0.766176  0.765151
   Native American_Female_Teacher           Hispanic_Female_Teacher       298        297  0.768869  0.764917
               White_Male_Cleaner      Native American_Male_Cleaner       298        298  0.766635  0.764206
               White_Male_Cashier                Asian_Male_Cashier       296        298  0.766625  0.759693
             Asian_Female_Cleaner           Hispanic_Female_Cleaner       296        298  0.762947  0.759115
            Asian_Female_Mechanic               Asian_Male_Mechanic       295        295  0.761625  0.757451
             Asian_Female_Cleaner    Native American_Female_Cleaner       296        296  0.761961  0.753203
               White_Male_Cashier             Hispanic_Male_Cashier       296        296  0.753380  0.752274
             Asian_Female_Teacher           Hispanic_Female_Teacher       296        297  0.756268  0.748655
    Native American_Female_Lawyer       Native American_Male_Lawyer       296        298  0.742184  0.741330
               White_Male_Cashier      Native American_Male_Cashier       296        296  0.743481  0.739288
  Native American_Female_Mechanic     Native American_Male_Mechanic       298        298  0.741641  0.735386
           Hispanic_Female_Doctor              Hispanic_Male_Doctor       296        298  0.734987  0.733840
              Asian_Male_Mechanic               Black_Male_Mechanic       295        296  0.736035  0.731706
               Asian_Male_Cashier                Black_Male_Cashier       298        298  0.732581  0.731635
              Asian_Female_Doctor                 Asian_Male_Doctor       295        298  0.732065  0.729547
       Native American_Female_CEO          Native American_Male_CEO       294        297  0.730144  0.729451
                Black_Male_Doctor               Black_Female_Doctor       296        296  0.727748  0.726740
    Native American_Female_Doctor       Native American_Male_Doctor       296        296  0.728717  0.720778
              White_Male_Mechanic            Hispanic_Male_Mechanic       296        296  0.727269  0.719677
             Black_Female_Cleaner           Hispanic_Female_Cleaner       296        298  0.727825  0.719195
            Hispanic_Male_Teacher      Native American_Male_Teacher       295        298  0.719076  0.715646
            Black_Female_Mechanic             Asian_Female_Mechanic       296        295  0.714516  0.712562
            Black_Female_Mechanic               Black_Male_Mechanic       296        296  0.730399  0.711996
     Native American_Female_Nurse             Hispanic_Female_Nurse       296        296  0.713847  0.711899
Native American_Female_Accountant        Hispanic_Female_Accountant       298        298  0.712020  0.709597
