intersectional_id,control_id,n_target,n_control,accuracy,f1_score
White_Male_CEO,Unmarked_Unmarked_CEO,296,2696,0.90168394908761,0.5141011653685964
White_Male_Doctor,Unmarked_Unmarked_Doctor,296,2694,0.8991439707137362,0.5145544461991398
White_Male_Lawyer,Unmarked_Unmarked_Lawyer,296,2694,0.899200406952285,0.5511417687907594
White_Male_Nurse,Unmarked_Unmarked_Nurse,298,2694,0.8993792522323296,0.5140388343256792
White_Male_Teacher,Unmarked_Unmarked_Teacher,296,2698,0.9010718521507348,0.5060828348211382
White_Male_Accountant,Unmarked_Unmarked_Accountant,298,2698,0.9007311976323547,0.5052119613072893
White_Male_Cleaner,Unmarked_Unmarked_Cleaner,298,2702,0.8961908946946118,0.494293180623918
White_Male_Mechanic,Unmarked_Unmarked_Mechanic,296,2696,0.9042619879747607,0.5331012411271753
White_Male_Cashier,Unmarked_Unmarked_Cashier,296,2698,0.899353612203121,0.5156947286329054
White_Female_CEO,Unmarked_Unmarked_CEO,296,2696,0.9006419741448519,0.4798730484495647
White_Female_Doctor,Unmarked_Unmarked_Doctor,296,2694,0.8982352503825304,0.4865861595083441
White_Female_Lawyer,Unmarked_Unmarked_Lawyer,296,2694,0.8996375958725344,0.48018085234867247
White_Female_Nurse,Unmarked_Unmarked_Nurse,296,2694,0.9016252760106565,0.48860496268546144
White_Female_Teacher,Unmarked_Unmarked_Teacher,298,2698,0.8997533903156569,0.48941077168918773
White_Female_Accountant,Unmarked_Unmarked_Accountant,296,2698,0.9000222160239708,0.477079496258827
White_Female_Cleaner,Unmarked_Unmarked_Cleaner,296,2702,0.9014468833492006,0.4945697602253601
White_Female_Mechanic,Unmarked_Unmarked_Mechanic,296,2696,0.9002375805645617,0.49031932215196916
White_Female_Cashier,Unmarked_Unmarked_Cashier,296,2698,0.9001132130175975,0.4989907400806512
Black_Male_CEO,Unmarked_Unmarked_CEO,296,2696,0.9003975915422059,0.4981941475676027
Black_Male_Doctor,Unmarked_Unmarked_Doctor,296,2694,0.9020356704981014,0.5176542393688287
Black_Male_Lawyer,Unmarked_Unmarked_Lawyer,296,2694,0.9014228280861263,0.5279442884294505
Black_Male_Nurse,Unmarked_Unmarked_Nurse,296,2694,0.9022864581925104,0.5077754184639243
Black_Male_Teacher,Unmarked_Unmarked_Teacher,296,2698,0.8980843725747316,0.4900894820722971
Black_Male_Accountant,Unmarked_Unmarked_Accountant,296,2698,0.8989915132720523,0.5054903426687996
Black_Male_Cleaner,Unmarked_Unmarked_Cleaner,298,2702,0.8983231983366158,0.47625065527078564
Black_Male_Mechanic,Unmarked_Unmarked_Mechanic,296,2696,0.9006224158550573,0.4738148953048517
Black_Male_Cashier,Unmarked_Unmarked_Cashier,298,2698,0.9000433581795259,0.4946791949290349
Black_Female_CEO,Unmarked_Unmarked_CEO,298,2696,0.8981835494567376,0.4803250258580983
Black_Female_Doctor,Unmarked_Unmarked_Doctor,296,2694,0.900836582989178,0.49405401918663605
Black_Female_Lawyer,Unmarked_Unmarked_Lawyer,296,2694,0.900877607610175,0.47990021393445986
Black_Female_Nurse,Unmarked_Unmarked_Nurse,296,2694,0.8951322020280152,0.4849346234421814
Black_Female_Teacher,Unmarked_Unmarked_Teacher,296,2698,0.9003792859732614,0.4770664917800106
Black_Female_Accountant,Unmarked_Unmarked_Accountant,296,2698,0.8981313496272216,0.4949322857421025
Black_Female_Cleaner,Unmarked_Unmarked_Cleaner,296,2702,0.8967937300368272,0.5283240942178815
Black_Female_Mechanic,Unmarked_Unmarked_Mechanic,296,2696,0.9050858361852802,0.568378208040915
Black_Female_Cashier,Unmarked_Unmarked_Cashier,298,2698,0.9012541816851499,0.5503799118438295
Asian_Male_CEO,Unmarked_Unmarked_CEO,296,2696,0.906173747038834,0.5909567523265353
Asian_Male_Doctor,Unmarked_Unmarked_Doctor,298,2694,0.9049035648149182,0.57847959865538
Asian_Male_Lawyer,Unmarked_Unmarked_Lawyer,298,2694,0.9061303639524387,0.5969641795074989
Asian_Male_Nurse,Unmarked_Unmarked_Nurse,296,2694,0.9054453833526444,0.566115261557948
