intersectional_id,control_id,exaggeration
Asian_Female_Accountant,Asian_Male_Accountant,0.06900508154083644
Asian_Female_Accountant,Black_Female_Accountant,0.06621481215774726
Asian_Female_Accountant,Hispanic_Female_Accountant,0.06447665233479494
Asian_Female_Accountant,Native American_Female_Accountant,0.04331605433653986
Asian_Female_Accountant,White_Female_Accountant,0.1399206959382282
Asian_Female_CEO,Asian_Male_CEO,0.06779318059012533
Asian_Female_CEO,Black_Female_CEO,0.10151095613853058
Asian_Female_CEO,Hispanic_Female_CEO,0.12628658911345428
Asian_Female_CEO,Native American_Female_CEO,0.0682087371531149
Asian_Female_CEO,White_Female_CEO,0.1733555781976843
Asian_Female_Cashier,Asian_Male_Cashier,0.08910295474397163
Asian_Female_Cashier,Black_Female_Cashier,0.0732706296920696
Asian_Female_Cashier,Hispanic_Female_Cashier,0.09700468660981469
Asian_Female_Cashier,Native American_Female_Cashier,0.09181305772774304
Asian_Female_Cashier,White_Female_Cashier,0.14469288201213615
Asian_Female_Cleaner,Asian_Male_Cleaner,0.06297138415306318
Asian_Female_Cleaner,Black_Female_Cleaner,0.06071403430852728
Asian_Female_Cleaner,Hispanic_Female_Cleaner,0.0928621708338201
Asian_Female_Cleaner,Native American_Female_Cleaner,0.0815393106600226
Asian_Female_Cleaner,White_Female_Cleaner,0.15460607467223428
Asian_Female_Doctor,Asian_Male_Doctor,0.08384720461756763
Asian_Female_Doctor,Black_Female_Doctor,0.08386798437305924
Asian_Female_Doctor,Hispanic_Female_Doctor,0.10002326012019457
Asian_Female_Doctor,Native American_Female_Doctor,0.059505489602478846
Asian_Female_Doctor,White_Female_Doctor,0.13993545055287884
Asian_Female_Lawyer,Asian_Male_Lawyer,0.09347360509186432
Asian_Female_Lawyer,Black_Female_Lawyer,0.09037622605194852
Asian_Female_Lawyer,Hispanic_Female_Lawyer,0.14546610827353212
Asian_Female_Lawyer,Native American_Female_Lawyer,0.09914299946114072
Asian_Female_Lawyer,White_Female_Lawyer,0.17966800162235796
Asian_Female_Mechanic,Asian_Male_Mechanic,0.0799529104263338
Asian_Female_Mechanic,Black_Female_Mechanic,0.07138208083818984
Asian_Female_Mechanic,Hispanic_Female_Mechanic,0.05798641627818749
Asian_Female_Mechanic,Native American_Female_Mechanic,0.06973485778760238
Asian_Female_Mechanic,White_Female_Mechanic,0.151171652739351
Asian_Female_Nurse,Asian_Male_Nurse,0.03877414830609537
Asian_Female_Nurse,Black_Female_Nurse,0.05219078311077946
Asian_Female_Nurse,Hispanic_Female_Nurse,0.04497159791956128
Asian_Female_Nurse,Native American_Female_Nurse,0.014800722375048382
Asian_Female_Nurse,White_Female_Nurse,0.09805166403788981
Asian_Female_Teacher,Asian_Male_Teacher,0.0833062362547487
Asian_Female_Teacher,Black_Female_Teacher,0.07209192475328614
Asian_Female_Teacher,Hispanic_Female_Teacher,0.05714252499449168
Asian_Female_Teacher,Native American_Female_Teacher,0.02612200036116347
Asian_Female_Teacher,White_Female_Teacher,0.1246412973769941
Asian_Male_Accountant,Asian_Female_Accountant,0.03932373725261491
Asian_Male_Accountant,Black_Male_Accountant,0.05510186004491623
Asian_Male_Accountant,Hispanic_Male_Accountant,0.0645694925283453
Asian_Male_Accountant,Native American_Male_Accountant,0.03955490940625753
Asian_Male_Accountant,White_Male_Accountant,0.1128171995159577
Asian_Male_CEO,Asian_Female_CEO,0.048087363655356014
Asian_Male_CEO,Black_Male_CEO,0.09815547600409875
Asian_Male_CEO,Hispanic_Male_CEO,0.15914807569961267
Asian_Male_CEO,Native American_Male_CEO,0.08054167383871697
Asian_Male_CEO,White_Male_CEO,0.18971296962806608
Asian_Male_Cashier,Asian_Female_Cashier,0.04193564014532171
Asian_Male_Cashier,Black_Male_Cashier,0.08182534643817191
Asian_Male_Cashier,Hispanic_Male_Cashier,0.09652913587160844
Asian_Male_Cashier,Native American_Male_Cashier,0.12670835445457876
Asian_Male_Cashier,White_Male_Cashier,0.13505661336058097
Asian_Male_Cleaner,Asian_Female_Cleaner,0.0836768511162073
Asian_Male_Cleaner,Black_Male_Cleaner,0.10398117758952098
Asian_Male_Cleaner,Hispanic_Male_Cleaner,0.13890022347847156
Asian_Male_Cleaner,Native American_Male_Cleaner,0.13104366317623206
Asian_Male_Cleaner,White_Male_Cleaner,0.17406220048253054
Asian_Male_Doctor,Asian_Female_Doctor,0.028620260313328313
Asian_Male_Doctor,Black_Male_Doctor,0.047843620117063786
Asian_Male_Doctor,Hispanic_Male_Doctor,0.0933170745176208
Asian_Male_Doctor,Native American_Male_Doctor,0.042977265892354524
Asian_Male_Doctor,White_Male_Doctor,0.135320893326861
Asian_Male_Lawyer,Asian_Female_Lawyer,0.030176491881578938
Asian_Male_Lawyer,Black_Male_Lawyer,0.067309272108691
Asian_Male_Lawyer,Hispanic_Male_Lawyer,0.11826356968389824
Asian_Male_Lawyer,Native American_Male_Lawyer,0.10047005211173453
Asian_Male_Lawyer,White_Male_Lawyer,0.18852191773256025
Asian_Male_Mechanic,Asian_Female_Mechanic,0.037564030372361654
Asian_Male_Mechanic,Black_Male_Mechanic,0.05303196379332222
Asian_Male_Mechanic,Hispanic_Male_Mechanic,0.06393086255112007
Asian_Male_Mechanic,Native American_Male_Mechanic,0.04781037317056235
Asian_Male_Mechanic,White_Male_Mechanic,0.10567506323652935
Asian_Male_Nurse,Asian_Female_Nurse,0.05679049535601977
Asian_Male_Nurse,Black_Male_Nurse,0.06965927215703463
Asian_Male_Nurse,Hispanic_Male_Nurse,0.07815846021610938
Asian_Male_Nurse,Native American_Male_Nurse,0.05486525391718625
Asian_Male_Nurse,White_Male_Nurse,0.12027404340491903
Asian_Male_Teacher,Asian_Female_Teacher,0.02793682512335009
Asian_Male_Teacher,Black_Male_Teacher,0.06370040694929749
Asian_Male_Teacher,Hispanic_Male_Teacher,0.04103919115911974
Asian_Male_Teacher,Native American_Male_Teacher,0.02945166736176782
Asian_Male_Teacher,White_Male_Teacher,0.13032381114661917
Black_Female_Accountant,Asian_Female_Accountant,0.046964402781239124
Black_Female_Accountant,Black_Male_Accountant,0.06570696826755631
Black_Female_Accountant,Hispanic_Female_Accountant,0.050077010207189666
Black_Female_Accountant,Native American_Female_Accountant,0.04246665844988152
Black_Female_Accountant,White_Female_Accountant,0.11907486040223078
Black_Female_CEO,Asian_Female_CEO,0.03112582976690801
Black_Female_CEO,Black_Male_CEO,0.04466405051104687
Black_Female_CEO,Hispanic_Female_CEO,0.04912656409425465
Black_Female_CEO,Native American_Female_CEO,0.007076121834449269
Black_Female_CEO,White_Female_CEO,0.0914505356308405
Black_Female_Cashier,Asian_Female_Cashier,0.06072996498882607
Black_Female_Cashier,Black_Male_Cashier,0.07816520101948289
Black_Female_Cashier,Hispanic_Female_Cashier,0.07753034539649567
Black_Female_Cashier,Native American_Female_Cashier,0.08261868153508727
Black_Female_Cashier,White_Female_Cashier,0.13371278286732843
Black_Female_Cleaner,Asian_Female_Cleaner,0.06305405409998803
Black_Female_Cleaner,Black_Male_Cleaner,0.07815514929521951
Black_Female_Cleaner,Hispanic_Female_Cleaner,0.09575576178396336
Black_Female_Cleaner,Native American_Female_Cleaner,0.08990303255940034
Black_Female_Cleaner,White_Female_Cleaner,0.14197853964079482
Black_Female_Doctor,Asian_Female_Doctor,0.035015978919391295
Black_Female_Doctor,Black_Male_Doctor,0.055644488567399175
Black_Female_Doctor,Hispanic_Female_Doctor,0.03895358234242234
Black_Female_Doctor,Native American_Female_Doctor,0.025872894563036975
Black_Female_Doctor,White_Female_Doctor,0.08933656564539567
Black_Female_Lawyer,Asian_Female_Lawyer,0.04128796185623347
Black_Female_Lawyer,Black_Male_Lawyer,0.05399394104677652
Black_Female_Lawyer,Hispanic_Female_Lawyer,0.07482043230854683
Black_Female_Lawyer,Native American_Female_Lawyer,0.03962734746539578
