
================ PAIRWISE INTERSECTIONAL BIAS REPORT ================

RELATIVE SEMANTIC DISTANCES ACROSS GROUPS:
                intersectional_id                        control_id  exaggeration
         Native American_Male_CEO                    White_Male_CEO      0.246797
       Native American_Female_CEO                  White_Female_CEO      0.215872
      Native American_Male_Doctor                 White_Male_Doctor      0.196228
                   Asian_Male_CEO                    White_Male_CEO      0.189713
                Asian_Male_Lawyer                 White_Male_Lawyer      0.188522
Native American_Female_Accountant           White_Female_Accountant      0.186454
              Asian_Female_Lawyer               White_Female_Lawyer      0.179668
      Native American_Male_Lawyer                 White_Male_Lawyer      0.178638
         Native American_Male_CEO                 Hispanic_Male_CEO      0.177735
               Asian_Male_Cleaner                White_Male_Cleaner      0.174062
    Native American_Female_Doctor               White_Female_Doctor      0.173993
                 Asian_Female_CEO                  White_Female_CEO      0.173356
       Native American_Female_CEO               Hispanic_Female_CEO      0.166266
       Native American_Female_CEO                  Black_Female_CEO      0.165894
    Native American_Female_Lawyer               White_Female_Lawyer      0.165108
     Native American_Female_Nurse                White_Female_Nurse      0.160612
         Hispanic_Female_Mechanic             White_Female_Mechanic      0.160157
         Native American_Male_CEO                    Black_Male_CEO      0.159961
                   Asian_Male_CEO                 Hispanic_Male_CEO      0.159148
             Asian_Female_Cleaner              White_Female_Cleaner      0.154606
             Hispanic_Male_Lawyer                 White_Male_Lawyer      0.152701
  Native American_Male_Accountant             White_Male_Accountant      0.152288
            Asian_Female_Mechanic             White_Female_Mechanic      0.151172
      Native American_Male_Doctor                 Asian_Male_Doctor      0.150505
      Native American_Male_Lawyer                 Asian_Male_Lawyer      0.149317
     Native American_Male_Teacher                White_Male_Teacher      0.146904
            Hispanic_Male_Cleaner                White_Male_Cleaner      0.146237
                Black_Male_Lawyer                 White_Male_Lawyer      0.145560
              Asian_Female_Lawyer            Hispanic_Female_Lawyer      0.145466
             Asian_Female_Cashier              White_Female_Cashier      0.144693
                Black_Male_Doctor                 White_Male_Doctor      0.143101
   Native American_Female_Teacher              White_Female_Teacher      0.142993
                   Black_Male_CEO                    White_Male_CEO      0.142916
       Native American_Female_CEO                  Asian_Female_CEO      0.142844
             Black_Female_Cleaner              White_Female_Cleaner      0.141979
          Hispanic_Female_Teacher              White_Female_Teacher      0.141328
              Asian_Female_Doctor               White_Female_Doctor      0.139935
          Asian_Female_Accountant           White_Female_Accountant      0.139921
            Hispanic_Male_Cashier                White_Male_Cashier      0.139382
      Native American_Male_Doctor              Hispanic_Male_Doctor      0.139197
               Asian_Male_Cleaner             Hispanic_Male_Cleaner      0.138900
             Hispanic_Male_Doctor                 White_Male_Doctor      0.138499
            Hispanic_Male_Cashier      Native American_Male_Cashier      0.137993
  Native American_Female_Mechanic             White_Female_Mechanic      0.137380
