intersectional_id,control_id,n_target_imp,n_control_imp,accuracy_imp,f1_score_imp,n_target_exp,n_control_exp,accuracy_exp,f1_score_exp,accuracy_delta,f1_score_delta
Asian_Male_Lawyer,Unmarked_Unmarked_Lawyer,134,1332,0.804546229901144,0.643759582844341,134,1332,0.8533592041852616,0.7027297641519067,0.04881297428411757,0.058970181307565706
Native American_Male_Accountant,Unmarked_Unmarked_Accountant,134,1334,0.7238005046998554,0.5586822035610803,134,1334,0.8471573141673285,0.7203452885569926,0.12335680946747318,0.1616630849959123
Native American_Male_Lawyer,Unmarked_Unmarked_Lawyer,134,1332,0.73611482284499,0.5640753880767935,134,1332,0.8727966423916038,0.7313165714869767,0.13668181954661385,0.16724118341018324
Black_Female_Cashier,Unmarked_Unmarked_Cashier,134,1334,0.6814871010347038,0.5310852019794899,134,1334,0.823456947499938,0.6826529544190743,0.14196984646523425,0.1515677524395843
Native American_Male_Teacher,Unmarked_Unmarked_Teacher,134,1334,0.6882115605200213,0.5345907745204554,134,1334,0.8294683650503526,0.6901935646668103,0.1412568045303313,0.1556027901463548
Hispanic_Male_Doctor,Unmarked_Unmarked_Doctor,134,1332,0.6954432334942652,0.5232174105504473,134,1332,0.8292617887161808,0.6908612403121788,0.13381855522191566,0.16764382976173142
Black_Male_Cashier,Unmarked_Unmarked_Cashier,134,1334,0.7070017688679245,0.5571135086715374,134,1334,0.8080544052581541,0.6515090619491021,0.10105263639022954,0.09439555327756466
White_Female_Teacher,Unmarked_Unmarked_Teacher,134,1334,0.7542776367605157,0.6000326666045609,134,1334,0.7628645697368933,0.6052919536069379,0.008586932976377581,0.005259287002376989
Hispanic_Female_CEO,Unmarked_Unmarked_CEO,134,1333,0.7318311255009176,0.5680977318633895,134,1333,0.8882304806411172,0.7601065353725976,0.15639935514019965,0.19200880350920813
White_Male_Cleaner,Unmarked_Unmarked_Cleaner,134,1336,0.8096372085967196,0.6687954767170536,134,1336,0.884571258410357,0.7396280057395174,0.07493404981363738,0.07083252902246373
Hispanic_Female_Accountant,Unmarked_Unmarked_Accountant,134,1334,0.7083498519443017,0.557435283926868,134,1334,0.8653207057729487,0.7373601421525338,0.15697085382864706,0.17992485822566573
Native American_Male_Mechanic,Unmarked_Unmarked_Mechanic,134,1333,0.7403204629318129,0.57183219044981,134,1333,0.7853014918657133,0.625617239133777,0.044981028933900435,0.05378504868396694
Native American_Male_Cleaner,Unmarked_Unmarked_Cleaner,134,1336,0.7564392604556689,0.5928959978915775,134,1336,0.8637384216773121,0.7335903959992989,0.10729916122164318,0.14069439810772133
White_Male_Nurse,Unmarked_Unmarked_Nurse,134,1332,0.8131815151516955,0.6721294575142996,134,1332,0.8372289168949164,0.6945721634800635,0.024047401743220953,0.02244270596576381
Native American_Male_CEO,Unmarked_Unmarked_CEO,134,1333,0.7977434614715139,0.6320550789659948,134,1333,0.9067361344863899,0.7890576398518636,0.10899267301487603,0.15700256088586884
Asian_Male_Cashier,Unmarked_Unmarked_Cashier,134,1334,0.7287267397376908,0.5715409512547329,134,1334,0.8374278634089791,0.693491862599873,0.10870112367128837,0.12195091134514013
Native American_Female_Teacher,Unmarked_Unmarked_Teacher,134,1334,0.6499281645106763,0.5124252197071714,134,1334,0.8384700336775142,0.7011738110525944,0.1885418691668379,0.188748591345423
Hispanic_Female_Mechanic,Unmarked_Unmarked_Mechanic,134,1333,0.7444436612058739,0.5941001663263694,134,1333,0.8396569982023078,0.7328210506121907,0.09521333699643386,0.1387208842858213
Hispanic_Male_Cleaner,Unmarked_Unmarked_Cleaner,134,1336,0.6984828443914433,0.5463737975800388,134,1336,0.8932449082808,0.784181685479144,0.1947620638893568,0.23780788789910523
Black_Male_Cleaner,Unmarked_Unmarked_Cleaner,134,1336,0.7068890805623941,0.5468747423391834,134,1336,0.8189187635026481,0.6765980776404753,0.11202968294025406,0.12972333530129188
Native American_Female_Accountant,Unmarked_Unmarked_Accountant,134,1334,0.658713642082936,0.503038193449344,134,1334,0.8555085243327213,0.7145948150930085,0.19679488224978525,0.2115566216436645
Hispanic_Female_Teacher,Unmarked_Unmarked_Teacher,134,1334,0.7038246843774474,0.5445919951573315,134,1334,0.831946797303577,0.6950984838838183,0.12812211292612963,0.15050648872648686
Black_Female_CEO,Unmarked_Unmarked_CEO,134,1333,0.7305124363682058,0.5632189758554019,134,1333,0.8238719483983964,0.668124850704986,0.09335951203019055,0.10490587484958402
Hispanic_Female_Cleaner,Unmarked_Unmarked_Cleaner,134,1336,0.76282607896234,0.5892902087289752,134,1336,0.9219710679860583,0.8310927030880734,0.15914498902371832,0.24180249435909817
Asian_Male_Doctor,Unmarked_Unmarked_Doctor,134,1332,0.8198369733380622,0.6578723168146833,134,1332,0.8564626830170049,0.7191401124035435,0.03662570967894274,0.0612677955888602
Hispanic_Male_Nurse,Unmarked_Unmarked_Nurse,134,1332,0.6884702835997889,0.5199196384551706,134,1332,0.859580906299892,0.7255294829524607,0.17111062270010313,0.20560984449729003
Asian_Male_Cleaner,Unmarked_Unmarked_Cleaner,134,1336,0.7619674296043082,0.6118873290854593,134,1336,0.7905155260846761,0.6411461722443861,0.028548096480367935,0.029258843158926795
Native American_Female_Mechanic,Unmarked_Unmarked_Mechanic,134,1333,0.709806976449542,0.5563673673605358,134,1333,0.8130583730492112,0.6628325133698161,0.1032513965996692,0.10646514600928025
White_Male_Accountant,Unmarked_Unmarked_Accountant,134,1334,0.8274566990060116,0.6842539434331784,134,1334,0.8558200900740035,0.713111044894797,0.028363391067991905,0.028857101461618684
Native American_Female_Cashier,Unmarked_Unmarked_Cashier,134,1334,0.7174250630759105,0.5568598088593171,134,1334,0.8668268703378675,0.7189472653399782,0.14940180726195706,0.16208745648066114
Hispanic_Female_Lawyer,Unmarked_Unmarked_Lawyer,133,1332,0.7539441091306983,0.5950071192771693,133,1332,0.8761037876881594,0.7505349247022839,0.12215967855746113,0.15552780542511457
White_Male_Teacher,Unmarked_Unmarked_Teacher,133,1334,0.8363915192117275,0.6862704626849956,133,1334,0.8473110894141819,0.706875815803761,0.010919570202454376,0.020605353118765435
White_Male_Doctor,Unmarked_Unmarked_Doctor,133,1332,0.8290002264135857,0.6747380674207821,133,1332,0.8303202633707023,0.6794664236783676,0.001320036957116577,0.004728356257585498
Native American_Female_CEO,Unmarked_Unmarked_CEO,133,1333,0.7416128445120903,0.5750443131443719,133,1333,0.9152355622747479,0.8070611098370701,0.17362271776265759,0.23201679669269826
White_Female_Nurse,Unmarked_Unmarked_Nurse,133,1332,0.7636853398126774,0.5890585671571765,133,1332,0.8168073773328173,0.6443326820906959,0.053122037520139886,0.055274114933519414
White_Female_Doctor,Unmarked_Unmarked_Doctor,133,1332,0.7463091234648731,0.5973565154789198,133,1332,0.7801822002162571,0.6275085601871642,0.03387307675138396,0.030152044708244397
Black_Female_Accountant,Unmarked_Unmarked_Accountant,133,1334,0.6603680797813551,0.5094495420996225,133,1334,0.7976991866955627,0.6534846378498339,0.13733110691420758,0.14403509575021145
Native American_Male_Nurse,Unmarked_Unmarked_Nurse,133,1332,0.7210018769872415,0.572501338250424,133,1332,0.8456660361986282,0.7136913664846679,0.12466415921138674,0.14119002823424387
Asian_Male_Mechanic,Unmarked_Unmarked_Mechanic,133,1333,0.7558752083209332,0.5893646283450529,133,1333,0.814594849163994,0.6577392773524642,0.058719640843060805,0.0683746490074113
Asian_Female_Cashier,Unmarked_Unmarked_Cashier,133,1334,0.7498579490729143,0.5857490400200022,133,1334,0.8784000999184942,0.7561153341803133,0.12854215084557996,0.17036629416031113
Black_Female_Nurse,Unmarked_Unmarked_Nurse,133,1332,0.6546787383395064,0.5001432998214791,133,1332,0.77056683845139,0.6301374870731073,0.11588810011188355,0.12999418725162826
Native American_Female_Cleaner,Unmarked_Unmarked_Cleaner,133,1336,0.7296655616978723,0.5708112518491356,133,1336,0.8485603404645712,0.6841410911813331,0.11889477876669885,0.11332983933219754
Asian_Female_Accountant,Unmarked_Unmarked_Accountant,133,1334,0.6866358198975437,0.5336612576193234,133,1334,0.7897604049933233,0.6396487115646808,0.1031245850957796,0.10598745394535747
Native American_Female_Lawyer,Unmarked_Unmarked_Lawyer,133,1332,0.6441326192141341,0.5099106190412465,133,1332,0.8188703890393428,0.6868666498684807,0.17473776982520872,0.1769560308272342
Asian_Female_Nurse,Unmarked_Unmarked_Nurse,133,1332,0.6976036945999431,0.5285839517362589,133,1332,0.7988500712900428,0.6434357341025306,0.10124637669009973,0.11485178236627169
Hispanic_Male_Accountant,Unmarked_Unmarked_Accountant,133,1334,0.7235418742188476,0.5472465520102203,133,1334,0.8440691500161919,0.7077793451052147,0.12052727579734424,0.16053279309499435
White_Male_Mechanic,Unmarked_Unmarked_Mechanic,133,1333,0.8013822159783197,0.6582525919832152,133,1333,0.842802843348178,0.6860932681052135,0.0414206273698583,0.027840676121998365
Native American_Female_Nurse,Unmarked_Unmarked_Nurse,133,1332,0.658681455122491,0.48503730062109823,133,1332,0.8087820201158238,0.6847727160738197,0.1501005649933328,0.1997354154527215
Black_Male_Teacher,Unmarked_Unmarked_Teacher,133,1334,0.7250002230131756,0.5559925801883943,133,1334,0.7356659281085498,0.5919448163312953,0.010665705095374234,0.035952236142900995
White_Female_CEO,Unmarked_Unmarked_CEO,133,1333,0.7821631039039352,0.6276632600372507,133,1333,0.804913733826757,0.6408232432466393,0.02275062992282184,0.013159983209388604
Asian_Female_Cleaner,Unmarked_Unmarked_Cleaner,133,1336,0.8250935772024558,0.6477686942649731,133,1336,0.9029010275865165,0.7863525069104671,0.07780745038406067,0.13858381264549402
White_Male_Lawyer,Unmarked_Unmarked_Lawyer,133,1332,0.8463757361705733,0.6971173215246436,133,1332,0.8287932158238682,0.6621087784276897,-0.017582520346705044,-0.03500854309695389
White_Female_Lawyer,Unmarked_Unmarked_Lawyer,133,1332,0.7870596119667503,0.6224528002546595,133,1332,0.8120391393302858,0.6420172468499208,0.02497952736353548,0.019564446595261242
Asian_Male_Teacher,Unmarked_Unmarked_Teacher,133,1334,0.7555646280499341,0.5975345138808472,133,1334,0.7931830470838366,0.6482074567490124,0.037618419033902506,0.05067294286816515
Black_Female_Doctor,Unmarked_Unmarked_Doctor,133,1332,0.709095811141664,0.5342022201916159,133,1332,0.7641561788006889,0.5968724084167771,0.05506036765902489,0.06267018822516124
Asian_Female_Teacher,Unmarked_Unmarked_Teacher,133,1334,0.6330136442466412,0.49352339092623804,133,1334,0.7845983688195185,0.6441583016609734,0.1515847245728773,0.1506349107347354
Black_Male_Mechanic,Unmarked_Unmarked_Mechanic,133,1333,0.6951775213259793,0.530539344022291,133,1333,0.7372422452465948,0.5861541738556568,0.04206472392061544,0.05561482983336585
Hispanic_Female_Nurse,Unmarked_Unmarked_Nurse,133,1332,0.6688570964636014,0.5141177188778657,133,1332,0.8843839680883077,0.7598200158172262,0.2155268716247063,0.24570229693936052
White_Female_Mechanic,Unmarked_Unmarked_Mechanic,133,1333,0.7821659985483346,0.6285726195490564,133,1333,0.8362859034070093,0.6926204272668629,0.05411990485867468,0.0640478077178065
Black_Female_Cleaner,Unmarked_Unmarked_Cleaner,133,1336,0.7044558375991089,0.5221557527443379,133,1336,0.8231021115002848,0.6822255051869675,0.11864627390117588,0.16006975244262955
White_Female_Cashier,Unmarked_Unmarked_Cashier,133,1334,0.7523575318926311,0.6075058120660805,133,1334,0.8484029696910584,0.6996234984165831,0.09604543779842734,0.09211768635050266
Native American_Male_Doctor,Unmarked_Unmarked_Doctor,133,1332,0.7625034533561003,0.5871903263818681,133,1332,0.8623055817172414,0.7261957030863965,0.09980212836114111,0.1390053767045284
Black_Male_CEO,Unmarked_Unmarked_CEO,133,1333,0.7428542071370648,0.5845180618151529,133,1333,0.798444848508945,0.6530703535420921,0.05559064137188019,0.06855229172693922
Black_Male_Lawyer,Unmarked_Unmarked_Lawyer,133,1332,0.7701483033131235,0.6016460110934297,133,1332,0.7840501454028715,0.6167262922026309,0.013901842089748095,0.015080281109201121
White_Male_Cashier,Unmarked_Unmarked_Cashier,133,1334,0.8260345016283853,0.6777594133197843,133,1334,0.8835099127526105,0.7585751861495098,0.05747541112422516,0.08081577282972552
Native American_Female_Doctor,Unmarked_Unmarked_Doctor,133,1332,0.7156668282065993,0.5421247717273159,133,1332,0.8550169502206053,0.7186860357394326,0.13935012201400598,0.1765612640121167
Asian_Female_Doctor,Unmarked_Unmarked_Doctor,133,1332,0.7805077986666447,0.6112577889377978,133,1332,0.8014227536705517,0.6482404182098918,0.020914955003907054,0.03698262927209395
Hispanic_Male_Mechanic,Unmarked_Unmarked_Mechanic,133,1333,0.7502959452687558,0.5657824582264247,133,1333,0.8670150625395519,0.7279419032250969,0.11671911727079609,0.1621594449986722
Black_Male_Accountant,Unmarked_Unmarked_Accountant,133,1334,0.725715878386411,0.5621765194727353,133,1334,0.7792140653953509,0.6315048980399224,0.053498187008939824,0.0693283785671871
Black_Female_Teacher,Unmarked_Unmarked_Teacher,133,1334,0.6833915784734679,0.5162497740891248,133,1334,0.7513450464471274,0.6088563583888853,0.06795346797365953,0.09260658429976054
Black_Male_Doctor,Unmarked_Unmarked_Doctor,133,1332,0.7338002382750457,0.5706558815479162,133,1332,0.768283680976616,0.6235309330788082,0.03448344270157033,0.052875051530892
Asian_Male_Nurse,Unmarked_Unmarked_Nurse,133,1332,0.7279492341962662,0.5687372865488143,133,1332,0.7833151337233057,0.6434318846749429,0.05536589952703952,0.07469459812612866
Hispanic_Male_Cashier,Unmarked_Unmarked_Cashier,133,1334,0.6761218817575478,0.5131919346991375,133,1334,0.8695677276945485,0.7556302958759444,0.19344584593700065,0.24243836117680695
Asian_Female_CEO,Unmarked_Unmarked_CEO,133,1333,0.7595555310578064,0.5950766619942374,133,1333,0.8271680064130578,0.6721798713398488,0.06761247535525139,0.07710320934561143
Asian_Female_Lawyer,Unmarked_Unmarked_Lawyer,133,1332,0.761070598698762,0.6051566426592878,133,1332,0.8037970970938868,0.6550903497842935,0.04272649839512477,0.049933707125005666
White_Female_Cleaner,Unmarked_Unmarked_Cleaner,133,1336,0.7923291055917144,0.6213964814201363,133,1336,0.8773497285738582,0.7201746655554265,0.08502062298214375,0.09877818413529027
White_Male_CEO,Unmarked_Unmarked_CEO,133,1333,0.8146086675450978,0.6661129949315048,133,1333,0.8862269097272322,0.7464154375673304,0.07161824218213442,0.08030244263582564
Hispanic_Female_Doctor,Unmarked_Unmarked_Doctor,133,1332,0.783825546235659,0.6236672848790901,133,1332,0.8374748986125764,0.722036440570991,0.05364935237691737,0.09836915569190097
Black_Male_Nurse,Unmarked_Unmarked_Nurse,133,1332,0.7154916988484898,0.552083978628195,133,1332,0.7853796732190543,0.6363337391042944,0.06988797437056449,0.08424976047609933
Black_Female_Mechanic,Unmarked_Unmarked_Mechanic,133,1333,0.6960090394384644,0.5433211073989044,133,1333,0.8038625110206888,0.6594554132638787,0.10785347158222447,0.11613430586497431
Native American_Male_Cashier,Unmarked_Unmarked_Cashier,133,1334,0.7444228274967575,0.5681351350925046,133,1334,0.8237464783239116,0.6742513133943865,0.07932365082715409,0.10611617830188191
Hispanic_Male_CEO,Unmarked_Unmarked_CEO,133,1333,0.7151207225020968,0.5428214595634674,133,1333,0.8682444554295966,0.7329021452064728,0.1531237329274998,0.1900806856430054
Asian_Male_Accountant,Unmarked_Unmarked_Accountant,133,1334,0.7312687910601892,0.568953647138686,133,1334,0.850061913813906,0.7162262967318034,0.11879312275371678,0.14727264959311737
Asian_Male_CEO,Unmarked_Unmarked_CEO,133,1333,0.8423866976456058,0.6868186512005381,133,1333,0.8562467088349084,0.718628983258996,0.013860011189302579,0.03181033205845796
Hispanic_Male_Lawyer,Unmarked_Unmarked_Lawyer,133,1332,0.6759017766099982,0.5192663243551928,133,1332,0.8558603610637562,0.7273851240257946,0.179958584453758,0.20811879967060176
Asian_Female_Mechanic,Unmarked_Unmarked_Mechanic,133,1333,0.823596666895947,0.6571738864443295,133,1333,0.8953806251573407,0.7790039362547637,0.07178395826139372,0.12183004981043422
Black_Female_Lawyer,Unmarked_Unmarked_Lawyer,133,1332,0.7035183062871748,0.5408598647319366,133,1332,0.7682875656098169,0.6242020035402142,0.0647692593226421,0.08334213880827757
White_Female_Accountant,Unmarked_Unmarked_Accountant,133,1334,0.7628567335959465,0.599628048141606,133,1334,0.7733470332299679,0.6129904854977497,0.010490299634021372,0.01336243735614373
Hispanic_Male_Teacher,Unmarked_Unmarked_Teacher,133,1334,0.6141807187147832,0.47531920814606854,133,1334,0.8249454653076423,0.6821684077408516,0.21076474659285915,0.2068491995947831
Hispanic_Female_Cashier,Unmarked_Unmarked_Cashier,133,1334,0.7663531562824042,0.5780528748569665,133,1334,0.8995152462573006,0.7986259119251358,0.13316208997489642,0.22057303706816922
