intersectional_id,control_id,exaggeration
Asian_Female_Accountant,Asian_Male_Accountant,0.05551868
Asian_Female_Accountant,Black_Female_Accountant,0.04135335
Asian_Female_Accountant,Hispanic_Female_Accountant,0.050581098
Asian_Female_Accountant,Native American_Female_Accountant,0.037851878
Asian_Female_Accountant,White_Female_Accountant,0.13726227
Asian_Female_CEO,Asian_Male_CEO,0.05026858
Asian_Female_CEO,Black_Female_CEO,0.08291431
Asian_Female_CEO,Hispanic_Female_CEO,0.11224534
Asian_Female_CEO,Native American_Female_CEO,0.03723849
Asian_Female_CEO,White_Female_CEO,0.15935552
Asian_Female_Cashier,Asian_Male_Cashier,0.06983865
Asian_Female_Cashier,Black_Female_Cashier,0.04762137
Asian_Female_Cashier,Hispanic_Female_Cashier,0.07282464
Asian_Female_Cashier,Native American_Female_Cashier,0.09049923
Asian_Female_Cashier,White_Female_Cashier,0.121058896
Asian_Female_Cleaner,Asian_Male_Cleaner,0.052412633
Asian_Female_Cleaner,Black_Female_Cleaner,0.05067749
Asian_Female_Cleaner,Hispanic_Female_Cleaner,0.08116052
Asian_Female_Cleaner,Native American_Female_Cleaner,0.085986584
Asian_Female_Cleaner,White_Female_Cleaner,0.12349281
Asian_Female_Doctor,Asian_Male_Doctor,0.07390548
Asian_Female_Doctor,Black_Female_Doctor,0.06901085
Asian_Female_Doctor,Hispanic_Female_Doctor,0.081675895
Asian_Female_Doctor,Native American_Female_Doctor,0.043899577
Asian_Female_Doctor,White_Female_Doctor,0.12378348
Asian_Female_Lawyer,Asian_Male_Lawyer,0.069051616
Asian_Female_Lawyer,Black_Female_Lawyer,0.06738794
Asian_Female_Lawyer,Hispanic_Female_Lawyer,0.12291584
Asian_Female_Lawyer,Native American_Female_Lawyer,0.08905041
Asian_Female_Lawyer,White_Female_Lawyer,0.17184937
Asian_Female_Mechanic,Asian_Male_Mechanic,0.06449998
Asian_Female_Mechanic,Black_Female_Mechanic,0.046559993
Asian_Female_Mechanic,Hispanic_Female_Mechanic,0.04874902
Asian_Female_Mechanic,Native American_Female_Mechanic,0.061754275
Asian_Female_Mechanic,White_Female_Mechanic,0.13023314
Asian_Female_Nurse,Asian_Male_Nurse,0.01578007
