
================ PAIRWISE INTERSECTIONAL BIAS REPORT ================

RELATIVE SEMANTIC DISTANCES ACROSS GROUPS:
                intersectional_id                        control_id  exaggeration
         Native American_Male_CEO                    White_Male_CEO      0.211458
       Native American_Female_CEO                  White_Female_CEO      0.188307
                Asian_Male_Lawyer                 White_Male_Lawyer      0.184344
              Asian_Female_Lawyer               White_Female_Lawyer      0.171849
                   Asian_Male_CEO                    White_Male_CEO      0.169908
      Native American_Male_Doctor                 White_Male_Doctor      0.165263
               Asian_Male_Cleaner                White_Male_Cleaner      0.162012
                 Asian_Female_CEO                  White_Female_CEO      0.159356
Native American_Female_Accountant           White_Female_Accountant      0.157288
    Native American_Female_Doctor               White_Female_Doctor      0.153224
    Native American_Female_Lawyer               White_Female_Lawyer      0.153216
     Native American_Female_Nurse                White_Female_Nurse      0.150615
                Black_Male_Lawyer                 White_Male_Lawyer      0.147927
         Native American_Male_CEO                 Hispanic_Male_CEO      0.147560
      Native American_Male_Lawyer                 White_Male_Lawyer      0.146786
             Hispanic_Male_Lawyer                 White_Male_Lawyer      0.145901
                   Asian_Male_CEO                 Hispanic_Male_CEO      0.140128
       Native American_Female_CEO               Hispanic_Female_CEO      0.137670
          Asian_Female_Accountant           White_Female_Accountant      0.137262
                Black_Male_Doctor                 White_Male_Doctor      0.133931
  Native American_Male_Accountant             White_Male_Accountant      0.133924
       Native American_Female_CEO                  Black_Female_CEO      0.133640
            Asian_Female_Mechanic             White_Female_Mechanic      0.130233
              Black_Female_Lawyer               White_Female_Lawyer      0.128529
             Hispanic_Male_Doctor                 White_Male_Doctor      0.127044
                   Black_Male_CEO                    White_Male_CEO      0.126656
                 Asian_Male_Nurse                  White_Male_Nurse      0.125802
           Hispanic_Female_Lawyer               White_Female_Lawyer      0.125459
                Asian_Male_Doctor                 White_Male_Doctor      0.125457
              Asian_Female_Doctor               White_Female_Doctor      0.123783
             Black_Female_Cleaner              White_Female_Cleaner      0.123754
   Native American_Female_Teacher              White_Female_Teacher      0.123654
             Asian_Female_Cleaner              White_Female_Cleaner      0.123493
              Asian_Female_Lawyer            Hispanic_Female_Lawyer      0.122916
         Native American_Male_CEO                    Black_Male_CEO      0.122751
           Hispanic_Female_Doctor               White_Female_Doctor      0.122750
          Black_Female_Accountant           White_Female_Accountant      0.122518
     Native American_Male_Teacher                White_Male_Teacher      0.121554
       Hispanic_Female_Accountant           White_Female_Accountant      0.121538
             Asian_Female_Cashier              White_Female_Cashier      0.121059
          Hispanic_Female_Teacher              White_Female_Teacher      0.120460
     Native American_Male_Cleaner                White_Male_Cleaner      0.120108
               Asian_Male_Cleaner      Native American_Male_Cleaner      0.119523
            Hispanic_Male_Cleaner                White_Male_Cleaner      0.119431
            Black_Female_Mechanic             White_Female_Mechanic      0.119349
               Asian_Male_Cleaner             Hispanic_Male_Cleaner      0.118971
       Native American_Male_Nurse                  White_Male_Nurse      0.117950
             Asian_Female_Teacher              White_Female_Teacher      0.117671
               Black_Male_Cleaner                White_Male_Cleaner      0.115781
               Asian_Male_Cashier                White_Male_Cashier      0.115452
          Hispanic_Female_Cleaner              White_Female_Cleaner      0.115351
                 Asian_Female_CEO               Hispanic_Female_CEO      0.112245
    Native American_Female_Doctor               Black_Female_Doctor      0.111919
             Black_Female_Cashier              White_Female_Cashier      0.111708
               Black_Male_Cashier                White_Male_Cashier      0.111304
                Asian_Male_Lawyer              Hispanic_Male_Lawyer      0.111297
         Hispanic_Female_Mechanic             White_Female_Mechanic      0.110841
               Asian_Male_Cashier      Native American_Male_Cashier      0.110601
      Native American_Male_Doctor                 Asian_Male_Doctor      0.110353
              Hispanic_Male_Nurse                  White_Male_Nurse      0.110275
            Hispanic_Female_Nurse                White_Female_Nurse      0.109877
            Hispanic_Male_Cashier                White_Male_Cashier      0.109819
  Native American_Female_Mechanic             White_Female_Mechanic      0.109479
   Native American_Female_Cleaner              White_Female_Cleaner      0.109360
            Black_Male_Accountant             White_Male_Accountant      0.108015
       Native American_Female_CEO                  Asian_Female_CEO      0.107155
         Hispanic_Male_Accountant             White_Male_Accountant      0.106102
            Asian_Male_Accountant             White_Male_Accountant      0.105857
            Hispanic_Male_Cashier      Native American_Male_Cashier      0.105609
               Black_Male_Cashier      Native American_Male_Cashier      0.105538
              Asian_Male_Mechanic               White_Male_Mechanic      0.104500
      Native American_Male_Doctor              Hispanic_Male_Doctor      0.104164
               Asian_Male_Teacher                White_Male_Teacher      0.103928
                 Black_Male_Nurse                  White_Male_Nurse      0.102705
      Native American_Male_Doctor                 Black_Male_Doctor      0.102589
