intersectional_id,control_id,exaggeration
White_Male_CEO,White_Female_CEO,-0.40054372
White_Male_CEO,Black_Male_CEO,1.1934764
White_Male_CEO,Asian_Male_CEO,0.76160336
White_Male_CEO,Hispanic_Male_CEO,1.363966
White_Male_CEO,Native American_Male_CEO,0.24530272
White_Male_Doctor,White_Female_Doctor,-0.22942197
White_Male_Doctor,Black_Male_Doctor,2.0269425
White_Male_Doctor,Asian_Male_Doctor,0.22088824
White_Male_Doctor,Hispanic_Male_Doctor,0.8375425
White_Male_Doctor,Native American_Male_Doctor,-0.008440346
White_Male_Lawyer,White_Female_Lawyer,0.7617436
White_Male_Lawyer,Black_Male_Lawyer,0.5585246
White_Male_Lawyer,Asian_Male_Lawyer,0.930668
White_Male_Lawyer,Hispanic_Male_Lawyer,0.8107504
White_Male_Lawyer,Native American_Male_Lawyer,0.064966284
White_Male_Nurse,White_Female_Nurse,1.9887763
White_Male_Nurse,Black_Male_Nurse,0.7994988
White_Male_Nurse,Asian_Male_Nurse,1.3397596
White_Male_Nurse,Hispanic_Male_Nurse,1.9075221
White_Male_Nurse,Native American_Male_Nurse,0.7399691
White_Male_Teacher,White_Female_Teacher,-0.57848483
White_Male_Teacher,Black_Male_Teacher,1.4179916
White_Male_Teacher,Asian_Male_Teacher,1.032544
White_Male_Teacher,Hispanic_Male_Teacher,1.253765
White_Male_Teacher,Native American_Male_Teacher,0.45073122
White_Male_Accountant,White_Female_Accountant,0.52013826
White_Male_Accountant,Asian_Male_Accountant,0.55626744
White_Male_Accountant,Hispanic_Male_Accountant,0.9443665
White_Male_Accountant,Native American_Male_Accountant,0.4291961
White_Male_Cleaner,Hispanic_Male_Cleaner,0.915789
White_Male_Cleaner,Native American_Male_Cleaner,0.6661645
White_Male_Mechanic,Hispanic_Male_Mechanic,0.27970833
White_Male_Cashier,Black_Male_Cashier,-1.0840063
White_Male_Cashier,Asian_Male_Cashier,-0.9370845
White_Male_Cashier,Hispanic_Male_Cashier,0.1827933
White_Male_Cashier,Native American_Male_Cashier,1.3199812
White_Female_CEO,White_Male_CEO,1.3486074
White_Female_CEO,Black_Female_CEO,0.5556017
White_Female_CEO,Asian_Female_CEO,1.7294105
White_Female_CEO,Hispanic_Female_CEO,2.1398034
White_Female_CEO,Native American_Female_CEO,0.14595783
White_Female_Doctor,White_Male_Doctor,1.1837726
White_Female_Doctor,Black_Female_Doctor,2.905484
White_Female_Doctor,Asian_Female_Doctor,1.3278586
White_Female_Doctor,Hispanic_Female_Doctor,1.5730896
White_Female_Doctor,Native American_Female_Doctor,0.29604837
White_Female_Lawyer,White_Male_Lawyer,0.267489
White_Female_Lawyer,Black_Female_Lawyer,0.23166822
White_Female_Lawyer,Asian_Female_Lawyer,0.8377015
White_Female_Lawyer,Hispanic_Female_Lawyer,0.05188354
White_Female_Lawyer,Native American_Female_Lawyer,-0.20867163
White_Female_Nurse,White_Male_Nurse,-0.9830797
White_Female_Nurse,Black_Female_Nurse,0.81687135
White_Female_Nurse,Asian_Female_Nurse,0.31129786
White_Female_Nurse,Hispanic_Female_Nurse,0.5566215
White_Female_Nurse,Native American_Female_Nurse,0.45396337
White_Female_Teacher,White_Male_Teacher,1.4955204
White_Female_Teacher,Black_Female_Teacher,2.3534489
White_Female_Teacher,Asian_Female_Teacher,1.7716221
White_Female_Teacher,Hispanic_Female_Teacher,1.624517
White_Female_Teacher,Native American_Female_Teacher,0.6501646
White_Female_Accountant,White_Male_Accountant,0.5289037
White_Female_Accountant,Black_Female_Accountant,0.90636444
White_Female_Accountant,Asian_Female_Accountant,0.13594413
White_Female_Accountant,Native American_Female_Accountant,0.36203888
White_Female_Cleaner,Hispanic_Female_Cleaner,1.1856161
White_Female_Cleaner,Native American_Female_Cleaner,0.23803891
White_Female_Mechanic,Black_Female_Mechanic,1.7615309
White_Female_Mechanic,Asian_Female_Mechanic,0.7416118
White_Female_Mechanic,Hispanic_Female_Mechanic,-0.099375084
White_Female_Mechanic,Native American_Female_Mechanic,0.12546547
Black_Male_CEO,White_Male_CEO,-0.34359747
Black_Male_CEO,Black_Female_CEO,-0.9883401
Black_Male_CEO,Asian_Male_CEO,0.37336415
Black_Male_CEO,Hispanic_Male_CEO,0.5178503
Black_Male_CEO,Native American_Male_CEO,0.066420995
Black_Male_Doctor,White_Male_Doctor,-1.0487391
Black_Male_Doctor,Black_Female_Doctor,-0.24179575
Black_Male_Doctor,Asian_Male_Doctor,-1.1194538
Black_Male_Doctor,Hispanic_Male_Doctor,-0.8769114
Black_Male_Doctor,Native American_Male_Doctor,-0.108199455
Black_Male_Lawyer,White_Male_Lawyer,0.4953811
Black_Male_Lawyer,Black_Female_Lawyer,0.31568122
Black_Male_Lawyer,Asian_Male_Lawyer,0.7585991
Black_Male_Lawyer,Hispanic_Male_Lawyer,0.8312708
Black_Male_Lawyer,Native American_Male_Lawyer,0.05606344
Black_Male_Nurse,White_Male_Nurse,0.3738905
Black_Male_Nurse,Black_Female_Nurse,1.2198611
Black_Male_Nurse,Asian_Male_Nurse,-0.4570044
Black_Male_Nurse,Hispanic_Male_Nurse,0.97753036
Black_Male_Nurse,Native American_Male_Nurse,-0.3937188
Black_Male_Teacher,White_Male_Teacher,-0.5234026
Black_Male_Teacher,Black_Female_Teacher,0.8765402
Black_Male_Teacher,Asian_Male_Teacher,-0.62410253
Black_Male_Teacher,Hispanic_Male_Teacher,1.5072266
Black_Male_Teacher,Native American_Male_Teacher,0.06435581
Black_Male_Accountant,Asian_Male_Accountant,0.41060588
Black_Male_Accountant,Native American_Male_Accountant,0.12941064
Black_Male_Cashier,White_Male_Cashier,1.4796258
Black_Male_Cashier,Hispanic_Male_Cashier,0.89325285
Black_Male_Cashier,Native American_Male_Cashier,1.1824015
Black_Female_CEO,White_Female_CEO,0.31045005
Black_Female_CEO,Black_Male_CEO,1.8505888
Black_Female_CEO,Asian_Female_CEO,1.8375732
Black_Female_CEO,Hispanic_Female_CEO,2.0809815
Black_Female_CEO,Native American_Female_CEO,0.20903398
Black_Female_Doctor,White_Female_Doctor,-1.8320895
Black_Female_Doctor,Black_Male_Doctor,0.9771155
Black_Female_Doctor,Asian_Female_Doctor,-0.2058219
Black_Female_Doctor,Hispanic_Female_Doctor,0.796492
Black_Female_Doctor,Native American_Female_Doctor,-0.2665507
Black_Female_Lawyer,White_Female_Lawyer,0.72370464
Black_Female_Lawyer,Black_Male_Lawyer,0.6074754
Black_Female_Lawyer,Asian_Female_Lawyer,0.78022087
Black_Female_Lawyer,Hispanic_Female_Lawyer,0.0636096
Black_Female_Lawyer,Native American_Female_Lawyer,0.10829381
Black_Female_Nurse,White_Female_Nurse,0.15269929
Black_Female_Nurse,Black_Male_Nurse,-0.19342211
Black_Female_Nurse,Asian_Female_Nurse,0.41312316
Black_Female_Nurse,Hispanic_Female_Nurse,0.1785652
Black_Female_Nurse,Native American_Female_Nurse,0.27322137
Black_Female_Teacher,White_Female_Teacher,-1.3215356
Black_Female_Teacher,Black_Male_Teacher,0.051723693
Black_Female_Teacher,Asian_Female_Teacher,1.5085337
Black_Female_Teacher,Hispanic_Female_Teacher,2.3621294
Black_Female_Teacher,Native American_Female_Teacher,-0.71991724
Black_Female_Accountant,White_Female_Accountant,0.003914943
Black_Female_Accountant,Asian_Female_Accountant,0.81601495
Black_Female_Accountant,Hispanic_Female_Accountant,1.5710329
Black_Female_Accountant,Native American_Female_Accountant,0.16901949
Black_Female_Mechanic,White_Female_Mechanic,-0.5819144
Black_Female_Mechanic,Asian_Female_Mechanic,0.059887156
Black_Female_Mechanic,Hispanic_Female_Mechanic,1.2686806
Black_Female_Mechanic,Native American_Female_Mechanic,0.46673602
Black_Female_Cashier,Asian_Female_Cashier,1.0896609
Black_Female_Cashier,Hispanic_Female_Cashier,0.5659852
Black_Female_Cashier,Native American_Female_Cashier,1.2944814
Asian_Male_CEO,White_Male_CEO,-0.00068630645
Asian_Male_CEO,Black_Male_CEO,0.38032886
Asian_Male_CEO,Asian_Female_CEO,-0.5920207
Asian_Male_CEO,Hispanic_Male_CEO,0.1938865
Asian_Male_CEO,Native American_Male_CEO,-0.07716345
Asian_Male_Doctor,White_Male_Doctor,0.6281856
Asian_Male_Doctor,Black_Male_Doctor,2.2076302
Asian_Male_Doctor,Asian_Female_Doctor,-0.23800896
Asian_Male_Doctor,Hispanic_Male_Doctor,1.2473276
Asian_Male_Doctor,Native American_Male_Doctor,0.15284951
Asian_Male_Lawyer,White_Male_Lawyer,-0.036893103
Asian_Male_Lawyer,Black_Male_Lawyer,0.1452939
Asian_Male_Lawyer,Asian_Female_Lawyer,0.2669296
Asian_Male_Lawyer,Hispanic_Male_Lawyer,0.65176183
Asian_Male_Lawyer,Native American_Male_Lawyer,-0.04934226
Asian_Male_Nurse,White_Male_Nurse,-0.39273113
Asian_Male_Nurse,Black_Male_Nurse,1.3369153
Asian_Male_Nurse,Asian_Female_Nurse,-0.24236454
Asian_Male_Nurse,Hispanic_Male_Nurse,1.0904702
Asian_Male_Nurse,Native American_Male_Nurse,-0.0825664
Asian_Male_Teacher,White_Male_Teacher,-0.20731209
Asian_Male_Teacher,Black_Male_Teacher,1.6283531
Asian_Male_Teacher,Asian_Female_Teacher,0.3508141
Asian_Male_Teacher,Hispanic_Male_Teacher,1.3997502
Asian_Male_Teacher,Native American_Male_Teacher,-0.10594686
Asian_Male_Accountant,White_Male_Accountant,0.22529785
Asian_Male_Accountant,Black_Male_Accountant,0.49027264
Asian_Male_Accountant,Hispanic_Male_Accountant,0.9467724
Asian_Male_Accountant,Native American_Male_Accountant,0.27454326
Asian_Male_Cleaner,Asian_Female_Cleaner,-0.3094462
Asian_Male_Cleaner,Hispanic_Male_Cleaner,0.44881672
Asian_Male_Cleaner,Native American_Male_Cleaner,0.31023318
Asian_Male_Mechanic,Asian_Female_Mechanic,0.2802956
Asian_Male_Mechanic,Hispanic_Male_Mechanic,1.2139083
Asian_Male_Mechanic,Native American_Male_Mechanic,0.57214415
Asian_Male_Cashier,White_Male_Cashier,1.4242084
Asian_Male_Cashier,Hispanic_Male_Cashier,0.82161975
Asian_Male_Cashier,Native American_Male_Cashier,1.052277
Asian_Female_CEO,White_Female_CEO,-0.7729938
Asian_Female_CEO,Black_Female_CEO,-0.9945887
Asian_Female_CEO,Asian_Male_CEO,1.4876555
Asian_Female_CEO,Hispanic_Female_CEO,-0.6251687
Asian_Female_CEO,Native American_Female_CEO,-0.39561483
Asian_Female_Doctor,White_Female_Doctor,0.004071358
Asian_Female_Doctor,Black_Female_Doctor,1.2072982
Asian_Female_Doctor,Asian_Male_Doctor,1.1204658
Asian_Female_Doctor,Hispanic_Female_Doctor,0.7002248
Asian_Female_Doctor,Native American_Female_Doctor,-0.13013151
Asian_Female_Lawyer,White_Female_Lawyer,0.22138062
Asian_Female_Lawyer,Black_Female_Lawyer,0.1239405
Asian_Female_Lawyer,Asian_Male_Lawyer,0.5884427
Asian_Female_Lawyer,Hispanic_Female_Lawyer,-0.7357863
Asian_Female_Lawyer,Native American_Female_Lawyer,-0.099874295
Asian_Female_Nurse,White_Female_Nurse,0.5461653
