intersectional_id,control_id,n_target_imp,n_control_imp,accuracy_imp,f1_score_imp,n_target_exp,n_control_exp,accuracy_exp,f1_score_exp,accuracy_delta,f1_score_delta
Asian_Male_Lawyer,Unmarked_Unmarked_Lawyer,134,1332,0.9567848047461199,0.8274934061750887,134,1332,0.9797985513029573,0.9315938833616924,0.02301374655683741,0.10410047718660365
Native American_Male_Accountant,Unmarked_Unmarked_Accountant,134,1334,0.9652999613810364,0.8726368489693861,134,1334,0.9834311265156328,0.9446349393558073,0.01813116513459645,0.07199809038642124
Native American_Male_Lawyer,Unmarked_Unmarked_Lawyer,134,1332,0.9545927352291503,0.8062071752934818,134,1332,0.9796302905705501,0.9240929582003616,0.02503755534139973,0.11788578290687979
Black_Female_Cashier,Unmarked_Unmarked_Cashier,134,1334,0.9627535912683847,0.8601494669772924,134,1334,0.9845214497222425,0.948420820217591,0.02176785845385787,0.08827135324029856
Native American_Male_Teacher,Unmarked_Unmarked_Teacher,134,1334,0.9655756474665675,0.8725759181345957,134,1334,0.9917004816664068,0.9735685786016839,0.026124834199839242,0.10099266046708821
Hispanic_Male_Doctor,Unmarked_Unmarked_Doctor,134,1332,0.9476702144769578,0.7799007482025819,134,1332,0.977157971233859,0.9183371008741252,0.029487756756901184,0.1384363526715433
Black_Male_Cashier,Unmarked_Unmarked_Cashier,134,1334,0.9758656975748232,0.9149590122329249,134,1334,0.9842228911239997,0.9459878379672588,0.008357193549176523,0.031028825734333965
White_Female_Teacher,Unmarked_Unmarked_Teacher,134,1334,0.9747571152387244,0.9081510807196732,134,1334,0.9777843036487776,0.9242668881134589,0.0030271884100531166,0.016115807393785708
Hispanic_Female_CEO,Unmarked_Unmarked_CEO,134,1333,0.959730924014411,0.8431524960019026,134,1333,0.9749634404935295,0.9114206013784367,0.015232516479118496,0.06826810537653416
White_Male_Cleaner,Unmarked_Unmarked_Cleaner,134,1336,0.9815413523230425,0.9382255751996509,134,1336,0.9834502656038445,0.9435968793063008,0.0019089132808020048,0.005371304106649877
Hispanic_Female_Accountant,Unmarked_Unmarked_Accountant,134,1334,0.9609378529404102,0.8488278856610633,134,1334,0.9774441726047662,0.922332951722679,0.016506319664356006,0.07350506606161578
Native American_Male_Mechanic,Unmarked_Unmarked_Mechanic,134,1333,0.9807069315456525,0.9346398883120027,134,1333,0.9832196149328244,0.9441376632602445,0.002512683387171921,0.009497774948241777
Native American_Male_Cleaner,Unmarked_Unmarked_Cleaner,134,1336,0.9802699163663092,0.9315910852985552,134,1336,0.9878013136179407,0.9603342683200887,0.007531397251631433,0.028743183021533558
White_Male_Nurse,Unmarked_Unmarked_Nurse,134,1332,0.9750557433158779,0.9119468594699647,134,1332,0.9843145646864482,0.9482462244382729,0.009258821370570325,0.03629936496830821
