
================ PAIRWISE INTERSECTIONAL BIAS REPORT ================

RELATIVE SEMANTIC DISTANCES ACROSS GROUPS:
                intersectional_id                        control_id  exaggeration
            Hispanic_Male_Cleaner                White_Male_Cleaner      9.195506
         Native American_Male_CEO                    White_Male_CEO      8.999068
      Native American_Male_Lawyer                 White_Male_Lawyer      8.873609
      Native American_Male_Lawyer              Hispanic_Male_Lawyer      8.676007
       Native American_Female_CEO                  White_Female_CEO      8.650775
          Hispanic_Female_Cleaner              White_Female_Cleaner      8.532895
          Hispanic_Female_Cashier              White_Female_Cashier      8.041683
            Hispanic_Female_Nurse                White_Female_Nurse      7.833235
         Hispanic_Male_Accountant             White_Male_Accountant      7.708232
           Hispanic_Male_Mechanic               White_Male_Mechanic      7.669779
       Native American_Female_CEO                  Asian_Female_CEO      7.576727
      Native American_Male_Lawyer                 Asian_Male_Lawyer      7.535857
      Native American_Male_Lawyer                 Black_Male_Lawyer      7.460701
         Hispanic_Female_Mechanic             White_Female_Mechanic      7.429637
      Native American_Male_Doctor                 Asian_Male_Doctor      7.391001
      Native American_Male_Doctor                 White_Male_Doctor      7.363914
    Native American_Female_Lawyer               White_Female_Lawyer      7.317393
            Hispanic_Male_Cashier                White_Male_Cashier      7.317323
         Native American_Male_CEO                    Asian_Male_CEO      7.282286
         Native American_Male_CEO                    Black_Male_CEO      7.267668
    Native American_Female_Doctor               White_Female_Doctor      7.248930
            White_Female_Mechanic          Hispanic_Female_Mechanic      7.230139
         Native American_Male_CEO                 Hispanic_Male_CEO      7.190649
       Native American_Female_CEO                  Black_Female_CEO      7.048122
          Hispanic_Female_Cleaner              Black_Female_Cleaner      7.044623
                   White_Male_CEO                    Asian_Male_CEO      7.040194
       Native American_Female_CEO               Hispanic_Female_CEO      7.017604
              Hispanic_Male_Nurse                  White_Male_Nurse      6.986421
    Native American_Female_Lawyer            Hispanic_Female_Lawyer      6.959258
      Native American_Male_Doctor              Hispanic_Male_Doctor      6.917471
       Hispanic_Female_Accountant           White_Female_Accountant      6.895009
  Native American_Male_Accountant             White_Male_Accountant      6.852369
              Hispanic_Female_CEO                  White_Female_CEO      6.802656
           Hispanic_Female_Doctor               White_Female_Doctor      6.795038
            White_Male_Accountant          Hispanic_Male_Accountant      6.778832
                   White_Male_CEO          Native American_Male_CEO      6.777288
          Hispanic_Female_Cleaner    Native American_Female_Cleaner      6.659109
Native American_Female_Accountant           White_Female_Accountant      6.626091
                White_Male_Lawyer                 Asian_Male_Lawyer      6.622736
          Hispanic_Female_Cashier              Black_Female_Cashier      6.622345
                   White_Male_CEO                 Hispanic_Male_CEO      6.621305
              White_Male_Mechanic               Asian_Male_Mechanic      6.619491
     Native American_Female_Nurse                White_Female_Nurse      6.616194
            White_Female_Mechanic   Native American_Female_Mechanic      6.585028
  Native American_Female_Mechanic             White_Female_Mechanic      6.575732
    Native American_Female_Lawyer               Black_Female_Lawyer      6.541734
              White_Female_Doctor     Native American_Female_Doctor      6.521510
               White_Male_Cleaner             Hispanic_Male_Cleaner      6.521265
          Hispanic_Female_Teacher              White_Female_Teacher      6.518425
              White_Male_Mechanic            Hispanic_Male_Mechanic      6.492600
            White_Female_Mechanic             Asian_Female_Mechanic      6.491995
            Hispanic_Male_Teacher                White_Male_Teacher      6.490892
            Hispanic_Male_Cleaner                Black_Male_Cleaner      6.431923
    Native American_Female_Doctor               Asian_Female_Doctor      6.428528
   Native American_Female_Cleaner              White_Female_Cleaner      6.423935
               White_Male_Cleaner                Asian_Male_Cleaner      6.419351
      Native American_Male_Doctor                 Black_Male_Doctor      6.409423
                White_Male_Doctor                 Asian_Male_Doctor      6.404588
            Hispanic_Male_Cleaner      Native American_Male_Cleaner      6.398517
             Hispanic_Male_Lawyer                 White_Male_Lawyer      6.393168
           Hispanic_Female_Lawyer               White_Female_Lawyer      6.378786
   Native American_Female_Cashier              White_Female_Cashier      6.351143
    Native American_Male_Mechanic               White_Male_Mechanic      6.337813
             White_Female_Cleaner           Hispanic_Female_Cleaner      6.334001
