intersectional_id,control_id,n_target,n_control,accuracy,f1_score
White_Male_CEO,White_Female_CEO,296,296,0.607801063148813,0.604178128863405
White_Male_CEO,Black_Male_CEO,296,296,0.7346982758620689,0.7301895288161387
White_Male_CEO,Asian_Male_CEO,296,296,0.747844827586207,0.7422209475170086
White_Male_CEO,Hispanic_Male_CEO,296,296,0.766217672413793,0.7629169142192475
White_Male_CEO,Native American_Male_CEO,296,298,0.7421619301578024,0.7369218960368887
White_Male_Doctor,White_Female_Doctor,296,296,0.5752155172413793,0.567145578708039
White_Male_Doctor,Black_Male_Doctor,296,296,0.6706177581104524,0.663758035577169
White_Male_Doctor,Asian_Male_Doctor,296,298,0.7313029661016949,0.724232388927894
White_Male_Doctor,Hispanic_Male_Doctor,296,298,0.7195402298850576,0.717088372889204
White_Male_Doctor,Native American_Male_Doctor,296,296,0.6889867616635589,0.6779695627855297
White_Male_Lawyer,White_Female_Lawyer,296,296,0.5712823275862069,0.5663509995498448
White_Male_Lawyer,Black_Male_Lawyer,296,296,0.7397090517241379,0.7359625235042694
White_Male_Lawyer,Asian_Male_Lawyer,296,298,0.7675253872004675,0.7636400771081089
White_Male_Lawyer,Hispanic_Male_Lawyer,296,296,0.7459590517241379,0.7409052186064111
White_Male_Lawyer,Native American_Male_Lawyer,296,298,0.7244018483343073,0.71771405000112
White_Male_Nurse,White_Female_Nurse,298,296,0.5704293907071889,0.5660804745193271
White_Male_Nurse,Black_Male_Nurse,298,296,0.7014142847865816,0.6920109523282983
White_Male_Nurse,Asian_Male_Nurse,298,296,0.6987461645236703,0.6897489741491106
White_Male_Nurse,Hispanic_Male_Nurse,298,298,0.7397830216247808,0.7305520470809311
White_Male_Nurse,Native American_Male_Nurse,298,296,0.684717453243717,0.6763122713543931
White_Male_Teacher,White_Female_Teacher,296,298,0.5531423509643483,0.5423848101342864
White_Male_Teacher,Black_Male_Teacher,296,296,0.653131928789439,0.6446429198033174
White_Male_Teacher,Asian_Male_Teacher,296,296,0.7176724137931034,0.7111593253223158
White_Male_Teacher,Hispanic_Male_Teacher,296,296,0.7057112068965516,0.6915915128409017
White_Male_Teacher,Native American_Male_Teacher,296,298,0.6475012292078336,0.6345440749034946
White_Male_Accountant,White_Female_Accountant,298,296,0.5658898305084745,0.5581071803716277
White_Male_Accountant,Black_Male_Accountant,298,296,0.6735437366062731,0.6679676271828094
White_Male_Accountant,Asian_Male_Accountant,298,296,0.7139401300409117,0.7083776117880056
White_Male_Accountant,Hispanic_Male_Accountant,298,296,0.744708840091657,0.7402934552926913
White_Male_Accountant,Native American_Male_Accountant,298,298,0.708512612136224,0.703049080017301
White_Male_Cleaner,White_Female_Cleaner,298,296,0.5880698421975453,0.566871628496816
White_Male_Cleaner,Black_Male_Cleaner,298,298,0.7387054354178841,0.7326019201079791
White_Male_Cleaner,Asian_Male_Cleaner,298,298,0.7343083502639318,0.7289276898327662
White_Male_Cleaner,Hispanic_Male_Cleaner,298,298,0.8186751168907073,0.8156966933197541
White_Male_Cleaner,Native American_Male_Cleaner,298,298,0.7281587887200467,0.7205000346325234
White_Male_Mechanic,White_Female_Mechanic,296,296,0.597790948275862,0.5923128936226137
White_Male_Mechanic,Black_Male_Mechanic,296,296,0.7144935344827588,0.7102146599691606
White_Male_Mechanic,Asian_Male_Mechanic,296,296,0.7531356396055402,0.7446019951732681
White_Male_Mechanic,Hispanic_Male_Mechanic,296,296,0.7579573812770773,0.750800444465994
White_Male_Mechanic,Native American_Male_Mechanic,296,298,0.6979224503214494,0.6890061568969594
White_Male_Cashier,White_Female_Cashier,296,296,0.6050898481348511,0.5946951369024885
White_Male_Cashier,Black_Male_Cashier,296,298,0.7111521040327294,0.7100829515191937
White_Male_Cashier,Asian_Male_Cashier,296,298,0.7528163354763298,0.7482690056588348
White_Male_Cashier,Hispanic_Male_Cashier,296,296,0.7697234514300558,0.7663835725497902
White_Male_Cashier,Native American_Male_Cashier,296,296,0.6586745689655172,0.652415706537192
White_Female_CEO,Black_Female_CEO,296,298,0.6919581976566197,0.680506466848875
White_Female_CEO,Asian_Female_CEO,296,296,0.7144935344827587,0.7072887244245741
White_Female_CEO,Hispanic_Female_CEO,296,298,0.745812025131502,0.7327128360019867
White_Female_CEO,Native American_Female_CEO,296,296,0.7421875,0.7350076317235972
White_Female_Doctor,Black_Female_Doctor,296,296,0.6786326570370989,0.6700735468559578
White_Female_Doctor,Asian_Female_Doctor,296,296,0.6972368335606208,0.691511886131355
White_Female_Doctor,Hispanic_Female_Doctor,296,296,0.7156550054270686,0.7127198608361694
White_Female_Doctor,Native American_Female_Doctor,296,296,0.6856681034482759,0.67569489190992
White_Female_Lawyer,Black_Female_Lawyer,296,296,0.6844288793103448,0.6817865751440505
White_Female_Lawyer,Asian_Female_Lawyer,296,296,0.7229525862068966,0.7168277138599146
White_Female_Lawyer,Hispanic_Female_Lawyer,296,296,0.7547413793103448,0.7505598000389357
White_Female_Lawyer,Native American_Female_Lawyer,296,296,0.7394396551724138,0.7355209759204622
White_Female_Nurse,Black_Female_Nurse,296,296,0.7060435278728674,0.6979149137659514
White_Female_Nurse,Asian_Female_Nurse,296,296,0.6806573275862069,0.6563020403146169
White_Female_Nurse,Hispanic_Female_Nurse,296,296,0.7484913793103448,0.7431879519817273
White_Female_Nurse,Native American_Female_Nurse,296,296,0.6942887931034483,0.6831847305093873
White_Female_Teacher,Black_Female_Teacher,298,296,0.7010784994155465,0.697135433618439
White_Female_Teacher,Asian_Female_Teacher,298,296,0.7108796489567968,0.7017862467236115
White_Female_Teacher,Hispanic_Female_Teacher,298,298,0.7734256282875511,0.7644931738001309
White_Female_Teacher,Native American_Female_Teacher,298,298,0.6978247369959089,0.6950164044548583
White_Female_Accountant,Black_Female_Accountant,296,296,0.7186961206896552,0.713839465052781
White_Female_Accountant,Asian_Female_Accountant,296,296,0.7195043103448275,0.7125903172732334
White_Female_Accountant,Hispanic_Female_Accountant,296,298,0.7675272136177675,0.7629792906994304
White_Female_Accountant,Native American_Female_Accountant,296,298,0.6515570207481005,0.6247704476692725
White_Female_Cleaner,Black_Female_Cleaner,296,296,0.7078663793103448,0.7020523256226581
White_Female_Cleaner,Asian_Female_Cleaner,296,296,0.711659384190068,0.7009402473653766
White_Female_Cleaner,Hispanic_Female_Cleaner,296,298,0.7945242269906208,0.7901252317198595
White_Female_Cleaner,Native American_Female_Cleaner,296,296,0.6986530172413794,0.6914278220144966
White_Female_Mechanic,Black_Female_Mechanic,296,296,0.7050513484178007,0.6977017759134645
White_Female_Mechanic,Asian_Female_Mechanic,296,296,0.7226976705351925,0.71812536018711
White_Female_Mechanic,Hispanic_Female_Mechanic,296,298,0.7809075467562829,0.7778079501843094
White_Female_Mechanic,Native American_Female_Mechanic,296,298,0.7649483123904149,0.7621288494944458
White_Female_Cashier,Black_Female_Cashier,296,298,0.705187025131502,0.6995575770350193
White_Female_Cashier,Asian_Female_Cashier,296,296,0.7099936916126278,0.7024210728736657
White_Female_Cashier,Hispanic_Female_Cashier,296,296,0.7857694841037915,0.7807036169110717
White_Female_Cashier,Native American_Female_Cashier,296,298,0.7232302016364699,0.7173669138081676
