
================ PAIRWISE INTERSECTIONAL BIAS REPORT ================

RELATIVE SEMANTIC DISTANCES ACROSS GROUPS:
              intersectional_id                        control_id  n_target  n_control  accuracy  f1_score
             White_Male_Cleaner             Hispanic_Male_Cleaner       298        298  0.818675  0.815697
           White_Female_Cleaner           Hispanic_Female_Cleaner       296        298  0.794524  0.790125
           White_Female_Cashier           Hispanic_Female_Cashier       296        296  0.785769  0.780704
          White_Female_Mechanic          Hispanic_Female_Mechanic       296        298  0.780908  0.777808
             White_Male_Cashier             Hispanic_Male_Cashier       296        296  0.769723  0.766384
           White_Female_Teacher           Hispanic_Female_Teacher       298        298  0.773426  0.764493
              White_Male_Lawyer                 Asian_Male_Lawyer       296        298  0.767525  0.763640
        White_Female_Accountant        Hispanic_Female_Accountant       296        298  0.767527  0.762979
                 White_Male_CEO                 Hispanic_Male_CEO       296        296  0.766218  0.762917
          White_Female_Mechanic   Native American_Female_Mechanic       296        298  0.764948  0.762129
            White_Male_Mechanic            Hispanic_Male_Mechanic       296        296  0.757957  0.750800
            White_Female_Lawyer            Hispanic_Female_Lawyer       296        296  0.754741  0.750560
             White_Male_Cashier                Asian_Male_Cashier       296        298  0.752816  0.748269
              Asian_Male_Doctor              Hispanic_Male_Doctor       298        298  0.749859  0.747026
            White_Male_Mechanic               Asian_Male_Mechanic       296        296  0.753136  0.744602
             White_Female_Nurse             Hispanic_Female_Nurse       296        296  0.748491  0.743188
                 White_Male_CEO                    Asian_Male_CEO       296        296  0.747845  0.742221
              White_Male_Lawyer              Hispanic_Male_Lawyer       296        296  0.745959  0.740905
          White_Male_Accountant          Hispanic_Male_Accountant       298        296  0.744709  0.740293
                 White_Male_CEO          Native American_Male_CEO       296        298  0.742162  0.736922
              White_Male_Lawyer                 Black_Male_Lawyer       296        296  0.739709  0.735963
            White_Female_Lawyer     Native American_Female_Lawyer       296        296  0.739440  0.735521
               White_Female_CEO        Native American_Female_CEO       296        296  0.742188  0.735008
               White_Female_CEO               Hispanic_Female_CEO       296        298  0.745812  0.732713
             White_Male_Cleaner                Black_Male_Cleaner       298        298  0.738705  0.732602
               White_Male_Nurse               Hispanic_Male_Nurse       298        298  0.739783  0.730552
                 White_Male_CEO                    Black_Male_CEO       296        296  0.734698  0.730190
            Asian_Female_Doctor            Hispanic_Female_Doctor       296        296  0.733405  0.729883
              Asian_Male_Lawyer              Hispanic_Male_Lawyer       298        296  0.731868  0.729142
             White_Male_Cleaner                Asian_Male_Cleaner       298        298  0.734308  0.728928
                 Asian_Male_CEO                 Hispanic_Male_CEO       296        296  0.732714  0.728239
             Asian_Male_Cashier             Hispanic_Male_Cashier       298        296  0.734057  0.727411
            Hispanic_Female_CEO        Native American_Female_CEO       298        296  0.730128  0.725522
              White_Male_Doctor                 Asian_Male_Doctor       296        298  0.731303  0.724232
              Asian_Male_Doctor       Native American_Male_Doctor       298        296  0.724362  0.723928
             White_Male_Cleaner      Native American_Male_Cleaner       298        298  0.728159  0.720500
          White_Female_Mechanic             Asian_Female_Mechanic       296        296  0.722698  0.718125
              White_Male_Lawyer       Native American_Male_Lawyer       296        298  0.724402  0.717714
           White_Female_Cashier    Native American_Female_Cashier       296        298  0.723230  0.717367
              White_Male_Doctor              Hispanic_Male_Doctor       296        298  0.719540  0.717088
            White_Female_Lawyer               Asian_Female_Lawyer       296        296  0.722953  0.716828
            Asian_Male_Mechanic            Hispanic_Male_Mechanic       296        296  0.716294  0.714979
             Asian_Male_Cleaner             Hispanic_Male_Cleaner       298        298  0.716575  0.714653
        White_Female_Accountant           Black_Female_Accountant       296        296  0.718696  0.713839
            White_Female_Doctor            Hispanic_Female_Doctor       296        296  0.715655  0.712720
        White_Female_Accountant           Asian_Female_Accountant       296        296  0.719504  0.712590
             White_Male_Teacher                Asian_Male_Teacher       296        296  0.717672  0.711159
            White_Male_Mechanic               Black_Male_Mechanic       296        296  0.714494  0.710215
             White_Male_Cashier                Black_Male_Cashier       296        298  0.711152  0.710083
                 Asian_Male_CEO          Native American_Male_CEO       296        298  0.715366  0.709522
            Asian_Female_Lawyer            Hispanic_Female_Lawyer       296        296  0.711238  0.708511
          White_Male_Accountant             Asian_Male_Accountant       298        296  0.713940  0.708378
              Asian_Male_Lawyer       Native American_Male_Lawyer       298        298  0.711753  0.707774
               White_Female_CEO                  Asian_Female_CEO       296        296  0.714494  0.707289
              Hispanic_Male_CEO          Native American_Male_CEO       296        298  0.714311  0.706666
               Asian_Male_Nurse               Hispanic_Male_Nurse       296        298  0.715447  0.706534
           Asian_Female_Cleaner           Hispanic_Female_Cleaner       296        298  0.708687  0.703619
          White_Male_Accountant   Native American_Male_Accountant       298        298  0.708513  0.703049
           White_Female_Cashier              Asian_Female_Cashier       296        296  0.709994  0.702421
           White_Female_Cleaner              Black_Female_Cleaner       296        296  0.707866  0.702052
              Black_Male_Doctor              Hispanic_Male_Doctor       296        298  0.706121  0.701800
           White_Female_Teacher              Asian_Female_Teacher       298        296  0.710880  0.701786
           White_Female_Cleaner              Asian_Female_Cleaner       296        296  0.711659  0.700940
           White_Female_Cashier              Black_Female_Cashier       296        298  0.705187  0.699558
             White_Female_Nurse                Black_Female_Nurse       296        296  0.706044  0.697915
     Hispanic_Female_Accountant Native American_Female_Accountant       298        298  0.699111  0.697849
          White_Female_Mechanic             Black_Female_Mechanic       296        296  0.705051  0.697702
             Asian_Female_Nurse             Hispanic_Female_Nurse       296        296  0.702371  0.697183
           White_Female_Teacher              Black_Female_Teacher       298        296  0.701078  0.697135
