
================ PAIRWISE INTERSECTIONAL BIAS REPORT ================

RELATIVE SEMANTIC DISTANCES ACROSS GROUPS:
                intersectional_id                        control_id  exaggeration
         Native American_Male_CEO                    White_Male_CEO      0.211459
       Native American_Female_CEO                  White_Female_CEO      0.188308
                Asian_Male_Lawyer                 White_Male_Lawyer      0.184344
              Asian_Female_Lawyer               White_Female_Lawyer      0.171850
                   Asian_Male_CEO                    White_Male_CEO      0.169908
      Native American_Male_Doctor                 White_Male_Doctor      0.165264
               Asian_Male_Cleaner                White_Male_Cleaner      0.162012
                 Asian_Female_CEO                  White_Female_CEO      0.159356
Native American_Female_Accountant           White_Female_Accountant      0.157289
    Native American_Female_Doctor               White_Female_Doctor      0.153225
    Native American_Female_Lawyer               White_Female_Lawyer      0.153216
     Native American_Female_Nurse                White_Female_Nurse      0.150615
         Native American_Male_CEO                 Hispanic_Male_CEO      0.148402
                Black_Male_Lawyer                 White_Male_Lawyer      0.147928
      Native American_Male_Lawyer                 White_Male_Lawyer      0.146787
             Hispanic_Male_Lawyer                 White_Male_Lawyer      0.145901
                   Asian_Male_CEO                 Hispanic_Male_CEO      0.143754
       Native American_Female_CEO               Hispanic_Female_CEO      0.137671
          Asian_Female_Accountant           White_Female_Accountant      0.137263
                Black_Male_Doctor                 White_Male_Doctor      0.133931
  Native American_Male_Accountant             White_Male_Accountant      0.133924
       Native American_Female_CEO                  Black_Female_CEO      0.133641
            Asian_Female_Mechanic             White_Female_Mechanic      0.130234
              Black_Female_Lawyer               White_Female_Lawyer      0.128529
             Hispanic_Male_Doctor                 White_Male_Doctor      0.127045
                   Black_Male_CEO                    White_Male_CEO      0.126656
                 Asian_Male_Nurse                  White_Male_Nurse      0.125802
           Hispanic_Female_Lawyer               White_Female_Lawyer      0.125460
                Asian_Male_Doctor                 White_Male_Doctor      0.125458
             Black_Female_Cleaner              White_Female_Cleaner      0.124796
              Asian_Female_Doctor               White_Female_Doctor      0.124238
         Native American_Male_CEO                    Black_Male_CEO      0.123865
   Native American_Female_Teacher              White_Female_Teacher      0.123654
     Native American_Male_Teacher                White_Male_Teacher      0.123603
             Asian_Female_Cleaner              White_Female_Cleaner      0.123493
          Black_Female_Accountant           White_Female_Accountant      0.123170
              Asian_Female_Lawyer            Hispanic_Female_Lawyer      0.122916
           Hispanic_Female_Doctor               White_Female_Doctor      0.122750
            Black_Female_Mechanic             White_Female_Mechanic      0.122506
       Hispanic_Female_Accountant           White_Female_Accountant      0.121727
             Asian_Female_Cashier              White_Female_Cashier      0.121059
            Hispanic_Male_Cleaner                White_Male_Cleaner      0.120802
          Hispanic_Female_Teacher              White_Female_Teacher      0.120460
               Asian_Male_Cleaner      Native American_Male_Cleaner      0.120419
     Native American_Male_Cleaner                White_Male_Cleaner      0.120108
               Asian_Male_Cleaner             Hispanic_Male_Cleaner      0.118971
       Native American_Male_Nurse                  White_Male_Nurse      0.118033
             Asian_Female_Teacher              White_Female_Teacher      0.117671
               Black_Male_Cleaner                White_Male_Cleaner      0.115782
          Hispanic_Female_Cleaner              White_Female_Cleaner      0.115547
               Asian_Male_Cashier                White_Male_Cashier      0.115453
             Black_Female_Cashier              White_Female_Cashier      0.113447
                 Asian_Female_CEO               Hispanic_Female_CEO      0.112776
              Hispanic_Male_Nurse                  White_Male_Nurse      0.111933
    Native American_Female_Doctor               Black_Female_Doctor      0.111920
               Black_Male_Cashier                White_Male_Cashier      0.111686
                Asian_Male_Lawyer              Hispanic_Male_Lawyer      0.111297
         Hispanic_Female_Mechanic             White_Female_Mechanic      0.110841
               Asian_Male_Cashier      Native American_Male_Cashier      0.110601
      Native American_Male_Doctor                 Asian_Male_Doctor      0.110353
            Black_Male_Accountant             White_Male_Accountant      0.110009
            Hispanic_Female_Nurse                White_Female_Nurse      0.109877
            Hispanic_Male_Cashier                White_Male_Cashier      0.109819
  Native American_Female_Mechanic             White_Female_Mechanic      0.109480
   Native American_Female_Cleaner              White_Female_Cleaner      0.109360
       Native American_Female_CEO                  Asian_Female_CEO      0.109056
