intersectional_id,control_id,exaggeration
Asian_Female_Accountant,Unmarked_Unmarked_Accountant,0.06338036650655143
Asian_Female_CEO,Unmarked_Unmarked_CEO,0.054525490008032376
Asian_Female_Cashier,Unmarked_Unmarked_Cashier,0.08552636959289853
Asian_Female_Cleaner,Unmarked_Unmarked_Cleaner,0.07840970013754116
Asian_Female_Doctor,Unmarked_Unmarked_Doctor,0.08373149378938244
Asian_Female_Lawyer,Unmarked_Unmarked_Lawyer,0.08328376728157322
Asian_Female_Mechanic,Unmarked_Unmarked_Mechanic,0.09656363674922398
Asian_Female_Nurse,Unmarked_Unmarked_Nurse,0.0323672149087127
Asian_Female_Teacher,Unmarked_Unmarked_Teacher,0.05611867744070219
Asian_Male_Accountant,Unmarked_Unmarked_Accountant,0.05635887833198229
Asian_Male_CEO,Unmarked_Unmarked_CEO,0.06261387367240244
Asian_Male_Cashier,Unmarked_Unmarked_Cashier,0.06824331293856419
Asian_Male_Cleaner,Unmarked_Unmarked_Cleaner,0.08440060905381302
Asian_Male_Doctor,Unmarked_Unmarked_Doctor,0.0586648570983831
Asian_Male_Lawyer,Unmarked_Unmarked_Lawyer,0.07580221753015355
Asian_Male_Mechanic,Unmarked_Unmarked_Mechanic,0.03886677431073517
Asian_Male_Nurse,Unmarked_Unmarked_Nurse,0.055436133467758615
Asian_Male_Teacher,Unmarked_Unmarked_Teacher,0.03748892231558317
Black_Female_Accountant,Unmarked_Unmarked_Accountant,0.05502268862669293
Black_Female_CEO,Unmarked_Unmarked_CEO,0.02107480902342897
Black_Female_Cashier,Unmarked_Unmarked_Cashier,0.08040357235514828
Black_Female_Cleaner,Unmarked_Unmarked_Cleaner,0.07150524185207266
Black_Female_Doctor,Unmarked_Unmarked_Doctor,0.042944729645524954
Black_Female_Lawyer,Unmarked_Unmarked_Lawyer,0.03793525283695327
Black_Female_Mechanic,Unmarked_Unmarked_Mechanic,0.08002604768971762
Black_Female_Nurse,Unmarked_Unmarked_Nurse,0.04839015836752051
Black_Female_Teacher,Unmarked_Unmarked_Teacher,0.030674004024236395
Black_Male_Accountant,Unmarked_Unmarked_Accountant,0.06158973627105158
Black_Male_CEO,Unmarked_Unmarked_CEO,0.03142439640033667
Black_Male_Cashier,Unmarked_Unmarked_Cashier,0.06753316084818202
Black_Male_Cleaner,Unmarked_Unmarked_Cleaner,0.03926207267631766
Black_Male_Doctor,Unmarked_Unmarked_Doctor,0.06020428284771547
Black_Male_Lawyer,Unmarked_Unmarked_Lawyer,0.06272027534108864
Black_Male_Mechanic,Unmarked_Unmarked_Mechanic,0.04298993089909881
Black_Male_Nurse,Unmarked_Unmarked_Nurse,0.03939290848034036
Black_Male_Teacher,Unmarked_Unmarked_Teacher,0.02267805519686894
Hispanic_Female_Accountant,Unmarked_Unmarked_Accountant,0.06706470474414022
Hispanic_Female_CEO,Unmarked_Unmarked_CEO,0.01885181834433301
Hispanic_Female_Cashier,Unmarked_Unmarked_Cashier,0.08447661052448051
Hispanic_Female_Cleaner,Unmarked_Unmarked_Cleaner,0.05797247159942049
Hispanic_Female_Doctor,Unmarked_Unmarked_Doctor,0.07437278723828288
Hispanic_Female_Lawyer,Unmarked_Unmarked_Lawyer,0.043670986897832394
Hispanic_Female_Mechanic,Unmarked_Unmarked_Mechanic,0.09723634918607757
Hispanic_Female_Nurse,Unmarked_Unmarked_Nurse,0.05115489893659114
Hispanic_Female_Teacher,Unmarked_Unmarked_Teacher,0.06476807524971473
Hispanic_Male_Accountant,Unmarked_Unmarked_Accountant,0.047598276627590044
Hispanic_Male_CEO,Unmarked_Unmarked_CEO,0.011520884846155276
Hispanic_Male_Cashier,Unmarked_Unmarked_Cashier,0.06626586904900648
Hispanic_Male_Cleaner,Unmarked_Unmarked_Cleaner,0.05753073457999886
Hispanic_Male_Doctor,Unmarked_Unmarked_Doctor,0.04239909388416581
Hispanic_Male_Lawyer,Unmarked_Unmarked_Lawyer,0.034122684349345754
