intersectional_id,control_id,n_target_imp,n_control_imp,accuracy_imp,f1_score_imp,n_target_exp,n_control_exp,accuracy_exp,f1_score_exp,accuracy_delta,f1_score_delta
Asian_Male_Lawyer,Unmarked_Unmarked_Lawyer,134,1332,0.8752414485970867,0.6673843806312878,134,1332,0.8925990262119736,0.6909363582224073,0.017357577614886877,0.02355197759111949
Native American_Male_Accountant,Unmarked_Unmarked_Accountant,134,1334,0.8461676321874834,0.5913539886129036,134,1334,0.8712972785828412,0.6962699190588658,0.025129646395357863,0.10491593044596226
Native American_Male_Lawyer,Unmarked_Unmarked_Lawyer,134,1332,0.8611410912408826,0.5700130898369153,134,1332,0.8647547493853238,0.6647314752284861,0.0036136581444412563,0.09471838539157074
Black_Female_Cashier,Unmarked_Unmarked_Cashier,134,1334,0.8308849205850578,0.5665546369463388,134,1334,0.8682982117351055,0.6503773880843629,0.037413291150047656,0.08382275113802407
Native American_Male_Teacher,Unmarked_Unmarked_Teacher,134,1334,0.8694271938253084,0.6080293658107042,134,1334,0.8728220461855705,0.7103494307104408,0.003394852360262046,0.10232006489973655
Hispanic_Male_Doctor,Unmarked_Unmarked_Doctor,134,1332,0.8410293274155111,0.5592287150010352,134,1332,0.8654560475300256,0.6508946547225396,0.024426720114514522,0.09166593972150439
Black_Male_Cashier,Unmarked_Unmarked_Cashier,134,1334,0.8310475171859004,0.5909697564108095,134,1334,0.862606497732924,0.6329054122409353,0.03155898054702355,0.04193565583012582
White_Female_Teacher,Unmarked_Unmarked_Teacher,134,1334,0.8635383977353307,0.6098766585150301,134,1334,0.857267696432109,0.5680117911097314,-0.006270701303221715,-0.04186486740529871
Hispanic_Female_CEO,Unmarked_Unmarked_CEO,134,1333,0.8413106205087348,0.6031682532971254,134,1333,0.9267988051774599,0.7436577108020866,0.0854881846687251,0.14048945750496122
White_Male_Cleaner,Unmarked_Unmarked_Cleaner,134,1336,0.8614302369910106,0.653752402927647,134,1336,0.8977486384846722,0.6615923137414864,0.03631840149366161,0.00783991081383939
Hispanic_Female_Accountant,Unmarked_Unmarked_Accountant,134,1334,0.8365049066392579,0.6008991991160982,134,1334,0.924932090154908,0.7589034938002095,0.08842718351565004,0.15800429468411126
Native American_Male_Mechanic,Unmarked_Unmarked_Mechanic,134,1333,0.8308559985294768,0.5491707307546201,134,1333,0.8600837097356372,0.6128364434377781,0.02922771120616041,0.06366571268315802
Native American_Male_Cleaner,Unmarked_Unmarked_Cleaner,134,1336,0.8656232869588625,0.5905178893060898,134,1336,0.9028001339842889,0.6846891006528908,0.03717684702542645,0.09417121134680095
White_Male_Nurse,Unmarked_Unmarked_Nurse,134,1332,0.8650771674586982,0.6722504229354134,134,1332,0.8922736378914939,0.6236087306927939,0.027196470432795716,-0.048641692242619494
Native American_Male_CEO,Unmarked_Unmarked_CEO,134,1333,0.8873456186878241,0.640357099593728,134,1333,0.90820598720851,0.7489237651526286,0.020860368520685846,0.1085666655589006
Asian_Male_Cashier,Unmarked_Unmarked_Cashier,134,1334,0.8549178712330404,0.605961211208816,134,1334,0.8775451969154673,0.6686537119364998,0.02262732568242687,0.06269250072768384
Native American_Female_Teacher,Unmarked_Unmarked_Teacher,134,1334,0.8220128563308726,0.5663640231419135,134,1334,0.8556519533513663,0.6678161461271379,0.033639097020493725,0.10145212298522444
Hispanic_Female_Mechanic,Unmarked_Unmarked_Mechanic,134,1333,0.8431084488970935,0.6096219370222911,134,1333,0.9144650702075504,0.7276455093348961,0.07135662131045695,0.11802357231260507
Hispanic_Male_Cleaner,Unmarked_Unmarked_Cleaner,134,1336,0.8476069792632505,0.5972822329518025,134,1336,0.9170707826100741,0.7268734695159921,0.06946380334682367,0.12959123656418958
Black_Male_Cleaner,Unmarked_Unmarked_Cleaner,134,1336,0.8592544817408285,0.576527615238718,134,1336,0.8451703427278769,0.6194379769620175,-0.01408413901295158,0.04291036172329954
Native American_Female_Accountant,Unmarked_Unmarked_Accountant,134,1334,0.802147813905542,0.5447598207240123,134,1334,0.8751607620984693,0.6889655084309677,0.07301294819292725,0.1442056877069554
Hispanic_Female_Teacher,Unmarked_Unmarked_Teacher,134,1334,0.829654541650698,0.5472839563560743,134,1334,0.8965523593699952,0.6922469221417622,0.06689781771929726,0.1449629657856879
Black_Female_CEO,Unmarked_Unmarked_CEO,134,1333,0.8642369877181272,0.5976986241378295,134,1333,0.8880491036827628,0.6454470283445304,0.023812115964635616,0.0477484042067009
