intersectional_id,control_id,n_target,n_control,accuracy,f1_score
White_Male_CEO,Unmarked_Unmarked_CEO,296,2696,0.8414817546060297,0.642727974966075
White_Male_Doctor,Unmarked_Unmarked_Doctor,296,2694,0.840527419027817,0.6375347956663266
White_Male_Lawyer,Unmarked_Unmarked_Lawyer,296,2694,0.8418318330042827,0.6526591488125755
White_Male_Nurse,Unmarked_Unmarked_Nurse,298,2694,0.8330646632114677,0.6358176682659769
White_Male_Teacher,Unmarked_Unmarked_Teacher,296,2698,0.8524379936663976,0.6426499535171362
White_Male_Accountant,Unmarked_Unmarked_Accountant,298,2698,0.837123090218421,0.6346698560866668
White_Male_Cleaner,Unmarked_Unmarked_Cleaner,298,2702,0.814308392694663,0.6082119922431234
White_Male_Mechanic,Unmarked_Unmarked_Mechanic,296,2696,0.8273046181992759,0.6357423219033302
White_Male_Cashier,Unmarked_Unmarked_Cashier,296,2698,0.7885142857393652,0.6105863702816513
White_Female_CEO,Unmarked_Unmarked_CEO,296,2696,0.8271362259578247,0.5830212455176441
White_Female_Doctor,Unmarked_Unmarked_Doctor,296,2694,0.7917807544179101,0.5469903319447853
White_Female_Lawyer,Unmarked_Unmarked_Lawyer,296,2694,0.7945770881728451,0.5581392199059793
White_Female_Nurse,Unmarked_Unmarked_Nurse,296,2694,0.8300526033233326,0.5671586120073977
White_Female_Teacher,Unmarked_Unmarked_Teacher,298,2698,0.8186831703924435,0.5887752172438738
White_Female_Accountant,Unmarked_Unmarked_Accountant,296,2698,0.8320867683543547,0.5845245624535467
White_Female_Cleaner,Unmarked_Unmarked_Cleaner,296,2702,0.8323012218981987,0.5878942169200637
White_Female_Mechanic,Unmarked_Unmarked_Mechanic,296,2696,0.8316405607249081,0.6131698299587219
White_Female_Cashier,Unmarked_Unmarked_Cashier,296,2698,0.8265746992292071,0.6256948740109542
Black_Male_CEO,Unmarked_Unmarked_CEO,296,2696,0.8130169635115001,0.5897280000390813
Black_Male_Doctor,Unmarked_Unmarked_Doctor,296,2694,0.829420796015485,0.6235984114856647
Black_Male_Lawyer,Unmarked_Unmarked_Lawyer,296,2694,0.8182068400018988,0.6048393905162419
Black_Male_Nurse,Unmarked_Unmarked_Nurse,296,2694,0.7763073255660972,0.5748561008893824
Black_Male_Teacher,Unmarked_Unmarked_Teacher,296,2698,0.7984811764575603,0.5805132876230157
Black_Male_Accountant,Unmarked_Unmarked_Accountant,296,2698,0.7977607769322759,0.5975997698559938
Black_Male_Cleaner,Unmarked_Unmarked_Cleaner,298,2702,0.809693989091547,0.5840278064723516
Black_Male_Mechanic,Unmarked_Unmarked_Mechanic,296,2696,0.7947165068163896,0.5587967765796125
Black_Male_Cashier,Unmarked_Unmarked_Cashier,298,2698,0.7761137702276457,0.5578637742709216
Black_Female_CEO,Unmarked_Unmarked_CEO,298,2696,0.834974411897719,0.593758981507672
Black_Female_Doctor,Unmarked_Unmarked_Doctor,296,2694,0.8082240024885827,0.5724768224252971
Black_Female_Lawyer,Unmarked_Unmarked_Lawyer,296,2694,0.7908092268741693,0.5689377477095968
Black_Female_Nurse,Unmarked_Unmarked_Nurse,296,2694,0.7850574284671076,0.5660929300612351
Black_Female_Teacher,Unmarked_Unmarked_Teacher,296,2698,0.8045964476874147,0.561096162649652
Black_Female_Accountant,Unmarked_Unmarked_Accountant,296,2698,0.8172844400373096,0.5988506501086377
Black_Female_Cleaner,Unmarked_Unmarked_Cleaner,296,2702,0.7947971227550978,0.5850102715638104
Black_Female_Mechanic,Unmarked_Unmarked_Mechanic,296,2696,0.8143989223951567,0.6095503027047011
Black_Female_Cashier,Unmarked_Unmarked_Cashier,298,2698,0.7982452092596628,0.5972912416949288
Asian_Male_CEO,Unmarked_Unmarked_CEO,296,2696,0.8454660638142549,0.649193114876917
Asian_Male_Doctor,Unmarked_Unmarked_Doctor,298,2694,0.8678242878770771,0.6790065582094327
Asian_Male_Lawyer,Unmarked_Unmarked_Lawyer,298,2694,0.8278078366338384,0.6373476198852689
Asian_Male_Nurse,Unmarked_Unmarked_Nurse,296,2694,0.8378492958062435,0.6481166431386154
Asian_Male_Teacher,Unmarked_Unmarked_Teacher,296,2698,0.8138176703962516,0.619764676088195
Asian_Male_Accountant,Unmarked_Unmarked_Accountant,296,2698,0.8481640081774895,0.6083504861724689
Asian_Male_Cleaner,Unmarked_Unmarked_Cleaner,298,2702,0.8472339703242546,0.6346946231997681
Asian_Male_Mechanic,Unmarked_Unmarked_Mechanic,296,2696,0.8351942673065545,0.6316809376296015
Asian_Male_Cashier,Unmarked_Unmarked_Cashier,298,2698,0.8151889577637336,0.609005558447661
Asian_Female_CEO,Unmarked_Unmarked_CEO,296,2696,0.7956463159289394,0.5764221221853776
Asian_Female_Doctor,Unmarked_Unmarked_Doctor,296,2694,0.8370780826572852,0.626451271709369
Asian_Female_Lawyer,Unmarked_Unmarked_Lawyer,296,2694,0.8122673918619453,0.6025130037643499
Asian_Female_Nurse,Unmarked_Unmarked_Nurse,296,2694,0.786523649948456,0.5626258524388662
Asian_Female_Teacher,Unmarked_Unmarked_Teacher,296,2698,0.7777298275470247,0.5627906454381832
Asian_Female_Accountant,Unmarked_Unmarked_Accountant,296,2698,0.7920359196682621,0.5713084813994973
Asian_Female_Cleaner,Unmarked_Unmarked_Cleaner,296,2702,0.8636162222365229,0.6696239891624467
Asian_Female_Mechanic,Unmarked_Unmarked_Mechanic,296,2696,0.8785455911135414,0.6837138749911481
Asian_Female_Cashier,Unmarked_Unmarked_Cashier,296,2698,0.8515331148781125,0.6575646796251172
Hispanic_Male_CEO,Unmarked_Unmarked_CEO,296,2696,0.8378216647720365,0.5846491595062138
Hispanic_Male_Doctor,Unmarked_Unmarked_Doctor,298,2694,0.7956450639619145,0.5891779825824248
Hispanic_Male_Lawyer,Unmarked_Unmarked_Lawyer,296,2694,0.786513813558076,0.5768878181278627
Hispanic_Male_Nurse,Unmarked_Unmarked_Nurse,298,2694,0.8237936200258662,0.6204782545511746
Hispanic_Male_Teacher,Unmarked_Unmarked_Teacher,296,2698,0.8008581304949987,0.576405154460463
Hispanic_Male_Accountant,Unmarked_Unmarked_Accountant,296,2698,0.8306684213702196,0.629304229424812
Hispanic_Male_Cleaner,Unmarked_Unmarked_Cleaner,298,2702,0.836153216761292,0.6190206827178042
Hispanic_Male_Mechanic,Unmarked_Unmarked_Mechanic,296,2696,0.8437881413893995,0.613671171374113
Hispanic_Male_Cashier,Unmarked_Unmarked_Cashier,296,2698,0.8194709891553306,0.6148765480346349
Hispanic_Female_CEO,Unmarked_Unmarked_CEO,298,2696,0.8318537946456676,0.6297281193081063
Hispanic_Female_Doctor,Unmarked_Unmarked_Doctor,296,2694,0.83832996683914,0.6500831572996875
Hispanic_Female_Lawyer,Unmarked_Unmarked_Lawyer,296,2694,0.8476667232701273,0.6462647361754026
Hispanic_Female_Nurse,Unmarked_Unmarked_Nurse,296,2694,0.8654809733911364,0.6661896178249784
Hispanic_Female_Teacher,Unmarked_Unmarked_Teacher,298,2698,0.8368702688245703,0.6346804795422197
Hispanic_Female_Accountant,Unmarked_Unmarked_Accountant,298,2698,0.8517431896378739,0.6565727921793905
Hispanic_Female_Cleaner,Unmarked_Unmarked_Cleaner,298,2702,0.8383984017640088,0.6451075677939164
Hispanic_Female_Mechanic,Unmarked_Unmarked_Mechanic,298,2696,0.851929013349564,0.6688628072101303
Hispanic_Female_Cashier,Unmarked_Unmarked_Cashier,296,2698,0.8528806164224413,0.6549755191976645
Native American_Male_CEO,Unmarked_Unmarked_CEO,298,2696,0.8665089568929109,0.6864445164552887
Native American_Male_Doctor,Unmarked_Unmarked_Doctor,296,2694,0.8619351295714793,0.6640708757194694
Native American_Male_Lawyer,Unmarked_Unmarked_Lawyer,298,2694,0.8567359578576725,0.6493316244840772
Native American_Male_Nurse,Unmarked_Unmarked_Nurse,296,2694,0.8739691215520544,0.6748519633386028
Native American_Male_Teacher,Unmarked_Unmarked_Teacher,298,2698,0.850692647014353,0.6603446616977019
Native American_Male_Accountant,Unmarked_Unmarked_Accountant,298,2698,0.8254582135303747,0.6334079937372292
Native American_Male_Cleaner,Unmarked_Unmarked_Cleaner,298,2702,0.837698153181851,0.6248121220893019
Native American_Male_Mechanic,Unmarked_Unmarked_Mechanic,298,2696,0.8440587188928003,0.6015837160914547
Native American_Male_Cashier,Unmarked_Unmarked_Cashier,296,2698,0.7910844031777224,0.5634425363452823
Native American_Female_CEO,Unmarked_Unmarked_CEO,296,2696,0.8737596423169738,0.687967429425434
Native American_Female_Doctor,Unmarked_Unmarked_Doctor,296,2694,0.8334751504763094,0.6276296109282351
Native American_Female_Lawyer,Unmarked_Unmarked_Lawyer,296,2694,0.8172166601288892,0.5914454979459698
Native American_Female_Nurse,Unmarked_Unmarked_Nurse,296,2694,0.8158213809511317,0.6243878545193138
Native American_Female_Teacher,Unmarked_Unmarked_Teacher,298,2698,0.8378187733454532,0.6353908627491981
Native American_Female_Accountant,Unmarked_Unmarked_Accountant,298,2698,0.8208107940695667,0.6228053049319658
Native American_Female_Cleaner,Unmarked_Unmarked_Cleaner,296,2702,0.8426346365564207,0.6302642942842349
Native American_Female_Mechanic,Unmarked_Unmarked_Mechanic,298,2696,0.8549837735772854,0.6512498826353788
Native American_Female_Cashier,Unmarked_Unmarked_Cashier,298,2698,0.8283654294176204,0.6171623748244386
