intersectional_id,control_id,exaggeration
Asian_Female_Accountant,Unmarked_Unmarked_Accountant,0.06338036423407253
Asian_Female_CEO,Unmarked_Unmarked_CEO,0.054525491929717236
Asian_Female_Cashier,Unmarked_Unmarked_Cashier,0.0855263647396258
Asian_Female_Cleaner,Unmarked_Unmarked_Cleaner,0.07840970202548452
Asian_Female_Doctor,Unmarked_Unmarked_Doctor,0.08373149104085165
Asian_Female_Lawyer,Unmarked_Unmarked_Lawyer,0.08328376877837218
Asian_Female_Mechanic,Unmarked_Unmarked_Mechanic,0.09656363465323144
Asian_Female_Nurse,Unmarked_Unmarked_Nurse,0.032367213983317045
Asian_Female_Teacher,Unmarked_Unmarked_Teacher,0.05611868198329816
Asian_Male_Accountant,Unmarked_Unmarked_Accountant,0.056358877167985884
Asian_Male_CEO,Unmarked_Unmarked_CEO,0.0626138715232956
Asian_Male_Cashier,Unmarked_Unmarked_Cashier,0.06824331339620002
Asian_Male_Cleaner,Unmarked_Unmarked_Cleaner,0.08440060920676042
Asian_Male_Doctor,Unmarked_Unmarked_Doctor,0.05866485617845658
Asian_Male_Lawyer,Unmarked_Unmarked_Lawyer,0.07580221730029338
Asian_Male_Mechanic,Unmarked_Unmarked_Mechanic,0.038866774315894845
Asian_Male_Nurse,Unmarked_Unmarked_Nurse,0.05543612988756599
Asian_Male_Teacher,Unmarked_Unmarked_Teacher,0.03748892235306484
Black_Female_Accountant,Unmarked_Unmarked_Accountant,0.05502268809175872
Black_Female_CEO,Unmarked_Unmarked_CEO,0.021074810514378553
Black_Female_Cashier,Unmarked_Unmarked_Cashier,0.08040356900718003
Black_Female_Cleaner,Unmarked_Unmarked_Cleaner,0.07150523771433621
Black_Female_Doctor,Unmarked_Unmarked_Doctor,0.042944731223236096
Black_Female_Lawyer,Unmarked_Unmarked_Lawyer,0.03793525159529136
Black_Female_Mechanic,Unmarked_Unmarked_Mechanic,0.08002604720482687
Black_Female_Nurse,Unmarked_Unmarked_Nurse,0.04839016069024852
Black_Female_Teacher,Unmarked_Unmarked_Teacher,0.03067400513201579
Black_Male_Accountant,Unmarked_Unmarked_Accountant,0.06158973708120096
Black_Male_CEO,Unmarked_Unmarked_CEO,0.0314243962589576
Black_Male_Cashier,Unmarked_Unmarked_Cashier,0.06753316412457236
Black_Male_Cleaner,Unmarked_Unmarked_Cleaner,0.03926207325900446
Black_Male_Doctor,Unmarked_Unmarked_Doctor,0.060204280168268585
Black_Male_Lawyer,Unmarked_Unmarked_Lawyer,0.06272029356170923
Black_Male_Mechanic,Unmarked_Unmarked_Mechanic,0.042989930199656544
Black_Male_Nurse,Unmarked_Unmarked_Nurse,0.039392906934538896
Black_Male_Teacher,Unmarked_Unmarked_Teacher,0.022678053396105673
Hispanic_Female_Accountant,Unmarked_Unmarked_Accountant,0.06706470217202186
Hispanic_Female_CEO,Unmarked_Unmarked_CEO,0.01885182081265782
Hispanic_Female_Cashier,Unmarked_Unmarked_Cashier,0.08447661073709332
Hispanic_Female_Cleaner,Unmarked_Unmarked_Cleaner,0.05797246762963337
Hispanic_Female_Doctor,Unmarked_Unmarked_Doctor,0.0743727904820901
Hispanic_Female_Lawyer,Unmarked_Unmarked_Lawyer,0.043670988604839193
Hispanic_Female_Mechanic,Unmarked_Unmarked_Mechanic,0.09723634958357523
Hispanic_Female_Nurse,Unmarked_Unmarked_Nurse,0.05115489873471099
Hispanic_Female_Teacher,Unmarked_Unmarked_Teacher,0.06476807843966335
Hispanic_Male_Accountant,Unmarked_Unmarked_Accountant,0.04759827499556323
Hispanic_Male_CEO,Unmarked_Unmarked_CEO,0.011520885945861165
Hispanic_Male_Cashier,Unmarked_Unmarked_Cashier,0.06626587006148422
Hispanic_Male_Cleaner,Unmarked_Unmarked_Cleaner,0.05753072989550237
Hispanic_Male_Doctor,Unmarked_Unmarked_Doctor,0.04239909457791325
Hispanic_Male_Lawyer,Unmarked_Unmarked_Lawyer,0.03412268417870063
Hispanic_Male_Mechanic,Unmarked_Unmarked_Mechanic,0.05413654688089597
Hispanic_Male_Nurse,Unmarked_Unmarked_Nurse,0.03725500116391979
Hispanic_Male_Teacher,Unmarked_Unmarked_Teacher,0.0422996588216341
Native American_Female_Accountant,Unmarked_Unmarked_Accountant,0.12142563050708786
Native American_Female_CEO,Unmarked_Unmarked_CEO,0.12152491968286568
Native American_Female_Cashier,Unmarked_Unmarked_Cashier,0.07247840390545217
