intersectional_id,control_id,n_target,n_control,accuracy,f1_score
White_Male_CEO,Unmarked_Unmarked_CEO,296,2696,0.808116110223995,0.658800056017685
White_Male_Doctor,Unmarked_Unmarked_Doctor,296,2694,0.7923280291196237,0.6357670317681027
White_Male_Lawyer,Unmarked_Unmarked_Lawyer,296,2694,0.8178502889793352,0.6684342701558008
White_Male_Nurse,Unmarked_Unmarked_Nurse,298,2694,0.827021961647865,0.6814430057070368
White_Male_Teacher,Unmarked_Unmarked_Teacher,296,2698,0.8309723444925374,0.6720714491495423
White_Male_Accountant,Unmarked_Unmarked_Accountant,298,2698,0.831788371962294,0.695599108062259
White_Male_Cleaner,Unmarked_Unmarked_Cleaner,298,2702,0.8076495262291352,0.662660749909968
White_Male_Mechanic,Unmarked_Unmarked_Mechanic,296,2696,0.7987314432724775,0.6466967700069071
White_Male_Cashier,Unmarked_Unmarked_Cashier,296,2698,0.8013207401355367,0.6586970177839423
White_Female_CEO,Unmarked_Unmarked_CEO,296,2696,0.7879849105212651,0.6245325607986965
White_Female_Doctor,Unmarked_Unmarked_Doctor,296,2694,0.7059514132541727,0.5699048867617218
White_Female_Lawyer,Unmarked_Unmarked_Lawyer,296,2694,0.7460848875408532,0.5824877350814692
White_Female_Nurse,Unmarked_Unmarked_Nurse,296,2694,0.7701339477771939,0.6156137453149069
White_Female_Teacher,Unmarked_Unmarked_Teacher,298,2698,0.7559118940123899,0.594285681075649
White_Female_Accountant,Unmarked_Unmarked_Accountant,296,2698,0.7356813232753485,0.5779543363381177
White_Female_Cleaner,Unmarked_Unmarked_Cleaner,296,2702,0.7878864249024077,0.6176218102021891
White_Female_Mechanic,Unmarked_Unmarked_Mechanic,296,2696,0.7971003975797328,0.6336290023070009
White_Female_Cashier,Unmarked_Unmarked_Cashier,296,2698,0.7811130083216752,0.6373158299404079
Black_Male_CEO,Unmarked_Unmarked_CEO,296,2696,0.7434744167894395,0.5905856247126874
Black_Male_Doctor,Unmarked_Unmarked_Doctor,296,2694,0.7609618322451922,0.6126478831940372
Black_Male_Lawyer,Unmarked_Unmarked_Lawyer,296,2694,0.7252678098484068,0.5807856009897703
Black_Male_Nurse,Unmarked_Unmarked_Nurse,296,2694,0.7145563051599098,0.5736781793325587
Black_Male_Teacher,Unmarked_Unmarked_Teacher,296,2698,0.6985691330462769,0.5652912596198891
Black_Male_Accountant,Unmarked_Unmarked_Accountant,296,2698,0.7430997720830979,0.5977079269599237
Black_Male_Cleaner,Unmarked_Unmarked_Cleaner,298,2702,0.7332806332269637,0.5876138138153424
Black_Male_Mechanic,Unmarked_Unmarked_Mechanic,296,2696,0.7139829785468834,0.5581135943688221
Black_Male_Cashier,Unmarked_Unmarked_Cashier,298,2698,0.7357809490461741,0.5889265754150527
Black_Female_CEO,Unmarked_Unmarked_CEO,298,2696,0.762937140011235,0.6121299556090855
