intersectional_id,control_id,n_target,n_control,accuracy,f1_score
White_Male_CEO,White_Female_CEO,296,296,0.6365917772385213,0.6292243920532867
White_Male_CEO,Black_Male_CEO,296,296,0.7878232758620689,0.7854567378785104
White_Male_CEO,Asian_Male_CEO,296,296,0.7889008620689655,0.7868376516849459
White_Male_CEO,Hispanic_Male_CEO,296,296,0.807489224137931,0.8062220670593888
White_Male_CEO,Native American_Male_CEO,296,298,0.8052829120397428,0.8018708884334046
White_Male_Doctor,White_Female_Doctor,296,296,0.5734913793103449,0.5637222914992573
White_Male_Doctor,Black_Male_Doctor,296,296,0.6972121662462702,0.6911310695833619
White_Male_Doctor,Asian_Male_Doctor,296,298,0.7620881428988895,0.7606952617634898
White_Male_Doctor,Hispanic_Male_Doctor,296,298,0.7661748896360849,0.7635729200961027
White_Male_Doctor,Native American_Male_Doctor,296,296,0.7259741369092626,0.7211013349750588
White_Male_Lawyer,White_Female_Lawyer,296,296,0.6159482758620689,0.6142317801269247
White_Male_Lawyer,Black_Male_Lawyer,296,296,0.7724137931034483,0.770095773620001
White_Male_Lawyer,Asian_Male_Lawyer,296,298,0.7863584891876096,0.7850746367132608
White_Male_Lawyer,Hispanic_Male_Lawyer,296,296,0.7970366379310344,0.7951754602564394
White_Male_Lawyer,Native American_Male_Lawyer,296,298,0.8057705654587961,0.800710119318099
White_Male_Nurse,White_Female_Nurse,298,296,0.6167232266862741,0.6133432731857449
White_Male_Nurse,Black_Male_Nurse,298,296,0.7209731957011172,0.7136190022620952
White_Male_Nurse,Asian_Male_Nurse,298,296,0.7857429865575687,0.785000800296092
White_Male_Nurse,Hispanic_Male_Nurse,298,298,0.7797815604909409,0.7751719429848781
White_Male_Nurse,Native American_Male_Nurse,298,296,0.7420760885447106,0.7369247542089389
White_Male_Teacher,White_Female_Teacher,296,298,0.592209417007598,0.5746175192832933
White_Male_Teacher,Black_Male_Teacher,296,296,0.7175962948327526,0.7142289120230096
White_Male_Teacher,Asian_Male_Teacher,296,296,0.7772629310344829,0.7735592224254435
White_Male_Teacher,Hispanic_Male_Teacher,296,296,0.7452047413793104,0.7350485492972073
White_Male_Teacher,Native American_Male_Teacher,296,298,0.7040604771380864,0.6916116420306185
White_Male_Accountant,White_Female_Accountant,298,296,0.6121648524254821,0.6034672698391474
White_Male_Accountant,Black_Male_Accountant,298,296,0.7288704515823159,0.7263830810224915
