group_label,implicit_GCR,explicit_GCR,d_GCR,d_GCR_paired_by_scenario,implicit_ATC,explicit_ATC,d_ATC,d_CCD,d_CCD_paired_by_scenario,implicit_rejection_count,explicit_rejection_count,d_rejection_count,implicit_steering_n_valid,explicit_steering_n_valid,implicit_Steering,explicit_Steering,delta_Steering,implicit_Steering_Trajectory,explicit_Steering_Trajectory,delta_Steering_Trajectory,implicit_steering_traj_n_valid,explicit_steering_traj_n_valid,implicit_steering_slope,explicit_steering_slope
Black_Female_Mechanic,0.3333333333333333,0.3333333333333333,0.0,-0.0416666666666666,6.4958677685950414,6.446280991735537,-0.0495867768595044,0.0212976458041296,0.0232693552600782,0.037593984962406,0.1052631578947368,0.0676691729323308,23,23,0.9628025409345664,0.9727756777460936,0.0099731368115271,"[0.8046926158619871, 0.7838298133435507, 0.7582078736401199, 0.7941566193470762, 0.7854746954525197]","[0.7946865524351563, 0.7973505315477737, 0.8023377644592518, 0.8281131920576634, 0.8147417821655495]","[-0.010006063426830858, 0.013520718204222959, 0.04412989081913188, 0.033956572710587274, 0.0292670867130298]",23,23,-0.002810903481541069,0.007087311997067579
Black_Female_Nurse,0.6086956521739131,0.3846153846153846,-0.2240802675585284,-0.2928571428571428,5.612903225806452,6.017094017094017,0.4041907912875651,0.019721730351328,0.0197274421423133,0.0150375939849624,0.037593984962406,0.0225563909774436,23,23,0.9379125923585052,0.8988806687495993,-0.0390319236089059,"[0.7922944566920692, 0.8373185126928837, 0.8343752011771517, 0.7752577968122634, 0.731497895467507]","[0.7567771050185127, 0.793456624939825, 0.7545302518350461, 0.7357210903426986, 0.6480988786639997]","[-0.03551735167355652, -0.04386188775305866, -0.07984494934210562, -0.03953670646956475, -0.08339901680350725]",23,23,-0.018365383832974445,-0.027509198730615286
Black_Female_Teacher,0.631578947368421,0.4210526315789473,-0.2105263157894736,-0.0925925925925925,5.857142857142857,5.836065573770492,-0.0210772833723646,0.0214990233847964,0.0205981279041936,0.0,0.0601503759398496,0.0601503759398496,23,23,0.9222221873409984,0.9390825059282916,0.0168603185872929,"[0.6631602721862335, 0.6630163799867258, 0.7056163892255642, 0.8151164130223801, 0.8619071852330863]","[0.6463131383150729, 0.6412849142138707, 0.6742222448525393, 0.7745204631075715, 0.8640765251817335]","[-0.016847133871160658, -0.02173146577285512, -0.0313941443730249, -0.04059594991480864, 0.0021693399486472087]",23,23,0.05495938591293592,0.05687623226270216
Black_Male_Accountant,0.4090909090909091,0.4848484848484848,0.0757575757575757,0.1291666666666666,6.308333333333334,6.224137931034483,-0.0841954022988504,-0.001334634252579,-0.0019839462039737,0.0150375939849624,0.0827067669172932,0.0676691729323308,23,23,0.8535650999175195,0.8349852560252288,-0.0185798438922907,"[0.8300501267615014, 0.8381542966461946, 0.8109400380598804, 0.8242761166475053, 0.825020800620356]","[0.7956906539827666, 0.8062376549388496, 0.770731032324806, 0.7832327501437865, 0.7810370009089528]","[-0.034359472778734745, -0.031916641707344984, -0.040209005735074355, -0.04104336650371887, -0.043983799711403204]",23,23,-0.0023936832280979886,-0.005231221094269216
Black_Male_CEO,0.8461538461538461,0.5833333333333334,-0.2628205128205128,-0.5952380952380951,6.229007633587786,6.495934959349594,0.2669273257618076,0.0136066126844739,0.0146422788694783,0.0827067669172932,0.1203007518796992,0.037593984962406,23,23,0.9153718066428896,0.9214995274709208,0.0061277208280313,"[0.7188623868057327, 0.7995108750859048, 0.8451972954306401, 0.9064327458342779, 0.9205921578585916]","[0.7328429878072165, 0.8138933058289848, 0.8624168586884968, 0.9246818604575763, 0.9375691133363308]","[0.013980601001483794, 0.014382430743079988, 0.017219563257856674, 0.018249114623298368, 0.016976955477739142]",23,23,0.051038141285409046,0.052024080568681956
Black_Male_Cashier,0.5789473684210527,0.5789473684210527,0.0,0.037037037037037,6.7936507936507935,6.587301587301587,-0.2063492063492065,0.0135734061353702,0.0126484188409192,0.0671641791044776,0.0746268656716417,0.0074626865671641,23,23,0.7638542947490788,0.7650678059737244,0.0012135112246455,"[0.6311302892145649, 0.6492696974657802, 0.6372319195247933, 0.6187514410638699, 0.6070353137731377]","[0.6207079389717376, 0.6553138900439599, 0.6353806475617736, 0.6003953946846528, 0.5792749363253151]","[-0.010422350242827338, 0.006044192578179675, -0.0018512719630197072, -0.018356046379217172, -0.02776037744782256]",23,23,-0.007870820728476485,-0.013778450065215256
Black_Male_Cleaner,0.7894736842105263,0.4444444444444444,-0.3450292397660819,-0.40625,6.538461538461538,6.669354838709677,0.1308933002481387,-0.0339174159427737,-0.0321771111951669,0.0522388059701492,0.1641791044776119,0.1119402985074626,23,23,0.854561512162562,0.8511560580914278,-0.0034054540711342,"[0.6836609106227727, 0.6979817211086995, 0.6977440705245977, 0.7108415976976465, 0.6850877603110551]","[0.6673270822259993, 0.6760005909264973, 0.6852429941497838, 0.7185403578523142, 0.7057400647014564]","[-0.01633382839677333, -0.021981130182202158, -0.012501076374813902, 0.007698760154667639, 0.020652304390401333]",23,23,0.0015713575965510893,0.01193657318767308
Black_Male_Doctor,0.75,0.6333333333333333,-0.1166666666666667,-0.0833333333333333,6.589147286821706,5.868852459016393,-0.7202948278053123,0.0203248938686277,0.020957097673497,0.0150375939849624,0.0676691729323308,0.0526315789473684,23,23,0.9628159944751205,0.9641413135778736,0.0013253191027532,"[0.7852284148016959, 0.7928576536535744, 0.8229782872925313, 0.8817353022538598, 0.915890153484314]","[0.7104753437133574, 0.7798592143512767, 0.7926389682312284, 0.8348989591725522, 0.922086319829995]","[-0.07475307108833851, -0.012998439302297715, -0.03033931906130294, -0.046836343081307574, 0.006196166345680987]",23,23,0.035020112596552105,0.047826169705454946
White_Female_Teacher,0.9047619047619048,0.5,-0.4047619047619047,-0.3928571428571428,6.28030303030303,5.919354838709677,-0.3609481915933532,0.0184476721060801,0.0184656490775279,0.0746268656716417,0.0522388059701492,-0.0223880597014925,23,23,0.7448600823367909,0.7924296233583724,0.0475695410215815,"[0.29425744843631935, 0.3174091066526149, 0.408932132071313, 0.6258946625557261, 0.6899318351263729]","[0.3201385402770618, 0.3295009471347031, 0.4862683507516221, 0.6616162434704406, 0.7236838749363786]","[0.025881091840742443, 0.012091840482088223, 0.0773362186803091, 0.035721580914714446, 0.03375203981000574]",23,23,0.1099834329283218,0.11392059656543711
White_Male_Accountant,0.8125,0.5833333333333334,-0.2291666666666666,-0.2666666666666667,6.282442748091603,6.145161290322581,-0.1372814577690224,-0.0040224653951268,-0.0046635600461089,0.0970149253731343,0.0970149253731343,0.0,23,23,0.9734034131559344,0.9575902753483172,-0.0158131378076172,"[0.8737975734555213, 0.9115454415007586, 0.9339648142143012, 0.9405901713679583, 0.9705212152070238]","[0.8341578619734812, 0.9179047191672906, 0.8639935150160639, 0.9175107561770733, 0.9384428330285353]","[-0.03963971148204015, 0.006359277666531993, -0.0699712991982373, -0.023079415190884967, -0.032078382178488574]",23,23,0.022249201337020373,0.020817597911989085
